Moved to 895, 459 at time 1607905322258
Moved to 894, 458 at time 1607905322377
Moved to 893, 457 at time 1607905465018
Moved to 892, 456 at time 1607905465065
Moved to 891, 455 at time 1607905465316
Moved to 890, 454 at time 1607905465533
Moved to 889, 453 at time 1607905465926
Moved to 888, 452 at time 1607905466325
Moved to 887, 451 at time 1607905466543
Moved to 886, 450 at time 1607905466948
Moved to 885, 449 at time 1607905467257
Moved to 884, 448 at time 1607905467436
Moved to 883, 447 at time 1607905467620
Moved to 882, 446 at time 1607905467788
Moved to 881, 445 at time 1607905467870
Moved to 880, 444 at time 1607905468053
Moved to 879, 443 at time 1607905468200
Moved to 878, 442 at time 1607905468211
Moved to 877, 441 at time 1607905468355
Moved to 876, 440 at time 1607905468506
Moved to 875, 439 at time 1607905468684
Moved to 874, 438 at time 1607905468818
Moved to 873, 437 at time 1607905468950
Moved to 872, 436 at time 1607905469043
Moved to 871, 435 at time 1607905469071
Moved to 870, 434 at time 1607905469190
Moved to 869, 433 at time 1607905469240
Moved to 868, 432 at time 1607905469346
Moved to 867, 431 at time 1607905469385
Moved to 866, 430 at time 1607905469501
Moved to 865, 429 at time 1607905469566
Moved to 864, 428 at time 1607905469607
Moved to 863, 427 at time 1607905469690
Moved to 862, 426 at time 1607905469732
Moved to 861, 425 at time 1607905469799
Moved to 860, 424 at time 1607905469833
Moved to 859, 423 at time 1607905469917
Moved to 858, 422 at time 1607905469957
Moved to 857, 421 at time 1607905470040
Moved to 856, 420 at time 1607905470084
Moved to 855, 419 at time 1607905470237
Moved to 854, 418 at time 1607905470290
Moved to 853, 417 at time 1607905470379
Moved to 852, 416 at time 1607905470420
Moved to 851, 415 at time 1607905470490
Moved to 850, 414 at time 1607905470535
Moved to 849, 413 at time 1607905470612
Moved to 848, 412 at time 1607905470740
Moved to 847, 411 at time 1607905470756
Moved to 846, 410 at time 1607905470808
Moved to 845, 409 at time 1607905470828
Moved to 844, 408 at time 1607905470879
Moved to 843, 407 at time 1607905470903
Moved to 842, 406 at time 1607905470956
Moved to 841, 405 at time 1607905471074
Moved to 840, 404 at time 1607905471141
Moved to 839, 403 at time 1607905471158
Moved to 838, 402 at time 1607905471221
Moved to 837, 401 at time 1607905471234
Moved to 836, 400 at time 1607905471300
Moved to 835, 399 at time 1607905471321
Moved to 834, 398 at time 1607905471373
Moved to 833, 397 at time 1607905471384
Moved to 832, 396 at time 1607905471468
Moved to 831, 395 at time 1607905471536
Moved to 830, 394 at time 1607905471611
Moved to 829, 393 at time 1607905471691
Moved to 828, 392 at time 1607905471786
Moved to 827, 391 at time 1607905471842
Moved to 826, 390 at time 1607905471873
Moved to 825, 389 at time 1607905471970
Moved to 824, 388 at time 1607905472001
Moved to 823, 387 at time 1607905472012
Moved to 822, 386 at time 1607905472036
Moved to 821, 385 at time 1607905472124
Moved to 820, 384 at time 1607905472168
Moved to 819, 383 at time 1607905472241
Moved to 818, 382 at time 1607905472314
Moved to 817, 381 at time 1607905472419
Moved to 816, 380 at time 1607905472502
Moved to 815, 379 at time 1607905472557
Moved to 814, 378 at time 1607905472569
Moved to 813, 377 at time 1607905472629
Moved to 812, 376 at time 1607905472641
Moved to 811, 375 at time 1607905472691
Moved to 810, 374 at time 1607905472709
Moved to 809, 373 at time 1607905472789
