Moved to 553, 726 at time 1607902051434
Moved to 552, 725 at time 1607902051468
Moved to 551, 724 at time 1607902051505
Moved to 550, 723 at time 1607902051542
Moved to 549, 722 at time 1607902051580
Moved to 548, 721 at time 1607902051616
Moved to 547, 720 at time 1607902051650
Moved to 546, 719 at time 1607902051684
Moved to 545, 718 at time 1607902051718
Moved to 544, 717 at time 1607902051752
Moved to 543, 716 at time 1607902051786
Moved to 542, 715 at time 1607902051820
Moved to 541, 714 at time 1607902051854
Moved to 540, 713 at time 1607902051888
Moved to 539, 712 at time 1607902051922
Moved to 538, 711 at time 1607902051956
Moved to 537, 710 at time 1607902051991
Moved to 536, 709 at time 1607902052058
Moved to 535, 708 at time 1607902052094
Moved to 534, 707 at time 1607902052128
Moved to 533, 706 at time 1607902052162
Moved to 532, 705 at time 1607902052197
Moved to 531, 704 at time 1607902052232
Moved to 530, 703 at time 1607902052269
Moved to 529, 702 at time 1607902052303
Moved to 528, 701 at time 1607902052337
Moved to 527, 700 at time 1607902052371
Moved to 526, 699 at time 1607902052438
Moved to 525, 698 at time 1607902052472
Moved to 524, 697 at time 1607902052507
Moved to 523, 696 at time 1607902052541
Moved to 522, 695 at time 1607902052575
Moved to 521, 694 at time 1607902052609
Moved to 520, 693 at time 1607902052643
Moved to 519, 692 at time 1607902052678
Moved to 518, 691 at time 1607902052712
Moved to 517, 690 at time 1607902052746
Moved to 516, 689 at time 1607902052813
Moved to 515, 688 at time 1607902052847
Moved to 514, 687 at time 1607902052882
Moved to 513, 686 at time 1607902052916
Moved to 512, 685 at time 1607902052950
Moved to 511, 684 at time 1607902052984
Moved to 510, 683 at time 1607902053018
Moved to 509, 682 at time 1607902053052
Moved to 508, 681 at time 1607902053086
Moved to 507, 680 at time 1607902053120
Moved to 506, 679 at time 1607902053187
Moved to 505, 678 at time 1607902053221
Moved to 504, 677 at time 1607902053255
Moved to 503, 676 at time 1607902053289
Moved to 502, 675 at time 1607902053323
Moved to 501, 674 at time 1607902053358
Moved to 500, 673 at time 1607902053392
Moved to 499, 672 at time 1607902053426
Moved to 498, 671 at time 1607902053460
Moved to 497, 670 at time 1607902053495
Moved to 496, 669 at time 1607902053562
Moved to 495, 668 at time 1607902053596
Moved to 494, 667 at time 1607902053630
Moved to 493, 666 at time 1607902053664
Moved to 492, 665 at time 1607902053699
Moved to 491, 664 at time 1607902053733
Moved to 490, 663 at time 1607902053767
Moved to 489, 662 at time 1607902053801
Moved to 488, 661 at time 1607902053835
Moved to 487, 660 at time 1607902053869
Moved to 486, 659 at time 1607902053936
Moved to 485, 658 at time 1607902053970
Moved to 484, 657 at time 1607902054004
Moved to 483, 656 at time 1607902054038
Moved to 482, 655 at time 1607902054072
Moved to 481, 654 at time 1607902054106
Moved to 480, 653 at time 1607902054140
Moved to 479, 652 at time 1607902054175
Moved to 478, 651 at time 1607902054209
Moved to 477, 650 at time 1607902054243
Moved to 476, 649 at time 1607902054310
Moved to 475, 648 at time 1607902054344
Moved to 474, 647 at time 1607902054378
Moved to 473, 646 at time 1607902054412
Moved to 472, 645 at time 1607902054446
Moved to 471, 644 at time 1607902054480
Moved to 470, 643 at time 1607902054514
Moved to 469, 642 at time 1607902054548
Moved to 468, 641 at time 1607902054583
Attacked Unit@64f022c9at position 663, 1160 at time 1607969349760
Got attacked at 454, 1276 by Unit@58eb4174 at time 1607969349812
Got attacked at 454, 1276 by Unit@64f022c9 at time 1607969349855
Got attacked at 454, 1276 by Unit@64f022c9 at time 1607969394754
Got attacked at 454, 1276 by Unit@58eb4174 at time 1607969394786
Got attacked at 454, 1276 by Unit@53f85cf6 at time 1607969394812
Attacked Unit@64f022c9at position 663, 1160 at time 1607969394881
Got attacked at 454, 1276 by Unit@58eb4174 at time 1607969396754
Attacked Unit@64f022c9at position 663, 1160 at time 1607969396768
Got attacked at 454, 1276 by Unit@53f85cf6 at time 1607969398564
Got attacked at 454, 1276 by Unit@58eb4174 at time 1607969398567
Attacked Unit@58eb4174at position 723, 1194 at time 1607969398631
Died at 454, 1276 at time 1607969398631
