Moved to 11, 2350 at time 1607969349849
Moved to 12, 2349 at time 1607969394853
Moved to 13, 2348 at time 1607969394986
Moved to 14, 2347 at time 1607969395114
Moved to 15, 2346 at time 1607969395356
Moved to 16, 2345 at time 1607969395704
Moved to 17, 2344 at time 1607969396053
Moved to 18, 2343 at time 1607969396355
Moved to 19, 2342 at time 1607969396730
Moved to 20, 2341 at time 1607969396914
Moved to 21, 2340 at time 1607969397054
Moved to 22, 2339 at time 1607969397260
Moved to 23, 2338 at time 1607969397577
Moved to 24, 2337 at time 1607969397986
Moved to 25, 2336 at time 1607969398245
Moved to 26, 2335 at time 1607969398582
Moved to 27, 2334 at time 1607969398807
Moved to 28, 2333 at time 1607969398999
Moved to 29, 2332 at time 1607969399199
Moved to 30, 2331 at time 1607969399331
Moved to 31, 2330 at time 1607969399495
Moved to 32, 2329 at time 1607969399615
Moved to 33, 2328 at time 1607969399766
Moved to 34, 2327 at time 1607969399940
Moved to 35, 2326 at time 1607969400112
Moved to 36, 2325 at time 1607969400254
Moved to 37, 2324 at time 1607969400366
Moved to 38, 2323 at time 1607969400595
Moved to 39, 2322 at time 1607969400755
Moved to 40, 2321 at time 1607969400921
Moved to 41, 2320 at time 1607969401079
Moved to 42, 2319 at time 1607969401389
Moved to 43, 2318 at time 1607969401629
Moved to 44, 2317 at time 1607969401906
Moved to 45, 2316 at time 1607969402136
Moved to 46, 2315 at time 1607969402250
Moved to 47, 2314 at time 1607969402401
Moved to 48, 2313 at time 1607969402542
Moved to 49, 2312 at time 1607969402715
Moved to 50, 2311 at time 1607969402822
Moved to 51, 2310 at time 1607969402991
Moved to 52, 2309 at time 1607969403131
Moved to 53, 2308 at time 1607969403330
Moved to 54, 2307 at time 1607969403668
Moved to 55, 2306 at time 1607969403877
Moved to 56, 2305 at time 1607969404198
Moved to 57, 2304 at time 1607969404465
Moved to 58, 2303 at time 1607969404626
Moved to 59, 2302 at time 1607969404826
Moved to 60, 2301 at time 1607969404966
Moved to 61, 2300 at time 1607969405196
Moved to 62, 2299 at time 1607969405466
Moved to 63, 2298 at time 1607969405596
Moved to 64, 2297 at time 1607969405770
Moved to 65, 2296 at time 1607969405961
Moved to 66, 2295 at time 1607969406080
Moved to 67, 2294 at time 1607969406184
Moved to 68, 2293 at time 1607969406318
Moved to 69, 2292 at time 1607969406481
Moved to 70, 2291 at time 1607969406603
Moved to 71, 2290 at time 1607969406791
Moved to 72, 2289 at time 1607969407051
Moved to 73, 2288 at time 1607969407321
Moved to 74, 2287 at time 1607969407435
Moved to 75, 2286 at time 1607969407651
Moved to 76, 2285 at time 1607969407885
Moved to 77, 2284 at time 1607969408009
Moved to 78, 2283 at time 1607969408143
