Moved to 512, 800 at time 1607967053368
Moved to 511, 799 at time 1607967053763
Moved to 510, 798 at time 1607967097297
Moved to 509, 797 at time 1607967097308
Moved to 508, 796 at time 1607967097590
Moved to 507, 795 at time 1607967097829
Moved to 506, 794 at time 1607967097863
Moved to 505, 793 at time 1607967098048
Moved to 504, 792 at time 1607967098072
Moved to 503, 791 at time 1607967098225
Moved to 502, 790 at time 1607967098250
Moved to 501, 789 at time 1607967098410
Moved to 500, 788 at time 1607967098656
Moved to 499, 787 at time 1607967098927
Moved to 498, 786 at time 1607967099349
Moved to 497, 785 at time 1607967099533
Moved to 496, 784 at time 1607967100012
Moved to 495, 783 at time 1607967100063
Moved to 494, 782 at time 1607967100074
Moved to 493, 781 at time 1607967100372
Moved to 492, 780 at time 1607967100821
Moved to 491, 779 at time 1607967100949
Moved to 490, 778 at time 1607967100960
Moved to 489, 777 at time 1607967101480
Moved to 488, 776 at time 1607967101707
Got attacked at 488, 776 by Unit@26401361 at time 1607967101766
Moved to 487, 775 at time 1607967101849
Moved to 486, 774 at time 1607967101880
Moved to 485, 773 at time 1607967102006
Moved to 484, 772 at time 1607967102042
Moved to 483, 771 at time 1607967102183
Moved to 482, 770 at time 1607967102464
Moved to 481, 769 at time 1607967102831
Moved to 480, 768 at time 1607967102844
Got attacked at 480, 768 by Unit@26401361 at time 1607967103246
Moved to 479, 767 at time 1607967103257
Moved to 478, 766 at time 1607967103446
Moved to 477, 765 at time 1607967103570
Moved to 476, 764 at time 1607967103597
Moved to 475, 763 at time 1607967103780
Moved to 474, 762 at time 1607967103865
Moved to 473, 761 at time 1607967103905
Moved to 472, 760 at time 1607967104001
Moved to 471, 759 at time 1607967104038
Got attacked at 471, 759 by Unit@26401361 at time 1607967104358
Moved to 470, 758 at time 1607967104392
Moved to 469, 757 at time 1607967104460
Moved to 468, 756 at time 1607967104739
Moved to 467, 755 at time 1607967104857
Moved to 466, 754 at time 1607967105269
Moved to 465, 753 at time 1607967105890
Got attacked at 465, 753 by Unit@26401361 at time 1607967106001
Moved to 464, 752 at time 1607967106253
Moved to 463, 751 at time 1607967106306
Moved to 462, 750 at time 1607967106571
Moved to 461, 749 at time 1607967106583
Moved to 460, 748 at time 1607967106612
Moved to 459, 747 at time 1607967107044
Got attacked at 459, 747 by Unit@26401361 at time 1607967107295
Moved to 458, 746 at time 1607967107342
Moved to 457, 745 at time 1607967107606
Moved to 456, 744 at time 1607967107701
Moved to 455, 743 at time 1607967107724
Moved to 454, 742 at time 1607967107835
Moved to 453, 741 at time 1607967107892
Moved to 452, 740 at time 1607967107980
Moved to 451, 739 at time 1607967108034
Moved to 450, 738 at time 1607967108100
Moved to 449, 737 at time 1607967108150
Moved to 448, 736 at time 1607967108227
Moved to 447, 735 at time 1607967108272
Moved to 446, 734 at time 1607967108359
Moved to 445, 733 at time 1607967108388
Got attacked at 445, 733 by Unit@26401361 at time 1607967108452
Moved to 444, 732 at time 1607967108467
Moved to 443, 731 at time 1607967108496
Moved to 442, 730 at time 1607967108601
Moved to 441, 729 at time 1607967108627
Moved to 440, 728 at time 1607967108918
Moved to 439, 727 at time 1607967109244
Moved to 438, 726 at time 1607967109327
Moved to 437, 725 at time 1607967109657
Moved to 436, 724 at time 1607967109782
Got attacked at 436, 724 by Unit@26401361 at time 1607967109866
Moved to 435, 723 at time 1607967109995
Moved to 434, 722 at time 1607967110050
Moved to 433, 721 at time 1607967110234
Moved to 432, 720 at time 1607967110362
Moved to 431, 719 at time 1607967110660
Moved to 430, 718 at time 1607967110816
Moved to 429, 717 at time 1607967111068
Moved to 428, 716 at time 1607967111079
Moved to 427, 715 at time 1607967111229
Moved to 426, 714 at time 1607967111522
Moved to 425, 713 at time 1607967111651
Moved to 424, 712 at time 1607967111903
Moved to 423, 711 at time 1607967112131
Moved to 422, 710 at time 1607967112413
Moved to 421, 709 at time 1607967112504
Moved to 420, 708 at time 1607967112749
Moved to 419, 707 at time 1607967112829
Moved to 418, 706 at time 1607967113164
Moved to 417, 705 at time 1607967113235
Moved to 416, 704 at time 1607967113610
Moved to 415, 703 at time 1607967113702
Moved to 414, 702 at time 1607967114070
Moved to 413, 701 at time 1607967114151
Moved to 412, 700 at time 1607967114525
Moved to 411, 699 at time 1607967114586
Moved to 410, 698 at time 1607967114939
Moved to 409, 697 at time 1607967114995
Moved to 408, 696 at time 1607967115382
Moved to 407, 695 at time 1607967115441
Moved to 406, 694 at time 1607967115668
Moved to 405, 693 at time 1607967115697
Moved to 404, 692 at time 1607967115901
Got attacked at 404, 692 by Unit@39ecaf13 at time 1607967115916
Moved to 403, 691 at time 1607967115935
Moved to 402, 690 at time 1607967116155
Moved to 401, 689 at time 1607967116202
Moved to 400, 688 at time 1607967116530
Got attacked at 400, 688 by Unit@26401361 at time 1607967116575
Moved to 399, 687 at time 1607967116586
Got attacked at 399, 687 by Unit@6adee6f2 at time 1607967116620
Moved to 398, 686 at time 1607967116907
Moved to 397, 685 at time 1607967117053
Moved to 396, 684 at time 1607967117101
Got attacked at 396, 684 by Unit@39ecaf13 at time 1607967117180
Moved to 395, 683 at time 1607967117372
Moved to 394, 682 at time 1607967117414
Moved to 393, 681 at time 1607967117604
Moved to 392, 680 at time 1607967117649
Got attacked at 392, 680 by Unit@6adee6f2 at time 1607967117836
Got attacked at 392, 680 by Unit@26401361 at time 1607967117897
Moved to 391, 679 at time 1607967117936
Moved to 390, 678 at time 1607967118341
Moved to 389, 677 at time 1607967118370
Got attacked at 389, 677 by Unit@39ecaf13 at time 1607967118441
Moved to 388, 676 at time 1607967118734
Got attacked at 388, 676 by Unit@6adee6f2 at time 1607967118951
Moved to 387, 675 at time 1607967119051
