Moved to 2160, 1420 at time 1607968586251
Moved to 2159, 1419 at time 1607968622494
Moved to 2158, 1418 at time 1607968622543
Moved to 2157, 1417 at time 1607968622624
Moved to 2156, 1416 at time 1607968622747
Moved to 2155, 1415 at time 1607968622781
Moved to 2154, 1414 at time 1607968622971
Moved to 2153, 1413 at time 1607968623094
Moved to 2152, 1412 at time 1607968623402
Moved to 2151, 1411 at time 1607968623715
Moved to 2150, 1410 at time 1607968623846
Moved to 2149, 1409 at time 1607968624218
Moved to 2148, 1408 at time 1607968624743
Moved to 2147, 1407 at time 1607968624793
Moved to 2146, 1406 at time 1607968625130
Moved to 2145, 1405 at time 1607968625510
Moved to 2144, 1404 at time 1607968625763
Moved to 2143, 1403 at time 1607968625996
Moved to 2142, 1402 at time 1607968626304
Moved to 2141, 1401 at time 1607968626525
Moved to 2140, 1400 at time 1607968626892
Moved to 2139, 1399 at time 1607968626996
Moved to 2138, 1398 at time 1607968627088
Moved to 2137, 1397 at time 1607968627230
Moved to 2136, 1396 at time 1607968627312
Moved to 2135, 1395 at time 1607968627400
Moved to 2134, 1394 at time 1607968627457
Moved to 2133, 1393 at time 1607968627496
Moved to 2132, 1392 at time 1607968627561
Moved to 2131, 1391 at time 1607968627646
Moved to 2130, 1390 at time 1607968627754
Moved to 2129, 1389 at time 1607968627817
Moved to 2128, 1388 at time 1607968627910
Moved to 2127, 1387 at time 1607968627954
Moved to 2126, 1386 at time 1607968627988
Moved to 2125, 1385 at time 1607968628088
Moved to 2124, 1384 at time 1607968628154
Moved to 2123, 1383 at time 1607968628243
Moved to 2122, 1382 at time 1607968628339
Moved to 2121, 1381 at time 1607968628401
Moved to 2120, 1380 at time 1607968628472
Moved to 2119, 1379 at time 1607968628550
Moved to 2118, 1378 at time 1607968628604
Moved to 2117, 1377 at time 1607968628642
Moved to 2116, 1376 at time 1607968628712
Moved to 2115, 1375 at time 1607968628756
Moved to 2114, 1374 at time 1607968628790
Moved to 2113, 1373 at time 1607968628857
Moved to 2112, 1372 at time 1607968628939
Moved to 2111, 1371 at time 1607968629060
Moved to 2110, 1370 at time 1607968629151
Moved to 2109, 1369 at time 1607968629278
Moved to 2108, 1368 at time 1607968629369
Moved to 2107, 1367 at time 1607968629498
Moved to 2106, 1366 at time 1607968629731
Moved to 2105, 1365 at time 1607968629994
Moved to 2104, 1364 at time 1607968630095
Moved to 2103, 1363 at time 1607968630146
Moved to 2102, 1362 at time 1607968630206
Moved to 2101, 1361 at time 1607968630297
Moved to 2100, 1360 at time 1607968630339
Moved to 2099, 1359 at time 1607968630397
Moved to 2098, 1358 at time 1607968630502
Moved to 2097, 1357 at time 1607968630724
Moved to 2096, 1356 at time 1607968630932
Moved to 2095, 1355 at time 1607968631180
Moved to 2094, 1354 at time 1607968631482
Moved to 2093, 1353 at time 1607968631741
Moved to 2092, 1352 at time 1607968631783
Moved to 2091, 1351 at time 1607968631985
Moved to 2090, 1350 at time 1607968632104
Moved to 2089, 1349 at time 1607968632285
Moved to 2088, 1348 at time 1607968632328
Moved to 2087, 1347 at time 1607968632432
Moved to 2086, 1346 at time 1607968632497
Moved to 2085, 1345 at time 1607968632564
Moved to 2084, 1344 at time 1607968632627
Moved to 2083, 1343 at time 1607968632661
Moved to 2082, 1342 at time 1607968632715
Moved to 2081, 1341 at time 1607968632783
Moved to 2080, 1340 at time 1607968632832
Moved to 2079, 1339 at time 1607968632903
Moved to 2078, 1338 at time 1607968632945
Moved to 2077, 1337 at time 1607968633024
Moved to 2076, 1336 at time 1607968633094
Moved to 2075, 1335 at time 1607968633147
Moved to 2074, 1334 at time 1607968633182
Moved to 2073, 1333 at time 1607968633224
Moved to 2072, 1332 at time 1607968633276
Moved to 2071, 1331 at time 1607968633324
Moved to 2070, 1330 at time 1607968633361
Moved to 2069, 1329 at time 1607968633431
Moved to 2068, 1328 at time 1607968633479
Moved to 2067, 1327 at time 1607968705467
Moved to 2066, 1326 at time 1607968705530
Moved to 2065, 1325 at time 1607968705580
Moved to 2064, 1324 at time 1607968705641
Moved to 2063, 1323 at time 1607968705681
Moved to 2062, 1322 at time 1607968705727
Moved to 2061, 1321 at time 1607968705763
Moved to 2060, 1320 at time 1607968705822
Moved to 2059, 1319 at time 1607968705892
Moved to 2058, 1318 at time 1607968705931
Moved to 2057, 1317 at time 1607968705974
Moved to 2056, 1316 at time 1607968706058
Moved to 2055, 1315 at time 1607968706093
Moved to 2054, 1314 at time 1607968706150
Moved to 2053, 1313 at time 1607968706191
Moved to 2052, 1312 at time 1607968706243
Moved to 2051, 1311 at time 1607968706325
Moved to 2050, 1310 at time 1607968706375
Moved to 2049, 1309 at time 1607968706411
Moved to 2048, 1308 at time 1607968706473
Moved to 2047, 1307 at time 1607968706522
Moved to 2046, 1306 at time 1607968706587
Moved to 2045, 1305 at time 1607968706626
Moved to 2044, 1304 at time 1607968706782
Moved to 2043, 1303 at time 1607968706925
Moved to 2042, 1302 at time 1607968706968
Moved to 2041, 1301 at time 1607968707014
Moved to 2040, 1300 at time 1607968707059
Moved to 2039, 1299 at time 1607968707120
Moved to 2038, 1298 at time 1607968707175
Moved to 2037, 1297 at time 1607968707242
Moved to 2036, 1296 at time 1607968707290
Moved to 2035, 1295 at time 1607968707365
Moved to 2034, 1294 at time 1607968707451
Moved to 2033, 1293 at time 1607968707520
Moved to 2032, 1292 at time 1607968707595
Moved to 2031, 1291 at time 1607968707652
Moved to 2030, 1290 at time 1607968707687
Moved to 2029, 1289 at time 1607968707725
Moved to 2028, 1288 at time 1607968707791
Moved to 2027, 1287 at time 1607968707868
Moved to 2026, 1286 at time 1607968707951
Moved to 2025, 1285 at time 1607968708012
Moved to 2024, 1284 at time 1607968708050
Moved to 2023, 1283 at time 1607968708109
Moved to 2022, 1282 at time 1607968708148
Moved to 2021, 1281 at time 1607968708242
Moved to 2020, 1280 at time 1607968708309
Moved to 2019, 1279 at time 1607968708380
Moved to 2018, 1278 at time 1607968708448
Moved to 2017, 1277 at time 1607968708506
Moved to 2016, 1276 at time 1607968708586
Moved to 2015, 1275 at time 1607968708652
Moved to 2014, 1274 at time 1607968708762
Moved to 2013, 1273 at time 1607968708845
Moved to 2012, 1272 at time 1607968708909
Moved to 2011, 1271 at time 1607968708974
Moved to 2010, 1270 at time 1607968709009
Moved to 2009, 1269 at time 1607968709062
Moved to 2008, 1268 at time 1607968709142
Moved to 2007, 1267 at time 1607968709177
Moved to 2006, 1266 at time 1607968709224
Moved to 2005, 1265 at time 1607968709301
Moved to 2004, 1264 at time 1607968709353
Moved to 2003, 1263 at time 1607968709430
Moved to 2002, 1262 at time 1607968709469
Moved to 2001, 1261 at time 1607968709558
Moved to 2000, 1260 at time 1607968709595
Moved to 1999, 1259 at time 1607968709676
Moved to 1998, 1258 at time 1607968709858
Moved to 1997, 1257 at time 1607968710125
Moved to 1996, 1256 at time 1607968710315
Moved to 1995, 1255 at time 1607968710379
Moved to 1994, 1254 at time 1607968710558
Moved to 1993, 1253 at time 1607968710639
Moved to 1992, 1252 at time 1607968710923
Moved to 1991, 1251 at time 1607968711033
Moved to 1990, 1250 at time 1607968711168
Moved to 1989, 1249 at time 1607968711283
Moved to 1988, 1248 at time 1607968711430
Moved to 1987, 1247 at time 1607968711540
Moved to 1986, 1246 at time 1607968711671
Moved to 1985, 1245 at time 1607968711718
Moved to 1984, 1244 at time 1607968711793
Moved to 1983, 1243 at time 1607968711902
Moved to 1982, 1242 at time 1607968712029
Moved to 1981, 1241 at time 1607968712212
Moved to 1980, 1240 at time 1607968712362
Moved to 1979, 1239 at time 1607968712553
Moved to 1978, 1238 at time 1607968712697
Moved to 1977, 1237 at time 1607968712883
Moved to 1976, 1236 at time 1607968713043
Moved to 1975, 1235 at time 1607968713312
Moved to 1974, 1234 at time 1607968713572
Moved to 1973, 1233 at time 1607968713748
Moved to 1972, 1232 at time 1607968713839
Moved to 1971, 1231 at time 1607968713995
Moved to 1970, 1230 at time 1607968714073
Moved to 1969, 1229 at time 1607968714227
Moved to 1968, 1228 at time 1607968714262
Moved to 1967, 1227 at time 1607968714497
Moved to 1966, 1226 at time 1607968714783
Moved to 1965, 1225 at time 1607968714932
Moved to 1964, 1224 at time 1607968715021
Moved to 1963, 1223 at time 1607968715072
Moved to 1962, 1222 at time 1607968715107
Moved to 1961, 1221 at time 1607968715161
Moved to 1960, 1220 at time 1607968715206
Moved to 1959, 1219 at time 1607968715296
Moved to 1958, 1218 at time 1607968715377
Moved to 1957, 1217 at time 1607968715429
Moved to 1956, 1216 at time 1607968715515
Moved to 1955, 1215 at time 1607968715609
Moved to 1954, 1214 at time 1607968715703
Moved to 1953, 1213 at time 1607968715815
Moved to 1952, 1212 at time 1607968715914
Moved to 1951, 1211 at time 1607968715951
Moved to 1950, 1210 at time 1607968715998
Moved to 1949, 1209 at time 1607968716179
Moved to 1948, 1208 at time 1607968716236
Moved to 1947, 1207 at time 1607968716414
Moved to 1946, 1206 at time 1607968716495
Moved to 1945, 1205 at time 1607968716645
Moved to 1944, 1204 at time 1607968716685
Moved to 1943, 1203 at time 1607968716777
Moved to 1942, 1202 at time 1607968716851
Moved to 1941, 1201 at time 1607968716914
Moved to 1940, 1200 at time 1607968717010
Moved to 1939, 1199 at time 1607968717046
Moved to 1938, 1198 at time 1607968717201
Moved to 1937, 1197 at time 1607968717264
Moved to 1936, 1196 at time 1607968717436
Moved to 1935, 1195 at time 1607968717496
Moved to 1934, 1194 at time 1607968717672
Moved to 1933, 1193 at time 1607968717719
Moved to 1932, 1192 at time 1607968717893
Moved to 1931, 1191 at time 1607968717938
Moved to 1930, 1190 at time 1607968718097
Moved to 1929, 1189 at time 1607968718153
Moved to 1928, 1188 at time 1607968718324
Moved to 1927, 1187 at time 1607968718373
Moved to 1926, 1186 at time 1607968718568
Moved to 1925, 1185 at time 1607968718856
Moved to 1924, 1184 at time 1607968719068
Moved to 1923, 1183 at time 1607968719290
Moved to 1922, 1182 at time 1607968719469
Moved to 1921, 1181 at time 1607968719697
Moved to 1920, 1180 at time 1607968719890
Moved to 1919, 1179 at time 1607968720118
Moved to 1918, 1178 at time 1607968720252
Moved to 1917, 1177 at time 1607968720319
Moved to 1916, 1176 at time 1607968720383
Moved to 1915, 1175 at time 1607968720445
Moved to 1914, 1174 at time 1607968720513
Moved to 1913, 1173 at time 1607968720573
Moved to 1912, 1172 at time 1607968720612
Moved to 1911, 1171 at time 1607968720662
Moved to 1910, 1170 at time 1607968720707
Moved to 1909, 1169 at time 1607968720746
Moved to 1908, 1168 at time 1607968720785
Moved to 1907, 1167 at time 1607968720820
Moved to 1906, 1166 at time 1607968720858
Moved to 1905, 1165 at time 1607968720892
Moved to 1904, 1164 at time 1607968720949
Moved to 1903, 1163 at time 1607968721076
Moved to 1902, 1162 at time 1607968721249
Moved to 1901, 1161 at time 1607968721465
Moved to 1900, 1160 at time 1607968721632
Moved to 1899, 1159 at time 1607968721852
Moved to 1898, 1158 at time 1607968722007
Moved to 1897, 1157 at time 1607968722042
Moved to 1896, 1156 at time 1607968722191
Moved to 1895, 1155 at time 1607968722248
Moved to 1894, 1154 at time 1607968722381
