Attacked Unit@ab88c1fat position 37, 945 at time 1607968070192
Attacked Unit@134d0df5at position 19, 838 at time 1607968143926
Attacked Unit@7738dac7at position 29, 838 at time 1607968146539
Got attacked at 9, 1162 by Unit@7738dac7 at time 1607968146827
Attacked Unit@48161759at position 46, 946 at time 1607968149185
Moved to 10, 1161 at time 1607968150084
Moved to 11, 1160 at time 1607968150202
Moved to 12, 1159 at time 1607968150429
Moved to 13, 1158 at time 1607968150541
Moved to 14, 1157 at time 1607968150723
Moved to 15, 1156 at time 1607968150890
Moved to 16, 1155 at time 1607968151186
Moved to 17, 1154 at time 1607968151331
Moved to 18, 1153 at time 1607968151587
Moved to 19, 1152 at time 1607968151859
Moved to 20, 1151 at time 1607968152202
Moved to 21, 1150 at time 1607968152529
Moved to 22, 1149 at time 1607968152857
Moved to 23, 1148 at time 1607968153192
Moved to 24, 1147 at time 1607968153542
Moved to 25, 1146 at time 1607968153759
Moved to 26, 1145 at time 1607968154043
Moved to 27, 1144 at time 1607968263886
Moved to 28, 1143 at time 1607968264174
Moved to 29, 1142 at time 1607968264447
Moved to 30, 1141 at time 1607968264826
Moved to 31, 1140 at time 1607968265135
Moved to 32, 1139 at time 1607968265497
Moved to 33, 1138 at time 1607968265760
Moved to 34, 1137 at time 1607968266175
Moved to 35, 1136 at time 1607968266452
Moved to 36, 1135 at time 1607968266698
Moved to 37, 1134 at time 1607968266950
Moved to 38, 1133 at time 1607968267236
Moved to 39, 1132 at time 1607968267440
Moved to 40, 1131 at time 1607968267682
Moved to 41, 1130 at time 1607968267952
Moved to 42, 1129 at time 1607968268168
Moved to 43, 1128 at time 1607968268437
Moved to 44, 1127 at time 1607968268654
Moved to 45, 1126 at time 1607968268878
Moved to 46, 1125 at time 1607968269118
Got attacked at 46, 1125 by Unit@50d382db at time 1607968269277
Moved to 47, 1124 at time 1607968269341
Died at 47, 1124 at time 1607968269341
