Moved to 3088, 1920 at time 1607968622671
Moved to 3087, 1919 at time 1607968622793
Moved to 3086, 1918 at time 1607968622968
Moved to 3085, 1917 at time 1607968623176
Moved to 3084, 1916 at time 1607968623482
Moved to 3083, 1915 at time 1607968624010
Moved to 3082, 1914 at time 1607968624494
Moved to 3081, 1913 at time 1607968624992
Moved to 3080, 1912 at time 1607968625226
Moved to 3079, 1911 at time 1607968625683
Moved to 3078, 1910 at time 1607968625793
Moved to 3077, 1909 at time 1607968625908
Moved to 3076, 1908 at time 1607968626318
Moved to 3075, 1907 at time 1607968626447
Moved to 3074, 1906 at time 1607968626561
Moved to 3073, 1905 at time 1607968626797
Moved to 3072, 1904 at time 1607968627011
Moved to 3071, 1903 at time 1607968627239
Moved to 3070, 1902 at time 1607968627404
Moved to 3069, 1901 at time 1607968627506
Moved to 3068, 1900 at time 1607968627637
Moved to 3067, 1899 at time 1607968627821
Moved to 3066, 1898 at time 1607968627977
Moved to 3065, 1897 at time 1607968628097
Moved to 3064, 1896 at time 1607968628236
Moved to 3063, 1895 at time 1607968628386
Moved to 3062, 1894 at time 1607968628506
Moved to 3061, 1893 at time 1607968628679
Moved to 3060, 1892 at time 1607968628903
Moved to 3059, 1891 at time 1607968629019
Moved to 3058, 1890 at time 1607968629222
Moved to 3057, 1889 at time 1607968629362
Moved to 3056, 1888 at time 1607968629585
Moved to 3055, 1887 at time 1607968629726
Moved to 3054, 1886 at time 1607968630021
Moved to 3053, 1885 at time 1607968630153
Moved to 3052, 1884 at time 1607968630275
Moved to 3051, 1883 at time 1607968630392
Moved to 3050, 1882 at time 1607968630611
Moved to 3049, 1881 at time 1607968630771
Moved to 3048, 1880 at time 1607968631015
Moved to 3047, 1879 at time 1607968631280
Moved to 3046, 1878 at time 1607968631610
Moved to 3045, 1877 at time 1607968631866
Moved to 3044, 1876 at time 1607968632019
Moved to 3043, 1875 at time 1607968632144
Moved to 3042, 1874 at time 1607968632313
Moved to 3041, 1873 at time 1607968632450
Moved to 3040, 1872 at time 1607968632586
Moved to 3039, 1871 at time 1607968632725
Moved to 3038, 1870 at time 1607968632866
Moved to 3037, 1869 at time 1607968632989
Moved to 3036, 1868 at time 1607968633099
Moved to 3035, 1867 at time 1607968633208
Moved to 3034, 1866 at time 1607968633324
Moved to 3033, 1865 at time 1607968633443
Moved to 3032, 1864 at time 1607968705525
Moved to 3031, 1863 at time 1607968705673
Moved to 3030, 1862 at time 1607968705798
Moved to 3029, 1861 at time 1607968705902
Moved to 3028, 1860 at time 1607968706012
Moved to 3027, 1859 at time 1607968706113
Moved to 3026, 1858 at time 1607968706256
Moved to 3025, 1857 at time 1607968706378
Moved to 3024, 1856 at time 1607968706511
Moved to 3023, 1855 at time 1607968706639
Moved to 3022, 1854 at time 1607968706847
Moved to 3021, 1853 at time 1607968706975
Moved to 3020, 1852 at time 1607968707128
Moved to 3019, 1851 at time 1607968707281
Moved to 3018, 1850 at time 1607968707412
Moved to 3017, 1849 at time 1607968707536
Moved to 3016, 1848 at time 1607968707644
Moved to 3015, 1847 at time 1607968707753
Moved to 3014, 1846 at time 1607968707897
Moved to 3013, 1845 at time 1607968708001
Moved to 3012, 1844 at time 1607968708152
Moved to 3011, 1843 at time 1607968708325
Moved to 3010, 1842 at time 1607968708435
Moved to 3009, 1841 at time 1607968708590
Moved to 3008, 1840 at time 1607968708758
Moved to 3007, 1839 at time 1607968708863
Moved to 3006, 1838 at time 1607968709015
Moved to 3005, 1837 at time 1607968709125
Moved to 3004, 1836 at time 1607968709275
Moved to 3003, 1835 at time 1607968709386
Moved to 3002, 1834 at time 1607968709508
Moved to 3001, 1833 at time 1607968709635
Moved to 3000, 1832 at time 1607968709825
Moved to 2999, 1831 at time 1607968710072
Moved to 2998, 1830 at time 1607968710297
Moved to 2997, 1829 at time 1607968710576
Moved to 2996, 1828 at time 1607968710810
Moved to 2995, 1827 at time 1607968711074
Moved to 2994, 1826 at time 1607968711309
Moved to 2993, 1825 at time 1607968711598
Moved to 2992, 1824 at time 1607968711724
Moved to 2991, 1823 at time 1607968711904
Moved to 2990, 1822 at time 1607968712114
Moved to 2989, 1821 at time 1607968712228
Moved to 2988, 1820 at time 1607968712456
Moved to 2987, 1819 at time 1607968712727
Moved to 2986, 1818 at time 1607968712944
Moved to 2985, 1817 at time 1607968713106
Moved to 2984, 1816 at time 1607968713414
Moved to 2983, 1815 at time 1607968713741
Moved to 2982, 1814 at time 1607968714167
Moved to 2981, 1813 at time 1607968714427
Moved to 2980, 1812 at time 1607968714654
Moved to 2979, 1811 at time 1607968715059
Moved to 2978, 1810 at time 1607968715278
Moved to 2977, 1809 at time 1607968715497
Moved to 2976, 1808 at time 1607968715858
Moved to 2975, 1807 at time 1607968716148
Moved to 2974, 1806 at time 1607968716352
Moved to 2973, 1805 at time 1607968716619
Moved to 2972, 1804 at time 1607968716845
Moved to 2971, 1803 at time 1607968717246
Moved to 2970, 1802 at time 1607968717509
Moved to 2969, 1801 at time 1607968717717
Moved to 2968, 1800 at time 1607968717945
Moved to 2967, 1799 at time 1607968718367
Moved to 2966, 1798 at time 1607968718632
Moved to 2965, 1797 at time 1607968718882
Moved to 2964, 1796 at time 1607968719102
Moved to 2963, 1795 at time 1607968719380
Moved to 2962, 1794 at time 1607968719507
Moved to 2961, 1793 at time 1607968719798
Moved to 2960, 1792 at time 1607968719931
Moved to 2959, 1791 at time 1607968720215
Moved to 2958, 1790 at time 1607968720346
Moved to 2957, 1789 at time 1607968720452
Moved to 2956, 1788 at time 1607968720562
Moved to 2955, 1787 at time 1607968720664
Moved to 2954, 1786 at time 1607968720769
Moved to 2953, 1785 at time 1607968720891
Moved to 2952, 1784 at time 1607968721047
Moved to 2951, 1783 at time 1607968721220
Moved to 2950, 1782 at time 1607968721428
Moved to 2949, 1781 at time 1607968721608
Moved to 2948, 1780 at time 1607968721808
Moved to 2947, 1779 at time 1607968721983
Moved to 2946, 1778 at time 1607968722186
Moved to 2945, 1777 at time 1607968722375
Moved to 2944, 1776 at time 1607968722563
Moved to 2943, 1775 at time 1607968722779
Moved to 2942, 1774 at time 1607968722916
Moved to 2941, 1773 at time 1607968723017
Moved to 2940, 1772 at time 1607968723237
Moved to 2939, 1771 at time 1607968723379
Moved to 2938, 1770 at time 1607968723614
Moved to 2937, 1769 at time 1607968723753
Moved to 2936, 1768 at time 1607968724027
Moved to 2935, 1767 at time 1607968724278
Moved to 2934, 1766 at time 1607968724385
Moved to 2933, 1765 at time 1607968724630
Moved to 2932, 1764 at time 1607968724752
Moved to 2931, 1763 at time 1607968724994
Moved to 2930, 1762 at time 1607968725269
Moved to 2929, 1761 at time 1607968725512
Moved to 2928, 1760 at time 1607968725618
Moved to 2927, 1759 at time 1607968725851
Moved to 2926, 1758 at time 1607968726131
Moved to 2925, 1757 at time 1607968726398
Moved to 2924, 1756 at time 1607968726582
Moved to 2923, 1755 at time 1607968726704
Moved to 2922, 1754 at time 1607968726848
Moved to 2921, 1753 at time 1607968726951
