Moved to 370, 2317 at time 1607969349691
Moved to 369, 2316 at time 1607969349852
Moved to 368, 2315 at time 1607969394706
Moved to 367, 2314 at time 1607969394717
Moved to 366, 2313 at time 1607969394750
Moved to 365, 2312 at time 1607969394886
Moved to 364, 2311 at time 1607969394963
Moved to 363, 2310 at time 1607969394974
Moved to 362, 2309 at time 1607969395031
Moved to 361, 2308 at time 1607969395080
Moved to 360, 2307 at time 1607969395111
Moved to 359, 2306 at time 1607969395236
Moved to 358, 2305 at time 1607969395317
Moved to 357, 2304 at time 1607969395553
Moved to 356, 2303 at time 1607969395601
Moved to 355, 2302 at time 1607969395780
Moved to 354, 2301 at time 1607969396081
Moved to 353, 2300 at time 1607969396396
Moved to 352, 2299 at time 1607969396784
Moved to 351, 2298 at time 1607969396805
Moved to 350, 2297 at time 1607969396923
Moved to 349, 2296 at time 1607969396934
Moved to 348, 2295 at time 1607969397026
Moved to 347, 2294 at time 1607969397143
Moved to 346, 2293 at time 1607969397270
Moved to 345, 2292 at time 1607969397422
Moved to 344, 2291 at time 1607969397437
Moved to 343, 2290 at time 1607969397782
Moved to 342, 2289 at time 1607969398043
Moved to 341, 2288 at time 1607969398299
Moved to 340, 2287 at time 1607969398612
Moved to 339, 2286 at time 1607969398623
Moved to 338, 2285 at time 1607969398704
Moved to 337, 2284 at time 1607969398739
Moved to 336, 2283 at time 1607969398902
Moved to 335, 2282 at time 1607969398990
Moved to 334, 2281 at time 1607969399141
Moved to 333, 2280 at time 1607969399173
Moved to 332, 2279 at time 1607969399234
Moved to 331, 2278 at time 1607969399313
Moved to 330, 2277 at time 1607969399370
Moved to 329, 2276 at time 1607969399466
Moved to 328, 2275 at time 1607969399533
Moved to 327, 2274 at time 1607969399603
Moved to 326, 2273 at time 1607969399664
Moved to 325, 2272 at time 1607969399723
Moved to 324, 2271 at time 1607969399816
Moved to 323, 2270 at time 1607969399890
Moved to 322, 2269 at time 1607969399907
Moved to 321, 2268 at time 1607969400069
Moved to 320, 2267 at time 1607969400081
Moved to 319, 2266 at time 1607969400230
Moved to 318, 2265 at time 1607969400320
Moved to 317, 2264 at time 1607969400387
Moved to 316, 2263 at time 1607969400499
Moved to 315, 2262 at time 1607969400603
Moved to 314, 2261 at time 1607969400658
Moved to 313, 2260 at time 1607969400672
Moved to 312, 2259 at time 1607969400721
Moved to 311, 2258 at time 1607969400734
Moved to 310, 2257 at time 1607969400770
Moved to 309, 2256 at time 1607969400791
Moved to 308, 2255 at time 1607969400834
Moved to 307, 2254 at time 1607969400855
Moved to 306, 2253 at time 1607969400907
Moved to 305, 2252 at time 1607969400938
Moved to 304, 2251 at time 1607969401099
Moved to 303, 2250 at time 1607969401208
Moved to 302, 2249 at time 1607969401348
Moved to 301, 2248 at time 1607969401620
Moved to 300, 2247 at time 1607969401758
Moved to 299, 2246 at time 1607969401881
Moved to 298, 2245 at time 1607969401984
Moved to 297, 2244 at time 1607969402146
