Moved to 803, 770 at time 1607967053365
Moved to 802, 769 at time 1607967053776
Moved to 801, 768 at time 1607967097299
Moved to 800, 767 at time 1607967097311
Moved to 799, 766 at time 1607967097465
Moved to 798, 765 at time 1607967097730
Moved to 797, 764 at time 1607967097759
Moved to 796, 763 at time 1607967097954
Moved to 795, 762 at time 1607967097967
Moved to 794, 761 at time 1607967098127
Moved to 793, 760 at time 1607967098151
Moved to 792, 759 at time 1607967098323
Moved to 791, 758 at time 1607967098343
Moved to 790, 757 at time 1607967098524
Moved to 789, 756 at time 1607967098757
Moved to 788, 755 at time 1607967098820
Moved to 787, 754 at time 1607967099060
Moved to 786, 753 at time 1607967099112
Moved to 785, 752 at time 1607967099761
Moved to 784, 751 at time 1607967099773
Moved to 783, 750 at time 1607967099852
Moved to 782, 749 at time 1607967099864
Moved to 781, 748 at time 1607967100173
Moved to 780, 747 at time 1607967100209
Moved to 779, 746 at time 1607967100682
Moved to 778, 745 at time 1607967101171
Moved to 777, 744 at time 1607967101275
Moved to 776, 743 at time 1607967101778
Moved to 775, 742 at time 1607967101808
Moved to 774, 741 at time 1607967101914
Moved to 773, 740 at time 1607967101952
Moved to 772, 739 at time 1607967102098
Moved to 771, 738 at time 1607967102142
Moved to 770, 737 at time 1607967102261
Moved to 769, 736 at time 1607967102342
Moved to 768, 735 at time 1607967102572
Moved to 767, 734 at time 1607967102658
Moved to 766, 733 at time 1607967103013
Moved to 765, 732 at time 1607967103179
Moved to 764, 731 at time 1607967103398
Moved to 763, 730 at time 1607967103481
Moved to 762, 729 at time 1607967103540
Moved to 761, 728 at time 1607967103630
Moved to 760, 727 at time 1607967103691
Moved to 759, 726 at time 1607967103798
Moved to 758, 725 at time 1607967103847
Moved to 757, 724 at time 1607967103920
Moved to 756, 723 at time 1607967103932
Moved to 755, 722 at time 1607967103943
Moved to 754, 721 at time 1607967104233
Moved to 753, 720 at time 1607967104586
Moved to 752, 719 at time 1607967105009
Moved to 751, 718 at time 1607967105026
Moved to 750, 717 at time 1607967105568
Moved to 749, 716 at time 1607967105717
Moved to 748, 715 at time 1607967106051
Moved to 747, 714 at time 1607967106080
Moved to 746, 713 at time 1607967106462
Moved to 745, 712 at time 1607967106474
Moved to 744, 711 at time 1607967106822
Moved to 743, 710 at time 1607967106844
Moved to 742, 709 at time 1607967107189
Moved to 741, 708 at time 1607967107477
Moved to 740, 707 at time 1607967107659
Moved to 739, 706 at time 1607967107777
Moved to 738, 705 at time 1607967107946
Moved to 737, 704 at time 1607967108064
Moved to 736, 703 at time 1607967108198
Moved to 735, 702 at time 1607967108334
Moved to 734, 701 at time 1607967108406
Moved to 733, 700 at time 1607967108438
Moved to 732, 699 at time 1607967108530
Moved to 731, 698 at time 1607967108574
Moved to 730, 697 at time 1607967108665
Moved to 729, 696 at time 1607967108678
Moved to 728, 695 at time 1607967108756
Moved to 727, 694 at time 1607967109013
Moved to 726, 693 at time 1607967109130
Moved to 725, 692 at time 1607967109422
Moved to 724, 691 at time 1607967109537
Moved to 723, 690 at time 1607967109886
Moved to 722, 689 at time 1607967110075
Moved to 721, 688 at time 1607967110164
Moved to 720, 687 at time 1607967110613
Moved to 719, 686 at time 1607967110859
Moved to 718, 685 at time 1607967111016
Moved to 717, 684 at time 1607967111286
Moved to 716, 683 at time 1607967111465
Moved to 715, 682 at time 1607967111703
Moved to 714, 681 at time 1607967111882
Moved to 713, 680 at time 1607967111989
Moved to 712, 679 at time 1607967112080
Moved to 711, 678 at time 1607967112229
Moved to 710, 677 at time 1607967112331
Moved to 709, 676 at time 1607967112706
Moved to 708, 675 at time 1607967112884
Moved to 707, 674 at time 1607967113111
Moved to 706, 673 at time 1607967113277
Moved to 705, 672 at time 1607967113564
Moved to 704, 671 at time 1607967113764
Moved to 703, 670 at time 1607967114010
Moved to 702, 669 at time 1607967114210
Moved to 701, 668 at time 1607967114459
Moved to 700, 667 at time 1607967114666
Moved to 699, 666 at time 1607967114855
Moved to 698, 665 at time 1607967115300
Moved to 697, 664 at time 1607967115315
Moved to 696, 663 at time 1607967115484
Moved to 695, 662 at time 1607967115632
Moved to 694, 661 at time 1607967115643
Moved to 693, 660 at time 1607967115722
Moved to 692, 659 at time 1607967115874
Moved to 691, 658 at time 1607967115960
Moved to 690, 657 at time 1607967116128
Moved to 689, 656 at time 1607967116249
Moved to 688, 655 at time 1607967116468
Moved to 687, 654 at time 1607967116645
Moved to 686, 653 at time 1607967116938
Moved to 685, 652 at time 1607967117017
Moved to 684, 651 at time 1607967117178
Moved to 683, 650 at time 1607967117307
Moved to 682, 649 at time 1607967117458
Moved to 681, 648 at time 1607967117554
Moved to 680, 647 at time 1607967117878
Moved to 679, 646 at time 1607967118046
Moved to 678, 645 at time 1607967118299
Moved to 677, 644 at time 1607967118313
Moved to 676, 643 at time 1607967118411
Moved to 675, 642 at time 1607967118698
Moved to 674, 641 at time 1607967118779
Moved to 673, 640 at time 1607967119004
Moved to 672, 639 at time 1607967119100
Moved to 671, 638 at time 1607967119502
Moved to 670, 637 at time 1607967119683
Moved to 669, 636 at time 1607967119724
Moved to 668, 635 at time 1607967119736
Moved to 667, 634 at time 1607967119793
Moved to 666, 633 at time 1607967119849
Moved to 665, 632 at time 1607967119900
Moved to 664, 631 at time 1607967119942
Moved to 663, 630 at time 1607967119988
Moved to 662, 629 at time 1607967120071
Moved to 661, 628 at time 1607967120119
Moved to 660, 627 at time 1607967120130
Moved to 659, 626 at time 1607967120165
Moved to 658, 625 at time 1607967120179
Moved to 657, 624 at time 1607967120212
Moved to 656, 623 at time 1607967120223
Moved to 655, 622 at time 1607967120249
Moved to 654, 621 at time 1607967120330
Moved to 653, 620 at time 1607967120353
Moved to 652, 619 at time 1607967120429
Moved to 651, 618 at time 1607967120473
Moved to 650, 617 at time 1607967120556
Moved to 649, 616 at time 1607967120664
Moved to 648, 615 at time 1607967120780
Moved to 647, 614 at time 1607967120831
Moved to 646, 613 at time 1607967120900
Moved to 645, 612 at time 1607967120949
Moved to 644, 611 at time 1607967120997
Moved to 643, 610 at time 1607967121034
Moved to 642, 609 at time 1607967121089
Moved to 641, 608 at time 1607967121140
Moved to 640, 607 at time 1607967121222
Moved to 639, 606 at time 1607967121233
Moved to 638, 605 at time 1607967121284
Moved to 637, 604 at time 1607967121388
Moved to 636, 603 at time 1607967121437
Moved to 635, 602 at time 1607967121504
Moved to 634, 601 at time 1607967121532
Moved to 633, 600 at time 1607967121641
Moved to 632, 599 at time 1607967121682
Moved to 631, 598 at time 1607967121725
Moved to 630, 597 at time 1607967121772
Moved to 629, 596 at time 1607967121816
Moved to 628, 595 at time 1607967121853
