Moved to 302, 585 at time 1607903707464
Moved to 301, 584 at time 1607903707499
Moved to 300, 583 at time 1607903707546
Moved to 299, 582 at time 1607903707584
Moved to 298, 581 at time 1607903707623
Moved to 297, 580 at time 1607903707661
Moved to 296, 579 at time 1607903707700
Moved to 295, 578 at time 1607903707735
Moved to 294, 577 at time 1607903707770
Moved to 293, 571 at time 1607903708393
Moved to 292, 570 at time 1607903708428
Moved to 291, 569 at time 1607903708463
Moved to 290, 568 at time 1607903708497
Moved to 289, 567 at time 1607903708531
Moved to 288, 566 at time 1607903708565
Moved to 287, 565 at time 1607903708601
Moved to 286, 564 at time 1607903708635
Moved to 285, 563 at time 1607903708669
Moved to 284, 562 at time 1607903708703
Moved to 283, 561 at time 1607903708770
Moved to 282, 560 at time 1607903708804
Moved to 281, 559 at time 1607903708838
Moved to 280, 558 at time 1607903708872
Moved to 279, 557 at time 1607903708906
Moved to 278, 556 at time 1607903708940
Moved to 277, 555 at time 1607903708974
Moved to 276, 554 at time 1607903709010
Moved to 275, 553 at time 1607903709078
Moved to 274, 552 at time 1607903709113
Moved to 273, 551 at time 1607903709147
Moved to 272, 550 at time 1607903709181
Moved to 271, 549 at time 1607903709215
Moved to 270, 548 at time 1607903709251
Moved to 269, 547 at time 1607903709285
Moved to 268, 546 at time 1607903709319
Moved to 267, 545 at time 1607903709353
Moved to 266, 544 at time 1607903709420
Moved to 265, 543 at time 1607903709454
Moved to 264, 542 at time 1607903709489
Moved to 263, 541 at time 1607903709525
Moved to 262, 540 at time 1607903709559
Moved to 261, 539 at time 1607903709593
Moved to 260, 538 at time 1607903709627
Moved to 259, 537 at time 1607903709661
Moved to 258, 536 at time 1607903709695
Moved to 257, 535 at time 1607903709729
Moved to 256, 534 at time 1607903709796
Moved to 255, 533 at time 1607903709830
Moved to 254, 532 at time 1607903709864
Moved to 253, 531 at time 1607903709898
Moved to 252, 530 at time 1607903709934
Moved to 251, 529 at time 1607903709968
Moved to 250, 528 at time 1607903710002
Moved to 249, 527 at time 1607903710036
Moved to 248, 526 at time 1607903710070
Moved to 247, 525 at time 1607903710203
Moved to 246, 524 at time 1607903710270
Moved to 245, 523 at time 1607903710403
Moved to 244, 522 at time 1607903710470
Moved to 243, 521 at time 1607903710537
Moved to 242, 520 at time 1607903710604
Moved to 241, 519 at time 1607903710737
Moved to 240, 518 at time 1607903710805
Moved to 239, 517 at time 1607903710872
Moved to 238, 516 at time 1607903711005
Moved to 237, 515 at time 1607903711072
Moved to 236, 514 at time 1607903711139
Moved to 235, 513 at time 1607903711206
Moved to 234, 512 at time 1607903711339
Moved to 233, 511 at time 1607903711406
Moved to 232, 510 at time 1607903711473
Moved to 231, 509 at time 1607903711540
Moved to 230, 508 at time 1607903711607
Moved to 229, 507 at time 1607903711740
Moved to 228, 506 at time 1607903711807
Moved to 227, 505 at time 1607903711874
Moved to 226, 504 at time 1607903711941
Moved to 225, 503 at time 1607903712008
Moved to 224, 502 at time 1607903712140
Moved to 223, 501 at time 1607903712209
Moved to 183, 500 at time 1607903715227
Moved to 182, 499 at time 1607903715261
Moved to 181, 498 at time 1607903715295
Moved to 180, 497 at time 1607903715329
Moved to 179, 496 at time 1607903715396
Moved to 178, 495 at time 1607903715430
Moved to 177, 494 at time 1607903715464
Moved to 176, 493 at time 1607903715531
Moved to 175, 492 at time 1607903715565
Moved to 174, 491 at time 1607903715599
Moved to 173, 490 at time 1607903715633
Moved to 172, 489 at time 1607903715667
Moved to 171, 488 at time 1607903715701
Moved to 170, 487 at time 1607903715735
Moved to 169, 486 at time 1607903715769
Moved to 168, 485 at time 1607903715836
Moved to 167, 484 at time 1607903715870
Moved to 166, 483 at time 1607903715904
Moved to 165, 482 at time 1607903715938
Moved to 164, 481 at time 1607903715972
Moved to 163, 480 at time 1607903716006
Moved to 162, 479 at time 1607903716040
Moved to 161, 478 at time 1607903716075
Moved to 160, 477 at time 1607903716109
Moved to 159, 476 at time 1607903716176
Moved to 158, 475 at time 1607903716309
Moved to 157, 474 at time 1607903716376
Moved to 156, 473 at time 1607903716443
Moved to 155, 472 at time 1607903716510
Moved to 154, 471 at time 1607903716643
Moved to 153, 470 at time 1607903716710
Moved to 152, 469 at time 1607903716777
Moved to 151, 468 at time 1607903716910
Moved to 150, 467 at time 1607903717043
Moved to 149, 466 at time 1607903717176
Moved to 148, 465 at time 1607903717243
Moved to 147, 464 at time 1607903717310
Moved to 146, 463 at time 1607903717377
Moved to 145, 462 at time 1607903717510
Moved to 144, 461 at time 1607903717577
Moved to 143, 457 at time 1607903718447
Moved to 141, 456 at time 1607903718581
Moved to 139, 455 at time 1607903718783
Moved to 138, 454 at time 1607903718850
Moved to 136, 453 at time 1607903718984
Moved to 135, 452 at time 1607903719117
Moved to 128, 451 at time 1607903719924
Moved to 127, 450 at time 1607903719991
Moved to 126, 449 at time 1607903720027
Moved to 125, 448 at time 1607903720061
Moved to 124, 447 at time 1607903720095
Moved to 122, 446 at time 1607903720196
Moved to 120, 445 at time 1607903720264
Moved to 117, 444 at time 1607903720369
Moved to 114, 443 at time 1607903720473
Moved to 113, 442 at time 1607903720507
Moved to 112, 441 at time 1607903720541
Moved to 111, 440 at time 1607903720575
Moved to 110, 439 at time 1607903720610
Moved to 109, 438 at time 1607903720644
Moved to 108, 437 at time 1607903720678
Moved to 107, 436 at time 1607903720712
Moved to 106, 435 at time 1607903720779
Moved to 105, 434 at time 1607903720813
Moved to 104, 433 at time 1607903720847
Moved to 103, 432 at time 1607903720881
Moved to 102, 431 at time 1607903720915
Moved to 101, 430 at time 1607903720949
Moved to 100, 429 at time 1607903720983
Attacked Unit@78f22753at position 100, 100 at time 1607903724005
Attacked Unit@78f22753at position 100, 100 at time 1607903725699
Attacked Unit@78f22753at position 100, 100 at time 1607903727377
Attacked Unit@78f22753at position 100, 100 at time 1607903729057
