Moved to 25, 628 at time 1607905321834
Moved to 26, 627 at time 1607905322150
Moved to 27, 626 at time 1607905322328
Moved to 28, 625 at time 1607905465017
Moved to 29, 624 at time 1607905465084
Moved to 30, 623 at time 1607905465317
Moved to 31, 622 at time 1607905465537
Moved to 32, 621 at time 1607905465732
Moved to 33, 620 at time 1607905466110
Moved to 34, 619 at time 1607905466157
Got attacked at 34, 619 by Unit@5115be87 at time 1607905466167
Got attacked at 34, 619 by Unit@a4ea503 at time 1607905466310
Moved to 35, 618 at time 1607905466506
Moved to 36, 617 at time 1607905466561
Moved to 37, 616 at time 1607905466771
Moved to 38, 615 at time 1607905466967
Moved to 39, 614 at time 1607905467159
Moved to 40, 613 at time 1607905467221
Moved to 41, 612 at time 1607905467307
Moved to 42, 611 at time 1607905467379
Got attacked at 42, 611 by Unit@5115be87 at time 1607905467442
Moved to 43, 610 at time 1607905467556
Got attacked at 43, 610 by Unit@a4ea503 at time 1607905467598
Moved to 44, 609 at time 1607905467728
Moved to 45, 608 at time 1607905467789
Moved to 46, 607 at time 1607905467957
Moved to 47, 606 at time 1607905467971
Moved to 48, 605 at time 1607905468123
Moved to 49, 604 at time 1607905468149
Moved to 50, 603 at time 1607905468327
Moved to 51, 602 at time 1607905468476
Moved to 52, 601 at time 1607905468667
Moved to 53, 600 at time 1607905468688
Got attacked at 53, 600 by Unit@a4ea503 at time 1607905468795
Got attacked at 53, 600 by Unit@5115be87 at time 1607905468800
Moved to 54, 599 at time 1607905468821
Moved to 55, 598 at time 1607905468951
Moved to 56, 597 at time 1607905469041
Moved to 57, 596 at time 1607905469073
Moved to 58, 595 at time 1607905469251
Moved to 59, 594 at time 1607905469339
Moved to 60, 593 at time 1607905469394
Moved to 61, 592 at time 1607905469450
Moved to 62, 591 at time 1607905469501
Moved to 63, 590 at time 1607905469633
Moved to 64, 589 at time 1607905469666
Moved to 65, 588 at time 1607905469794
Moved to 66, 587 at time 1607905469837
Moved to 67, 586 at time 1607905469916
Moved to 68, 585 at time 1607905469958
Got attacked at 68, 585 by Unit@a4ea503 at time 1607905469972
Moved to 69, 584 at time 1607905470038
Moved to 70, 583 at time 1607905470084
Got attacked at 70, 583 by Unit@5115be87 at time 1607905470092
Moved to 71, 582 at time 1607905470157
Moved to 72, 581 at time 1607905470222
Moved to 73, 580 at time 1607905470301
Moved to 74, 579 at time 1607905470368
Moved to 75, 578 at time 1607905470430
Moved to 76, 577 at time 1607905470476
Moved to 77, 576 at time 1607905470552
Moved to 78, 575 at time 1607905470693
Moved to 79, 574 at time 1607905470711
Moved to 80, 573 at time 1607905470774
Moved to 81, 572 at time 1607905470859
Moved to 82, 571 at time 1607905470924
Moved to 83, 570 at time 1607905470936
Moved to 84, 569 at time 1607905471034
Got attacked at 84, 569 by Unit@5d609d59 at time 1607905471040
Moved to 85, 568 at time 1607905471089
Moved to 86, 567 at time 1607905471135
Got attacked at 86, 567 by Unit@a4ea503 at time 1607905471151
Moved to 87, 566 at time 1607905471168
Moved to 88, 565 at time 1607905471212
Moved to 89, 564 at time 1607905471238
Moved to 90, 563 at time 1607905471336
Got attacked at 90, 563 by Unit@5115be87 at time 1607905471351
Moved to 91, 562 at time 1607905471357
Moved to 92, 561 at time 1607905471417
Moved to 93, 560 at time 1607905471429
Moved to 94, 559 at time 1607905471498
Moved to 95, 558 at time 1607905471574
Moved to 96, 557 at time 1607905471665
Moved to 97, 556 at time 1607905471721
Moved to 98, 555 at time 1607905471757
Moved to 99, 554 at time 1607905471802
Moved to 100, 553 at time 1607905471824
Got attacked at 100, 549 by Unit@49f4c12a at time 1607905472074
Got attacked at 100, 546 by Unit@5d609d59 at time 1607905472219
Got attacked at 100, 543 by Unit@a4ea503 at time 1607905472392
Got attacked at 100, 542 by Unit@5115be87 at time 1607905472469
Got attacked at 100, 524 by Unit@49f4c12a at time 1607905473212
Got attacked at 100, 520 by Unit@5d609d59 at time 1607905473408
Got attacked at 100, 517 by Unit@a4ea503 at time 1607905473575
Got attacked at 100, 517 by Unit@5115be87 at time 1607905473613
Got attacked at 100, 498 by Unit@49f4c12a at time 1607905474358
Got attacked at 100, 494 by Unit@4cf94017 at time 1607905474504
Got attacked at 100, 492 by Unit@5d609d59 at time 1607905474572
Got attacked at 100, 484 by Unit@a4ea503 at time 1607905474755
Got attacked at 100, 484 by Unit@5115be87 at time 1607905474780
Got attacked at 100, 457 by Unit@4cf94017 at time 1607905475686
Got attacked at 100, 455 by Unit@5d609d59 at time 1607905475761
Got attacked at 100, 453 by Unit@67928bb1 at time 1607905475825
Got attacked at 100, 451 by Unit@a4ea503 at time 1607905475902
Got attacked at 100, 449 by Unit@5115be87 at time 1607905475968
Got attacked at 100, 421 by Unit@4cf94017 at time 1607905476829
Died at 100, 420 at time 1607905476841
