Moved to 2034, 1678 at time 1607967053578
Moved to 2033, 1677 at time 1607967097434
Moved to 2032, 1676 at time 1607967097739
Moved to 2031, 1675 at time 1607967097949
Moved to 2030, 1674 at time 1607967098125
Moved to 2029, 1673 at time 1607967098348
Moved to 2028, 1672 at time 1607967098489
Moved to 2027, 1671 at time 1607967098553
Moved to 2026, 1670 at time 1607967098707
Moved to 2025, 1669 at time 1607967098846
Moved to 2024, 1668 at time 1607967099206
Moved to 2023, 1667 at time 1607967099611
Moved to 2022, 1666 at time 1607967099965
Moved to 2021, 1665 at time 1607967100082
Moved to 2020, 1664 at time 1607967100212
Moved to 2019, 1663 at time 1607967100609
Moved to 2018, 1662 at time 1607967100671
Moved to 2017, 1661 at time 1607967100706
Moved to 2016, 1660 at time 1607967101070
Moved to 2015, 1659 at time 1607967101338
Moved to 2014, 1658 at time 1607967101750
Moved to 2013, 1657 at time 1607967101809
Moved to 2012, 1656 at time 1607967101896
Moved to 2011, 1655 at time 1607967101943
Moved to 2010, 1654 at time 1607967102164
Moved to 2009, 1653 at time 1607967102464
Moved to 2008, 1652 at time 1607967102805
Moved to 2007, 1651 at time 1607967102848
Moved to 2006, 1650 at time 1607967103244
Moved to 2005, 1649 at time 1607967103439
Moved to 2004, 1648 at time 1607967103557
Moved to 2003, 1647 at time 1607967103746
Moved to 2002, 1646 at time 1607967103907
Moved to 2001, 1645 at time 1607967103966
Moved to 2000, 1644 at time 1607967104045
Moved to 1999, 1643 at time 1607967104335
Moved to 1998, 1642 at time 1607967104497
Moved to 1997, 1641 at time 1607967104665
Moved to 1996, 1640 at time 1607967105252
Moved to 1995, 1639 at time 1607967105369
Moved to 1994, 1638 at time 1607967105873
Moved to 1993, 1637 at time 1607967105908
Moved to 1992, 1636 at time 1607967106238
Moved to 1991, 1635 at time 1607967106297
Moved to 1990, 1634 at time 1607967106557
Moved to 1989, 1633 at time 1607967106610
Moved to 1988, 1632 at time 1607967107030
Moved to 1987, 1631 at time 1607967107332
Moved to 1986, 1630 at time 1607967107583
Moved to 1985, 1629 at time 1607967107701
Moved to 1984, 1628 at time 1607967107837
Moved to 1983, 1627 at time 1607967108001
Moved to 1982, 1626 at time 1607967108158
Moved to 1981, 1625 at time 1607967108199
Moved to 1980, 1624 at time 1607967108276
Moved to 1979, 1623 at time 1607967108331
Moved to 1978, 1622 at time 1607967108392
Moved to 1977, 1621 at time 1607967108429
Moved to 1976, 1620 at time 1607967108511
Moved to 1975, 1619 at time 1607967108567
Moved to 1974, 1618 at time 1607967108638
