Moved to 344, 522 at time 1607903707543
Moved to 343, 521 at time 1607903707657
Moved to 342, 520 at time 1607903707760
Moved to 341, 519 at time 1607903707866
Moved to 340, 518 at time 1607903707971
Moved to 339, 517 at time 1607903708072
Moved to 338, 516 at time 1607903708173
Moved to 337, 515 at time 1607903708277
Moved to 336, 514 at time 1607903708378
Moved to 335, 513 at time 1607903708482
Moved to 334, 512 at time 1607903708584
Moved to 333, 511 at time 1607903708685
Moved to 332, 510 at time 1607903708789
Moved to 331, 509 at time 1607903708891
Moved to 330, 508 at time 1607903708993
Moved to 329, 507 at time 1607903709099
Moved to 328, 506 at time 1607903709200
Moved to 327, 505 at time 1607903709302
Moved to 326, 504 at time 1607903709406
Moved to 325, 503 at time 1607903709510
Moved to 324, 502 at time 1607903709613
Moved to 323, 501 at time 1607903709716
Moved to 322, 500 at time 1607903709917
Moved to 321, 499 at time 1607903710019
Moved to 320, 498 at time 1607903710220
Moved to 319, 497 at time 1607903710321
Moved to 318, 496 at time 1607903710422
Moved to 317, 495 at time 1607903710523
Moved to 316, 494 at time 1607903710625
Moved to 315, 493 at time 1607903710726
Moved to 314, 492 at time 1607903710827
Moved to 313, 491 at time 1607903711028
Moved to 312, 490 at time 1607903711129
Moved to 311, 489 at time 1607903711230
Moved to 310, 488 at time 1607903711431
Moved to 309, 487 at time 1607903711532
Moved to 308, 486 at time 1607903711633
Moved to 307, 485 at time 1607903711834
Moved to 306, 484 at time 1607903711935
Moved to 305, 483 at time 1607903712138
Moved to 304, 482 at time 1607903712240
Moved to 303, 481 at time 1607903712343
Moved to 302, 480 at time 1607903712444
Moved to 301, 479 at time 1607903712645
Moved to 300, 478 at time 1607903713048
Moved to 299, 477 at time 1607903713253
Moved to 298, 476 at time 1607903713454
Moved to 297, 475 at time 1607903713656
Moved to 296, 474 at time 1607903714059
Moved to 295, 473 at time 1607903714261
Moved to 294, 472 at time 1607903714462
Moved to 293, 471 at time 1607903714665
Moved to 292, 470 at time 1607903714868
Moved to 291, 469 at time 1607903715270
Moved to 290, 468 at time 1607903715671
Moved to 289, 467 at time 1607903716075
Moved to 288, 466 at time 1607903716277
Moved to 287, 465 at time 1607903716480
Moved to 286, 464 at time 1607903716682
Moved to 285, 463 at time 1607903716884
Moved to 284, 462 at time 1607903717287
Moved to 283, 461 at time 1607903717688
Moved to 282, 460 at time 1607903717890
Moved to 281, 459 at time 1607903718091
Moved to 280, 458 at time 1607903718294
Moved to 279, 457 at time 1607903718495
Moved to 278, 456 at time 1607903718697
Moved to 277, 455 at time 1607903718900
Moved to 276, 454 at time 1607903719101
Moved to 275, 453 at time 1607903719305
Moved to 274, 452 at time 1607903719507
Moved to 273, 451 at time 1607903719708
Moved to 272, 450 at time 1607903719910
Moved to 271, 449 at time 1607903720112
Moved to 270, 448 at time 1607903720214
Moved to 269, 447 at time 1607903720316
Moved to 268, 446 at time 1607903720417
Moved to 267, 445 at time 1607903720518
Moved to 266, 444 at time 1607903720619
Moved to 265, 443 at time 1607903720720
Moved to 264, 442 at time 1607903720822
Moved to 263, 441 at time 1607903720923
Moved to 262, 440 at time 1607903721024
Moved to 261, 439 at time 1607903721225
Moved to 260, 438 at time 1607903721326
Moved to 259, 437 at time 1607903721427
Moved to 258, 436 at time 1607903721529
Moved to 257, 435 at time 1607903721630
Moved to 256, 434 at time 1607903721731
Moved to 255, 433 at time 1607903721833
Moved to 254, 432 at time 1607903721935
Moved to 253, 431 at time 1607903722037
Moved to 252, 430 at time 1607903722139
Moved to 251, 429 at time 1607903722240
Moved to 250, 428 at time 1607903722342
Moved to 249, 427 at time 1607903722444
Moved to 248, 426 at time 1607903722545
Moved to 247, 425 at time 1607903722646
Moved to 246, 424 at time 1607903722847
Moved to 245, 423 at time 1607903722949
Moved to 244, 422 at time 1607903723050
Moved to 243, 421 at time 1607903723151
Moved to 242, 420 at time 1607903723761
Moved to 241, 419 at time 1607903723863
Moved to 240, 418 at time 1607903723964
Moved to 239, 417 at time 1607903724065
Moved to 238, 416 at time 1607903724166
Moved to 237, 415 at time 1607903724367
Moved to 236, 414 at time 1607903724468
Moved to 235, 413 at time 1607903724669
Moved to 234, 412 at time 1607903724770
Moved to 233, 411 at time 1607903724871
Moved to 232, 410 at time 1607903725072
Moved to 231, 409 at time 1607903725173
Moved to 230, 408 at time 1607903725275
Moved to 229, 407 at time 1607903725377
Moved to 228, 406 at time 1607903725478
Moved to 227, 405 at time 1607903725579
Moved to 226, 404 at time 1607903725780
Moved to 225, 403 at time 1607903725881
Moved to 224, 402 at time 1607903725982
Moved to 223, 396 at time 1607903726600
Moved to 222, 395 at time 1607903726702
Moved to 221, 394 at time 1607903726803
Moved to 220, 393 at time 1607903726905
Moved to 219, 392 at time 1607903727006
Moved to 218, 391 at time 1607903727111
Moved to 217, 390 at time 1607903727219
Moved to 216, 389 at time 1607903727342
Moved to 215, 388 at time 1607903727444
Moved to 214, 387 at time 1607903727547
Moved to 213, 386 at time 1607903727648
Moved to 212, 385 at time 1607903727750
Moved to 211, 384 at time 1607903727853
Moved to 210, 383 at time 1607903727954
Moved to 209, 382 at time 1607903728058
Moved to 208, 381 at time 1607903728159
Moved to 207, 380 at time 1607903728260
Moved to 206, 379 at time 1607903728363
Moved to 205, 378 at time 1607903728466
Moved to 204, 377 at time 1607903728667
Moved to 203, 376 at time 1607903728769
Moved to 202, 375 at time 1607903728870
Moved to 201, 374 at time 1607903728973
Moved to 200, 373 at time 1607903729075
Moved to 199, 372 at time 1607903729176
Moved to 198, 371 at time 1607903729377
Moved to 197, 370 at time 1607903729478
Moved to 196, 369 at time 1607903729580
