Moved to 272, 1625 at time 1607965644360
Moved to 271, 1624 at time 1607965644726
Moved to 270, 1623 at time 1607965644761
Moved to 269, 1622 at time 1607965645069
Moved to 268, 1621 at time 1607965645262
Moved to 267, 1620 at time 1607965645419
Moved to 266, 1619 at time 1607965645566
Moved to 265, 1618 at time 1607965645600
Moved to 264, 1617 at time 1607965645634
Moved to 263, 1616 at time 1607965646033
Moved to 262, 1615 at time 1607965646093
Moved to 261, 1614 at time 1607965646599
Moved to 260, 1613 at time 1607965707802
Moved to 259, 1612 at time 1607965708093
Moved to 258, 1611 at time 1607965708151
Moved to 257, 1610 at time 1607965708314
Moved to 256, 1609 at time 1607965708528
Moved to 255, 1608 at time 1607965708785
Moved to 254, 1607 at time 1607965708915
Moved to 253, 1606 at time 1607965709003
Moved to 252, 1605 at time 1607965709100
Moved to 251, 1604 at time 1607965709181
Moved to 250, 1603 at time 1607965709283
Moved to 249, 1602 at time 1607965709353
Moved to 248, 1601 at time 1607965709467
Moved to 247, 1600 at time 1607965709548
Moved to 246, 1599 at time 1607965709885
Moved to 245, 1598 at time 1607965710199
Moved to 244, 1597 at time 1607965710516
Moved to 243, 1596 at time 1607965710720
Moved to 242, 1595 at time 1607965710976
Moved to 241, 1594 at time 1607965711220
Moved to 240, 1593 at time 1607965711425
Moved to 239, 1592 at time 1607965711459
Moved to 238, 1591 at time 1607965711583
Moved to 237, 1590 at time 1607965712086
Moved to 236, 1589 at time 1607965712257
Moved to 235, 1588 at time 1607965712591
Moved to 234, 1587 at time 1607965712679
Moved to 233, 1586 at time 1607965713030
Moved to 232, 1585 at time 1607965713101
Moved to 231, 1584 at time 1607965713527
Moved to 230, 1583 at time 1607965713798
Moved to 229, 1582 at time 1607965714085
Moved to 228, 1581 at time 1607965714154
Moved to 227, 1580 at time 1607965714451
Moved to 226, 1579 at time 1607965714642
Moved to 225, 1578 at time 1607965715001
Moved to 224, 1577 at time 1607965715078
Moved to 223, 1576 at time 1607965715186
Moved to 222, 1575 at time 1607965715230
Moved to 221, 1574 at time 1607965715318
Moved to 220, 1573 at time 1607965715390
Moved to 219, 1572 at time 1607965715492
Moved to 218, 1571 at time 1607965715547
Moved to 217, 1570 at time 1607965715646
Moved to 216, 1569 at time 1607965715719
Moved to 215, 1568 at time 1607965715831
Moved to 214, 1567 at time 1607965715952
Moved to 213, 1566 at time 1607965716287
Moved to 212, 1565 at time 1607965716464
Moved to 211, 1564 at time 1607965716754
Moved to 210, 1563 at time 1607965716824
Moved to 209, 1562 at time 1607965716950
Moved to 208, 1561 at time 1607965717076
Moved to 207, 1560 at time 1607965717188
Moved to 206, 1559 at time 1607965717254
Moved to 205, 1558 at time 1607965717380
Moved to 204, 1557 at time 1607965717438
Moved to 203, 1556 at time 1607965717551
Moved to 202, 1555 at time 1607965717601
Moved to 201, 1554 at time 1607965717704
Moved to 200, 1553 at time 1607965717746
Moved to 199, 1552 at time 1607965718038
Moved to 198, 1551 at time 1607965718214
Moved to 197, 1550 at time 1607965718507
Moved to 196, 1549 at time 1607965718555
Moved to 195, 1548 at time 1607965718666
Moved to 194, 1547 at time 1607965718731
Moved to 193, 1546 at time 1607965718842
Moved to 192, 1545 at time 1607965718886
Moved to 191, 1544 at time 1607965719027
Moved to 190, 1543 at time 1607965719145
Moved to 189, 1542 at time 1607965719354
Moved to 188, 1541 at time 1607965719505
Moved to 187, 1540 at time 1607965719813
Moved to 186, 1539 at time 1607965720022
Moved to 185, 1538 at time 1607965720362
