Attacked Unit@4163f6f6at position 2930, 1683 at time 1607967053578
Moved to 3166, 1834 at time 1607967097449
Moved to 3165, 1833 at time 1607967097764
Moved to 3164, 1832 at time 1607967098001
Moved to 3163, 1831 at time 1607967098223
Moved to 3162, 1830 at time 1607967098415
Moved to 3161, 1829 at time 1607967098678
Attacked Unit@58c28e0at position 2892, 1621 at time 1607967098873
Attacked Unit@58c28e0at position 2892, 1621 at time 1607967100794
Attacked Unit@58c28e0at position 2892, 1621 at time 1607967102447
Moved to 3160, 1828 at time 1607967102822
Moved to 3159, 1827 at time 1607967103258
Moved to 3158, 1826 at time 1607967103307
Moved to 3157, 1825 at time 1607967103388
Moved to 3156, 1824 at time 1607967103459
Moved to 3155, 1823 at time 1607967103643
Moved to 3154, 1822 at time 1607967103816
Moved to 3153, 1821 at time 1607967103980
Moved to 3152, 1820 at time 1607967104036
Moved to 3151, 1819 at time 1607967104359
Moved to 3150, 1818 at time 1607967104477
Moved to 3149, 1817 at time 1607967104680
Moved to 3148, 1816 at time 1607967105263
Moved to 3147, 1815 at time 1607967105354
Moved to 3146, 1814 at time 1607967105880
Moved to 3145, 1813 at time 1607967105920
Moved to 3144, 1812 at time 1607967106224
Moved to 3143, 1811 at time 1607967106315
Moved to 3142, 1810 at time 1607967106545
Moved to 3141, 1809 at time 1607967106629
Moved to 3140, 1808 at time 1607967107015
Moved to 3139, 1807 at time 1607967107060
Moved to 3138, 1806 at time 1607967107310
Attacked Unit@78978ad1at position 2869, 1629 at time 1607967107599
Moved to 3137, 1805 at time 1607967108093
Moved to 3136, 1804 at time 1607967108257
Moved to 3135, 1803 at time 1607967108350
Moved to 3134, 1802 at time 1607967108384
Moved to 3133, 1801 at time 1607967108434
Moved to 3132, 1800 at time 1607967108507
Attacked Unit@5471c443at position 2863, 1705 at time 1607967109406
Attacked Unit@70bdd027at position 2863, 1685 at time 1607967111284
Attacked Unit@70bdd027at position 2863, 1685 at time 1607967112965
Attacked Unit@5471c443at position 2863, 1705 at time 1607967114709
Moved to 3131, 1799 at time 1607967115114
Moved to 3130, 1798 at time 1607967115233
Moved to 3129, 1797 at time 1607967115527
Moved to 3128, 1796 at time 1607967115580
Moved to 3127, 1795 at time 1607967115775
Moved to 3126, 1794 at time 1607967116032
Moved to 3125, 1793 at time 1607967116328
Moved to 3124, 1792 at time 1607967116379
Moved to 3123, 1791 at time 1607967116414
Moved to 3122, 1790 at time 1607967116671
Moved to 3121, 1789 at time 1607967116812
Moved to 3120, 1788 at time 1607967116936
Moved to 3119, 1787 at time 1607967117000
Moved to 3118, 1786 at time 1607967117166
Attacked Unit@198b40eeat position 2849, 1718 at time 1607967117291
Attacked Unit@198b40eeat position 2849, 1718 at time 1607967119168
Attacked Unit@198b40eeat position 2849, 1718 at time 1607967120939
Moved to 3117, 1785 at time 1607967120982
Moved to 3116, 1784 at time 1607967121024
Moved to 3115, 1783 at time 1607967121072
Moved to 3114, 1782 at time 1607967121132
Moved to 3113, 1781 at time 1607967121200
Got attacked at 3113, 1781 by Unit@10481e at time 1607967121246
Got attacked at 3113, 1781 by Unit@14929865 at time 1607967122390
Attacked Unit@14929865at position 2844, 1737 at time 1607967122668
Got attacked at 3113, 1781 by Unit@10481e at time 1607967122984
Got attacked at 3113, 1781 by Unit@14929865 at time 1607967124187
Attacked Unit@14929865at position 2844, 1737 at time 1607967124350
Got attacked at 3113, 1781 by Unit@10481e at time 1607967124706
Got attacked at 3113, 1781 by Unit@1f0c5072 at time 1607967124738
Got attacked at 3113, 1781 by Unit@14929865 at time 1607967125900
Died at 3113, 1781 at time 1607967125948
