Moved to 207, 953 at time 1607971941725
Moved to 208, 954 at time 1607971941776
Moved to 209, 955 at time 1607972019917
Moved to 210, 956 at time 1607972019967
Moved to 211, 957 at time 1607972020004
Moved to 212, 958 at time 1607972020038
Moved to 213, 959 at time 1607972020072
Moved to 214, 958 at time 1607972020107
Moved to 215, 957 at time 1607972020142
Moved to 216, 958 at time 1607972020179
Moved to 217, 959 at time 1607972020214
Moved to 218, 960 at time 1607972020249
Moved to 219, 961 at time 1607972020287
Moved to 220, 962 at time 1607972020354
Moved to 221, 963 at time 1607972020389
Moved to 222, 964 at time 1607972020423
Moved to 223, 965 at time 1607972020457
Moved to 224, 966 at time 1607972020494
Moved to 225, 967 at time 1607972020529
Moved to 226, 968 at time 1607972020563
Moved to 227, 969 at time 1607972020597
Moved to 228, 970 at time 1607972020631
Moved to 229, 971 at time 1607972020665
Moved to 230, 972 at time 1607972020700
Moved to 231, 973 at time 1607972020736
Moved to 232, 974 at time 1607972020803
Moved to 233, 973 at time 1607972020837
Moved to 234, 974 at time 1607972020872
Moved to 235, 973 at time 1607972020906
Moved to 236, 974 at time 1607972020946
Moved to 237, 975 at time 1607972020981
Moved to 238, 976 at time 1607972021015
Moved to 239, 977 at time 1607972021049
Moved to 240, 978 at time 1607972021083
Moved to 241, 979 at time 1607972021118
Moved to 242, 978 at time 1607972021152
Moved to 243, 977 at time 1607972021187
Moved to 244, 978 at time 1607972021221
Moved to 245, 979 at time 1607972021256
Moved to 246, 980 at time 1607972021294
Moved to 247, 981 at time 1607972021328
Moved to 248, 982 at time 1607972021366
Moved to 249, 981 at time 1607972021403
Moved to 250, 982 at time 1607972021471
Attacked Unit@32a2a820at position 519, 994 at time 1607972021505
Attacked Unit@32595195at position 519, 968 at time 1607972023174
Attacked Unit@32a2a820at position 519, 994 at time 1607972024856
Attacked Unit@32595195at position 519, 968 at time 1607972026548
Moved to 251, 983 at time 1607972027140
Moved to 252, 984 at time 1607972027174
Attacked Unit@6ee327cbat position 521, 948 at time 1607972028234
Attacked Unit@6ee327cbat position 521, 948 at time 1607972029917
Moved to 253, 985 at time 1607972030055
Moved to 254, 984 at time 1607972030089
Moved to 255, 985 at time 1607972030123
Moved to 256, 986 at time 1607972030190
Moved to 257, 987 at time 1607972030225
Moved to 258, 988 at time 1607972030292
Moved to 259, 989 at time 1607972030359
Moved to 260, 988 at time 1607972030426
Moved to 261, 989 at time 1607972030494
Moved to 262, 990 at time 1607972030563
Moved to 263, 991 at time 1607972030631
Moved to 264, 992 at time 1607972030697
Moved to 265, 992 at time 1607972030831
Moved to 266, 993 at time 1607972030898
Moved to 267, 996 at time 1607972031100
Moved to 268, 998 at time 1607972031234
Moved to 269, 1000 at time 1607972031335
Moved to 270, 1002 at time 1607972031535
Moved to 271, 1003 at time 1607972031604
Moved to 272, 1001 at time 1607972031804
Moved to 273, 1002 at time 1607972031871
Moved to 274, 1003 at time 1607972032006
Moved to 275, 1004 at time 1607972032073
Moved to 276, 1006 at time 1607972032209
Moved to 277, 1008 at time 1607972032411
Moved to 278, 1011 at time 1607972032681
Moved to 279, 1012 at time 1607972032749
Moved to 280, 1013 at time 1607972032816
Attacked Unit@15934db0at position 549, 999 at time 1607972032888
