Moved to 982, 810 at time 1607968586180
Moved to 981, 809 at time 1607968586213
Moved to 980, 808 at time 1607968586307
Moved to 979, 807 at time 1607968622467
Moved to 978, 806 at time 1607968622479
Moved to 977, 805 at time 1607968622507
Moved to 976, 804 at time 1607968622553
Moved to 975, 803 at time 1607968622638
Moved to 974, 802 at time 1607968622758
Moved to 973, 801 at time 1607968622801
Moved to 972, 800 at time 1607968622969
Moved to 971, 799 at time 1607968623004
Moved to 970, 798 at time 1607968623082
Moved to 969, 797 at time 1607968623138
Moved to 968, 796 at time 1607968623339
Moved to 967, 795 at time 1607968623428
Moved to 966, 794 at time 1607968623708
Moved to 965, 793 at time 1607968623878
Moved to 964, 792 at time 1607968624212
Moved to 963, 791 at time 1607968624389
Moved to 962, 790 at time 1607968624721
Moved to 961, 789 at time 1607968624845
Moved to 960, 788 at time 1607968625110
Moved to 959, 787 at time 1607968625192
Moved to 958, 786 at time 1607968625474
Moved to 957, 785 at time 1607968625559
Moved to 956, 784 at time 1607968625744
Moved to 955, 783 at time 1607968625828
Moved to 954, 782 at time 1607968625948
Moved to 953, 781 at time 1607968626084
Moved to 952, 780 at time 1607968626248
Moved to 951, 779 at time 1607968626371
Moved to 950, 778 at time 1607968626478
Moved to 949, 777 at time 1607968626650
Moved to 948, 776 at time 1607968626795
Moved to 947, 775 at time 1607968626936
Moved to 946, 774 at time 1607968626978
Moved to 945, 773 at time 1607968627034
Moved to 944, 772 at time 1607968627074
Moved to 943, 771 at time 1607968627143
Moved to 942, 770 at time 1607968627201
Moved to 941, 769 at time 1607968627269
Moved to 940, 768 at time 1607968627294
Moved to 939, 767 at time 1607968627355
Moved to 938, 766 at time 1607968627440
Moved to 937, 765 at time 1607968627542
Moved to 936, 764 at time 1607968627613
Moved to 935, 763 at time 1607968627624
Moved to 934, 762 at time 1607968627675
Moved to 933, 761 at time 1607968627703
Moved to 932, 760 at time 1607968627744
Moved to 931, 759 at time 1607968627766
Moved to 930, 758 at time 1607968627827
Moved to 929, 757 at time 1607968627858
Moved to 928, 756 at time 1607968627893
Moved to 927, 755 at time 1607968627926
Moved to 926, 754 at time 1607968627960
Moved to 925, 753 at time 1607968627994
Moved to 924, 752 at time 1607968628039
Moved to 923, 751 at time 1607968628058
Moved to 922, 750 at time 1607968628110
Moved to 921, 749 at time 1607968628155
Moved to 920, 748 at time 1607968628196
Moved to 919, 747 at time 1607968628267
Moved to 918, 746 at time 1607968628278
Moved to 917, 745 at time 1607968628324
Moved to 916, 744 at time 1607968628338
Moved to 915, 743 at time 1607968628374
Moved to 914, 742 at time 1607968628442
Moved to 913, 741 at time 1607968628526
Moved to 912, 740 at time 1607968628584
Moved to 911, 739 at time 1607968628595
Moved to 910, 738 at time 1607968628678
Moved to 909, 737 at time 1607968628692
Moved to 908, 736 at time 1607968628826
Moved to 907, 735 at time 1607968628970
Moved to 906, 734 at time 1607968629038
Moved to 905, 733 at time 1607968629177
Moved to 904, 732 at time 1607968629275
Moved to 903, 731 at time 1607968629406
Moved to 902, 730 at time 1607968629477
Moved to 901, 729 at time 1607968629546
Moved to 900, 728 at time 1607968629657
Moved to 899, 727 at time 1607968629667
Moved to 898, 726 at time 1607968629737
Moved to 897, 725 at time 1607968629858
Moved to 896, 724 at time 1607968629969
Moved to 895, 723 at time 1607968630031
Moved to 894, 722 at time 1607968630064
Moved to 893, 721 at time 1607968630095
Moved to 892, 720 at time 1607968630116
Moved to 891, 719 at time 1607968630147
Moved to 890, 718 at time 1607968630173
Moved to 889, 717 at time 1607968630202
Moved to 888, 716 at time 1607968630217
Moved to 887, 715 at time 1607968630255
Moved to 886, 714 at time 1607968630331
Moved to 885, 713 at time 1607968630455
Moved to 884, 712 at time 1607968630637
Moved to 883, 711 at time 1607968630840
Moved to 882, 710 at time 1607968631033
Moved to 881, 709 at time 1607968631079
Moved to 880, 708 at time 1607968631316
Moved to 879, 707 at time 1607968631625
Moved to 878, 706 at time 1607968631925
Moved to 877, 705 at time 1607968632044
Moved to 876, 704 at time 1607968632223
Moved to 875, 703 at time 1607968632318
Moved to 874, 702 at time 1607968632397
Moved to 873, 701 at time 1607968632457
Moved to 872, 700 at time 1607968632496
Moved to 871, 699 at time 1607968632508
Moved to 870, 698 at time 1607968632531
Moved to 869, 697 at time 1607968632553
Moved to 868, 696 at time 1607968632570
Moved to 867, 695 at time 1607968632602
Moved to 866, 694 at time 1607968632613
Moved to 865, 693 at time 1607968632643
Moved to 864, 692 at time 1607968632680
Moved to 863, 691 at time 1607968632720
Moved to 862, 690 at time 1607968632763
Moved to 861, 689 at time 1607968632812
Moved to 860, 688 at time 1607968632829
Moved to 859, 687 at time 1607968632854
Moved to 858, 686 at time 1607968632870
Moved to 857, 685 at time 1607968632889
Moved to 856, 684 at time 1607968632909
Moved to 855, 683 at time 1607968632923
Moved to 854, 682 at time 1607968632945
Moved to 853, 681 at time 1607968632965
Moved to 852, 680 at time 1607968632979
Moved to 851, 679 at time 1607968633006
Moved to 850, 678 at time 1607968633019
Moved to 849, 677 at time 1607968633046
Moved to 848, 676 at time 1607968633094
Moved to 847, 675 at time 1607968633128
Moved to 846, 674 at time 1607968633181
Moved to 845, 673 at time 1607968633215
Moved to 844, 672 at time 1607968633263
Moved to 843, 671 at time 1607968633310
Moved to 842, 670 at time 1607968633357
Moved to 841, 669 at time 1607968633382
Moved to 840, 668 at time 1607968633395
Moved to 839, 667 at time 1607968633417
Moved to 838, 666 at time 1607968633440
Moved to 837, 665 at time 1607968633457
Moved to 836, 664 at time 1607968633477
Moved to 835, 663 at time 1607968705417
Moved to 834, 662 at time 1607968705447
Moved to 833, 661 at time 1607968705468
Moved to 832, 660 at time 1607968705501
Moved to 831, 659 at time 1607968705572
Moved to 830, 658 at time 1607968705595
Moved to 829, 657 at time 1607968705608
Moved to 828, 656 at time 1607968705631
Moved to 827, 655 at time 1607968705655
Moved to 826, 654 at time 1607968705687
Moved to 825, 653 at time 1607968705703
Moved to 824, 652 at time 1607968705727
Moved to 823, 651 at time 1607968705743
Moved to 822, 650 at time 1607968705801
Moved to 821, 649 at time 1607968705843
Moved to 820, 648 at time 1607968705893
Moved to 819, 647 at time 1607968705953
Moved to 818, 646 at time 1607968705975
Moved to 817, 645 at time 1607968705987
Moved to 816, 644 at time 1607968706020
Moved to 815, 643 at time 1607968706039
