Moved to 100, 857 at time 1607905321845
Attacked Unit@19e90414at position 100, 100 at time 1607905487824
Got attacked at 101, 453 by Unit@4cf94017 at time 1607905491460
Got attacked at 101, 553 by Unit@5d609d59 at time 1607905492612
Got attacked at 101, 565 by Unit@a4ea503 at time 1607905492753
Got attacked at 101, 577 by Unit@5115be87 at time 1607905492888
Attacked Unit@19e90414at position 100, 100 at time 1607905496086
Got attacked at 100, 193 by Unit@67928bb1 at time 1607905503863
Got attacked at 100, 191 by Unit@a4ea503 at time 1607905503887
Got attacked at 100, 180 by Unit@5115be87 at time 1607905504020
Attacked Unit@19e90414at position 100, 100 at time 1607905504039
Got attacked at 101, 232 by Unit@49f4c12a at time 1607905504631
Got attacked at 101, 249 by Unit@4cf94017 at time 1607905504820
Got attacked at 101, 252 by Unit@5d609d59 at time 1607905504858
Got attacked at 101, 277 by Unit@5115be87 at time 1607905505132
Got attacked at 101, 331 by Unit@49f4c12a at time 1607905505744
Got attacked at 101, 349 by Unit@4cf94017 at time 1607905505932
Got attacked at 101, 362 by Unit@67928bb1 at time 1607905506086
Got attacked at 101, 364 by Unit@a4ea503 at time 1607905506112
Got attacked at 101, 376 by Unit@5115be87 at time 1607905506245
Got attacked at 101, 431 by Unit@49f4c12a at time 1607905506856
Got attacked at 101, 447 by Unit@4cf94017 at time 1607905507045
Got attacked at 101, 451 by Unit@5d609d59 at time 1607905507081
Got attacked at 101, 461 by Unit@67928bb1 at time 1607905507198
Got attacked at 101, 463 by Unit@a4ea503 at time 1607905507224
Got attacked at 101, 475 by Unit@5115be87 at time 1607905507362
Got attacked at 101, 530 by Unit@49f4c12a at time 1607905507969
Got attacked at 101, 550 by Unit@5d609d59 at time 1607905508194
Got attacked at 101, 563 by Unit@a4ea503 at time 1607905508337
Got attacked at 101, 576 by Unit@5115be87 at time 1607905508475
Attacked Unit@19e90414at position 100, 100 at time 1607905511613
