Moved to 1148, 2482 at time 1607967053313
Moved to 1147, 2481 at time 1607967053756
Moved to 1146, 2480 at time 1607967097430
Moved to 1145, 2479 at time 1607967097739
Moved to 1144, 2478 at time 1607967097947
Moved to 1143, 2477 at time 1607967098165
Moved to 1142, 2476 at time 1607967098287
Moved to 1141, 2475 at time 1607967098355
Moved to 1140, 2474 at time 1607967098597
Moved to 1139, 2473 at time 1607967098679
Moved to 1138, 2472 at time 1607967098872
Moved to 1137, 2471 at time 1607967098906
Moved to 1136, 2470 at time 1607967098946
Moved to 1135, 2469 at time 1607967099358
Moved to 1134, 2468 at time 1607967099447
Moved to 1133, 2467 at time 1607967099483
Moved to 1132, 2466 at time 1607967100019
Moved to 1131, 2465 at time 1607967100443
Moved to 1130, 2464 at time 1607967100858
Moved to 1129, 2463 at time 1607967101636
Moved to 1128, 2462 at time 1607967101865
Moved to 1127, 2461 at time 1607967101899
Moved to 1126, 2460 at time 1607967101942
Moved to 1125, 2459 at time 1607967102081
Moved to 1124, 2458 at time 1607967102136
Moved to 1123, 2457 at time 1607967102237
Moved to 1122, 2456 at time 1607967102346
Moved to 1121, 2455 at time 1607967102545
Moved to 1120, 2454 at time 1607967102663
Moved to 1119, 2453 at time 1607967102994
Moved to 1118, 2452 at time 1607967103171
Moved to 1117, 2451 at time 1607967103325
Moved to 1116, 2450 at time 1607967103513
Moved to 1115, 2449 at time 1607967103633
Moved to 1114, 2448 at time 1607967103836
Moved to 1113, 2447 at time 1607967103913
Moved to 1112, 2446 at time 1607967103958
Moved to 1110, 2445 at time 1607967104329
Moved to 1107, 2444 at time 1607967104610
Moved to 1106, 2443 at time 1607967104935
Moved to 1105, 2442 at time 1607967105077
Moved to 1104, 2441 at time 1607967105497
Moved to 1103, 2440 at time 1607967105796
Moved to 1102, 2439 at time 1607967106001
Moved to 1101, 2438 at time 1607967106117
Moved to 1100, 2437 at time 1607967106418
Moved to 1099, 2436 at time 1607967106485
Moved to 1098, 2435 at time 1607967106765
Moved to 1097, 2434 at time 1607967106894
Moved to 1096, 2433 at time 1607967107161
Moved to 1095, 2432 at time 1607967107479
Moved to 1094, 2431 at time 1607967107516
Moved to 1093, 2430 at time 1607967107625
Moved to 1092, 2429 at time 1607967107665
Moved to 1091, 2428 at time 1607967107735
Moved to 1090, 2427 at time 1607967107798
Moved to 1089, 2426 at time 1607967107902
Moved to 1088, 2425 at time 1607967107956
Moved to 1087, 2424 at time 1607967108034
Moved to 1086, 2423 at time 1607967108076
Moved to 1085, 2422 at time 1607967108152
Moved to 1084, 2421 at time 1607967108201
Moved to 1083, 2420 at time 1607967108276
Moved to 1082, 2419 at time 1607967108331
Moved to 1081, 2418 at time 1607967108365
Moved to 1080, 2417 at time 1607967108467
Moved to 1079, 2416 at time 1607967108611
Moved to 1078, 2415 at time 1607967108836
Moved to 1077, 2414 at time 1607967108892
Moved to 1076, 2413 at time 1607967109246
Moved to 1075, 2412 at time 1607967109308
Moved to 1074, 2411 at time 1607967109653
Moved to 1073, 2410 at time 1607967109757
Moved to 1072, 2409 at time 1607967109996
Moved to 1071, 2408 at time 1607967110297
Moved to 1070, 2407 at time 1607967110702
Moved to 1069, 2406 at time 1607967110743
Moved to 1068, 2405 at time 1607967111125
Moved to 1067, 2404 at time 1607967111587
Moved to 1066, 2403 at time 1607967111919
Moved to 1065, 2402 at time 1607967112143
Moved to 1064, 2401 at time 1607967112426
Moved to 1063, 2400 at time 1607967112786
Moved to 1062, 2399 at time 1607967113183
Moved to 1061, 2398 at time 1607967113646
Moved to 1060, 2397 at time 1607967114097
Moved to 1059, 2396 at time 1607967114550
Moved to 1058, 2395 at time 1607967114953
Moved to 1057, 2394 at time 1607967115404
Moved to 1056, 2393 at time 1607967115675
Moved to 1055, 2392 at time 1607967115945
Moved to 1054, 2391 at time 1607967116118
Moved to 1053, 2390 at time 1607967116229
Moved to 1052, 2389 at time 1607967116465
Moved to 1051, 2388 at time 1607967116618
Moved to 1050, 2387 at time 1607967116849
Moved to 1049, 2386 at time 1607967116913
Moved to 1048, 2385 at time 1607967117019
Moved to 1047, 2384 at time 1607967117125
Moved to 1046, 2383 at time 1607967117449
Moved to 1045, 2382 at time 1607967117539
Moved to 1044, 2381 at time 1607967117688
Moved to 1043, 2380 at time 1607967117842
Moved to 1042, 2379 at time 1607967118071
Moved to 1041, 2378 at time 1607967118240
Moved to 1040, 2377 at time 1607967118456
Moved to 1039, 2376 at time 1607967118643
Moved to 1038, 2375 at time 1607967118804
Moved to 1037, 2374 at time 1607967118938
Moved to 1036, 2373 at time 1607967119149
Moved to 1035, 2372 at time 1607967119332
Moved to 1034, 2371 at time 1607967119532
Moved to 1033, 2370 at time 1607967119662
Moved to 1032, 2369 at time 1607967119722
Moved to 1031, 2368 at time 1607967119756
Moved to 1030, 2367 at time 1607967119857
Moved to 1029, 2366 at time 1607967119962
Moved to 1028, 2365 at time 1607967120072
Moved to 1027, 2364 at time 1607967120194
Moved to 1026, 2363 at time 1607967120258
Moved to 1025, 2362 at time 1607967120297
Moved to 1024, 2361 at time 1607967120366
Moved to 1023, 2360 at time 1607967120517
Moved to 1022, 2359 at time 1607967120586
Moved to 1021, 2358 at time 1607967120705
Moved to 1020, 2357 at time 1607967120783
Moved to 1019, 2356 at time 1607967120930
Moved to 1018, 2355 at time 1607967120992
Moved to 1017, 2354 at time 1607967121113
Moved to 1016, 2353 at time 1607967121232
Moved to 1015, 2352 at time 1607967121268
Moved to 1014, 2351 at time 1607967121454
Moved to 1013, 2350 at time 1607967121564
Moved to 1012, 2349 at time 1607967121640
Moved to 1011, 2348 at time 1607967121743
Moved to 1010, 2347 at time 1607967121822
Moved to 1009, 2346 at time 1607967121908
Moved to 1008, 2345 at time 1607967121989
Moved to 1007, 2344 at time 1607967122072
Moved to 1006, 2343 at time 1607967122160
Moved to 1005, 2342 at time 1607967122233
Moved to 1004, 2341 at time 1607967122304
Moved to 1003, 2340 at time 1607967122388
Moved to 1002, 2339 at time 1607967122455
Moved to 1001, 2338 at time 1607967122531
Moved to 1000, 2337 at time 1607967122622
Moved to 999, 2336 at time 1607967122690
Moved to 998, 2335 at time 1607967122766
Moved to 997, 2334 at time 1607967122833
Moved to 996, 2333 at time 1607967122949
Moved to 995, 2332 at time 1607967123203
Moved to 994, 2331 at time 1607967123515
Moved to 993, 2330 at time 1607967123895
Moved to 992, 2329 at time 1607967124223
Moved to 991, 2328 at time 1607967124380
Moved to 990, 2327 at time 1607967124507
Moved to 989, 2326 at time 1607967124602
Moved to 988, 2325 at time 1607967124685
Moved to 987, 2324 at time 1607967124807
Moved to 986, 2323 at time 1607967124919
Moved to 985, 2322 at time 1607967125025
Moved to 984, 2321 at time 1607967125136
Moved to 983, 2320 at time 1607967125216
Moved to 982, 2319 at time 1607967125341
Moved to 981, 2318 at time 1607967125450
Moved to 980, 2317 at time 1607967125511
Moved to 979, 2316 at time 1607967125625
Moved to 978, 2315 at time 1607967125659
Moved to 977, 2314 at time 1607967125774
Moved to 976, 2313 at time 1607967125855
Moved to 975, 2312 at time 1607967125957
Moved to 974, 2311 at time 1607967126099
Moved to 973, 2310 at time 1607967126181
Moved to 972, 2309 at time 1607967126432
Moved to 971, 2308 at time 1607967126673
Moved to 970, 2307 at time 1607967126849
Moved to 969, 2306 at time 1607967127148
Moved to 968, 2305 at time 1607967127521
Moved to 967, 2304 at time 1607967127919
Moved to 966, 2303 at time 1607967128320
Moved to 965, 2302 at time 1607967128711
Moved to 964, 2301 at time 1607967129124
Moved to 963, 2300 at time 1607967129477
Moved to 962, 2299 at time 1607967129742
Moved to 961, 2298 at time 1607967129849
Moved to 960, 2297 at time 1607967130138
Moved to 959, 2296 at time 1607967130237
Moved to 958, 2295 at time 1607967130505
Moved to 957, 2294 at time 1607967130609
Moved to 956, 2293 at time 1607967130647
Moved to 955, 2292 at time 1607967130842
Moved to 954, 2291 at time 1607967131023
Moved to 953, 2290 at time 1607967131194
Moved to 952, 2289 at time 1607967131380
Moved to 951, 2288 at time 1607967131568
Moved to 950, 2287 at time 1607967131602
Moved to 949, 2286 at time 1607967131689
Moved to 948, 2285 at time 1607967131961
Moved to 947, 2284 at time 1607967132060
Moved to 946, 2283 at time 1607967132327
Moved to 945, 2282 at time 1607967132362
Moved to 944, 2281 at time 1607967132407
Moved to 943, 2280 at time 1607967132711
Moved to 942, 2279 at time 1607967132745
Moved to 941, 2278 at time 1607967133119
Moved to 940, 2277 at time 1607967133470
Moved to 939, 2276 at time 1607967133893
Moved to 938, 2275 at time 1607967134190
Moved to 937, 2274 at time 1607967134279
Moved to 936, 2273 at time 1607967134401
Moved to 935, 2272 at time 1607967134484
Moved to 934, 2271 at time 1607967134588
Moved to 933, 2270 at time 1607967134648
Moved to 932, 2269 at time 1607967134741
Moved to 931, 2268 at time 1607967134796
Moved to 930, 2267 at time 1607967134902
Moved to 929, 2266 at time 1607967134958
Moved to 928, 2265 at time 1607967135057
Moved to 927, 2264 at time 1607967135117
Moved to 926, 2263 at time 1607967135211
Moved to 925, 2262 at time 1607967135282
Moved to 924, 2261 at time 1607967135364
