Moved to 1623, 845 at time 1607905321833
Moved to 1622, 844 at time 1607905322160
Moved to 1621, 843 at time 1607905322332
Moved to 1620, 842 at time 1607905465152
Moved to 1619, 841 at time 1607905465422
Moved to 1618, 840 at time 1607905465658
Moved to 1617, 839 at time 1607905465748
Moved to 1616, 838 at time 1607905465996
Moved to 1615, 837 at time 1607905466250
Moved to 1614, 836 at time 1607905466471
Moved to 1613, 835 at time 1607905466720
Moved to 1612, 834 at time 1607905466955
Moved to 1611, 833 at time 1607905467170
Moved to 1610, 832 at time 1607905467343
Moved to 1609, 831 at time 1607905467563
Moved to 1608, 830 at time 1607905467754
Moved to 1607, 829 at time 1607905467882
Moved to 1606, 828 at time 1607905468071
Moved to 1605, 827 at time 1607905468181
Moved to 1604, 826 at time 1607905468368
Moved to 1603, 825 at time 1607905468483
Moved to 1602, 824 at time 1607905468684
Moved to 1601, 823 at time 1607905468787
Moved to 1600, 822 at time 1607905468949
Moved to 1599, 821 at time 1607905469024
Moved to 1598, 820 at time 1607905469217
Moved to 1597, 819 at time 1607905469349
Moved to 1596, 818 at time 1607905469473
Moved to 1595, 817 at time 1607905469572
Moved to 1594, 816 at time 1607905469705
Moved to 1593, 815 at time 1607905469800
Moved to 1592, 814 at time 1607905469926
Moved to 1591, 813 at time 1607905470049
Moved to 1590, 812 at time 1607905470174
Moved to 1589, 811 at time 1607905470323
Moved to 1588, 810 at time 1607905470450
Moved to 1587, 809 at time 1607905470554
Moved to 1586, 808 at time 1607905470703
Moved to 1585, 807 at time 1607905470769
Moved to 1584, 806 at time 1607905470872
Moved to 1583, 805 at time 1607905470962
Moved to 1582, 804 at time 1607905471039
Moved to 1581, 803 at time 1607905471154
Moved to 1580, 802 at time 1607905471203
Moved to 1579, 801 at time 1607905471308
Moved to 1578, 800 at time 1607905471362
Moved to 1577, 799 at time 1607905471506
Moved to 1576, 798 at time 1607905471543
Moved to 1575, 797 at time 1607905471580
Moved to 1574, 796 at time 1607905471622
Moved to 1573, 795 at time 1607905471740
Moved to 1572, 794 at time 1607905471789
Moved to 1571, 793 at time 1607905471912
Moved to 1570, 792 at time 1607905471956
Moved to 1569, 791 at time 1607905472037
Moved to 1568, 790 at time 1607905472151
Moved to 1567, 789 at time 1607905472280
Moved to 1566, 788 at time 1607905472325
Moved to 1565, 787 at time 1607905472378
Moved to 1564, 786 at time 1607905472436
Moved to 1563, 785 at time 1607905472533
Moved to 1562, 784 at time 1607905472573
Moved to 1561, 783 at time 1607905472670
Moved to 1560, 782 at time 1607905472707
Moved to 1559, 781 at time 1607905472805
Moved to 1558, 780 at time 1607905472890
Moved to 1557, 779 at time 1607905472940
Moved to 1556, 778 at time 1607905473035
Moved to 1555, 777 at time 1607905473104
Moved to 1554, 776 at time 1607905473192
Moved to 1553, 775 at time 1607905473237
Moved to 1552, 774 at time 1607905473308
Moved to 1551, 773 at time 1607905473397
Moved to 1550, 772 at time 1607905473490
Moved to 1549, 771 at time 1607905473558
Moved to 1548, 770 at time 1607905473604
Moved to 1547, 769 at time 1607905473672
Moved to 1546, 768 at time 1607905473736
Moved to 1545, 767 at time 1607905473785
Moved to 1544, 766 at time 1607905473820
Moved to 1543, 765 at time 1607905473854
Moved to 1542, 764 at time 1607905473905
Moved to 1541, 763 at time 1607905473958
Moved to 1540, 762 at time 1607905474037
Moved to 1539, 761 at time 1607905474143
Moved to 1538, 760 at time 1607905474208
Moved to 1537, 759 at time 1607905474279
Moved to 1536, 758 at time 1607905474320
Moved to 1535, 757 at time 1607905474372
Moved to 1534, 756 at time 1607905474418
Moved to 1533, 755 at time 1607905474508
Moved to 1532, 754 at time 1607905474590
Moved to 1531, 753 at time 1607905474679
Moved to 1530, 752 at time 1607905474736
Moved to 1529, 751 at time 1607905474820
Moved to 1528, 750 at time 1607905474887
Moved to 1527, 749 at time 1607905474974
Moved to 1526, 748 at time 1607905475009
Moved to 1525, 747 at time 1607905475073
Moved to 1524, 746 at time 1607905475134
Moved to 1523, 745 at time 1607905475208
Moved to 1522, 744 at time 1607905475244
Moved to 1521, 743 at time 1607905475319
Moved to 1520, 742 at time 1607905475379
Moved to 1519, 741 at time 1607905475467
Moved to 1518, 740 at time 1607905475519
Moved to 1517, 739 at time 1607905475554
Moved to 1516, 738 at time 1607905475624
Moved to 1515, 737 at time 1607905475706
Moved to 1514, 736 at time 1607905475743
Moved to 1513, 735 at time 1607905475794
