Moved to 4, 76 at time 1607903508386
Moved to 5, 77 at time 1607903508508
Moved to 6, 78 at time 1607903508612
Moved to 7, 79 at time 1607903508718
Moved to 8, 80 at time 1607903508819
Moved to 9, 81 at time 1607903508921
Moved to 10, 82 at time 1607903509024
Moved to 11, 83 at time 1607903509126
Moved to 12, 84 at time 1607903509227
Moved to 13, 85 at time 1607903509435
Moved to 14, 86 at time 1607903509742
Moved to 15, 87 at time 1607903509944
Moved to 16, 89 at time 1607903510458
Moved to 17, 90 at time 1607903510659
Moved to 18, 94 at time 1607903511069
Moved to 19, 96 at time 1607903511271
Moved to 20, 97 at time 1607903511372
