Moved to 216, 174 at time 1607969803931
Moved to 215, 173 at time 1607969803956
Moved to 214, 172 at time 1607969803971
Moved to 213, 171 at time 1607969803985
Moved to 212, 170 at time 1607969803998
Moved to 211, 169 at time 1607969804012
Moved to 210, 168 at time 1607969804031
Moved to 209, 167 at time 1607969804043
Moved to 208, 166 at time 1607969804072
Moved to 207, 165 at time 1607969804085
Moved to 206, 164 at time 1607969804098
Moved to 205, 163 at time 1607969804110
Moved to 204, 162 at time 1607969804128
Moved to 203, 161 at time 1607969804139
Moved to 202, 160 at time 1607969804151
Moved to 201, 159 at time 1607969804163
Moved to 200, 158 at time 1607969804174
Moved to 199, 157 at time 1607969804186
Moved to 198, 156 at time 1607969804198
Moved to 197, 155 at time 1607969804209
Moved to 196, 154 at time 1607969804220
Moved to 195, 153 at time 1607969804232
Moved to 194, 152 at time 1607969804243
Moved to 193, 151 at time 1607969804257
Moved to 192, 150 at time 1607969804270
Moved to 191, 149 at time 1607969804282
Moved to 190, 148 at time 1607969804293
Moved to 189, 147 at time 1607969804304
Moved to 188, 146 at time 1607969804317
Moved to 187, 145 at time 1607969804329
Moved to 186, 144 at time 1607969804359
Moved to 185, 143 at time 1607969804371
Moved to 184, 142 at time 1607969804385
Moved to 183, 141 at time 1607969804397
Moved to 182, 140 at time 1607969804409
Moved to 181, 139 at time 1607969804421
Moved to 180, 138 at time 1607969804432
Moved to 179, 137 at time 1607969804453
Attacked Unit@545bec9dat position 100, 100 at time 1607969804472
Attacked Unit@545bec9dat position 100, 100 at time 1607969804905
