Moved to 1462, 4492 at time 1607969349677
Moved to 1461, 4491 at time 1607969349700
Moved to 1460, 4490 at time 1607969349813
Moved to 1459, 4489 at time 1607969394714
Moved to 1458, 4488 at time 1607969394725
Moved to 1457, 4487 at time 1607969394788
Moved to 1456, 4486 at time 1607969394853
Moved to 1455, 4485 at time 1607969394902
Moved to 1454, 4484 at time 1607969394945
Moved to 1453, 4483 at time 1607969394983
Moved to 1452, 4482 at time 1607969395022
Moved to 1451, 4481 at time 1607969395088
Moved to 1450, 4480 at time 1607969395106
Moved to 1449, 4479 at time 1607969395264
Moved to 1448, 4478 at time 1607969395327
Moved to 1447, 4477 at time 1607969395538
Moved to 1446, 4476 at time 1607969395655
Moved to 1445, 4475 at time 1607969395754
Moved to 1444, 4474 at time 1607969395820
Moved to 1443, 4473 at time 1607969395987
Moved to 1442, 4472 at time 1607969396172
Moved to 1441, 4471 at time 1607969396335
Moved to 1440, 4470 at time 1607969396447
Moved to 1439, 4469 at time 1607969396728
Moved to 1438, 4468 at time 1607969396825
Moved to 1437, 4467 at time 1607969396910
Moved to 1436, 4466 at time 1607969396945
Moved to 1435, 4465 at time 1607969397018
Moved to 1434, 4464 at time 1607969397037
Moved to 1433, 4463 at time 1607969397132
Moved to 1432, 4462 at time 1607969397156
Moved to 1431, 4461 at time 1607969397247
Moved to 1430, 4460 at time 1607969397281
Moved to 1429, 4459 at time 1607969397407
Moved to 1428, 4458 at time 1607969397457
Moved to 1427, 4457 at time 1607969397761
Moved to 1426, 4456 at time 1607969397816
Moved to 1425, 4455 at time 1607969397830
Moved to 1424, 4454 at time 1607969398021
Moved to 1423, 4453 at time 1607969398032
Moved to 1422, 4452 at time 1607969398319
Moved to 1421, 4451 at time 1607969398612
Moved to 1420, 4450 at time 1607969398717
Moved to 1419, 4449 at time 1607969398937
Moved to 1418, 4448 at time 1607969399166
Moved to 1417, 4447 at time 1607969399178
Moved to 1416, 4446 at time 1607969399227
Moved to 1415, 4445 at time 1607969399247
Moved to 1414, 4444 at time 1607969399294
Moved to 1413, 4443 at time 1607969399322
Moved to 1412, 4442 at time 1607969399404
Moved to 1411, 4441 at time 1607969399420
Moved to 1410, 4440 at time 1607969399495
Moved to 1409, 4439 at time 1607969399511
Moved to 1408, 4438 at time 1607969399590
Moved to 1407, 4437 at time 1607969399608
Moved to 1406, 4436 at time 1607969399657
Moved to 1405, 4435 at time 1607969399673
Moved to 1404, 4434 at time 1607969399717
Moved to 1403, 4433 at time 1607969399740
Moved to 1402, 4432 at time 1607969399799
Moved to 1401, 4431 at time 1607969399822
Moved to 1400, 4430 at time 1607969399885
Moved to 1399, 4429 at time 1607969399915
Moved to 1398, 4428 at time 1607969400054
Moved to 1397, 4427 at time 1607969400092
Moved to 1396, 4426 at time 1607969400223
Moved to 1395, 4425 at time 1607969400238
Moved to 1394, 4424 at time 1607969400316
Moved to 1393, 4423 at time 1607969400390
Moved to 1392, 4422 at time 1607969400495
Moved to 1391, 4421 at time 1607969400603
Moved to 1390, 4420 at time 1607969400659
Moved to 1389, 4419 at time 1607969400672
Moved to 1388, 4418 at time 1607969400721
Moved to 1387, 4417 at time 1607969400734
Moved to 1386, 4416 at time 1607969400745
Moved to 1385, 4415 at time 1607969400765
Moved to 1384, 4414 at time 1607969400799
Moved to 1383, 4413 at time 1607969400824
Moved to 1382, 4412 at time 1607969400869
Moved to 1381, 4411 at time 1607969400898
Moved to 1380, 4410 at time 1607969400940
Moved to 1379, 4409 at time 1607969400999
Moved to 1378, 4408 at time 1607969401090
Moved to 1377, 4407 at time 1607969401348
Moved to 1376, 4406 at time 1607969401493
Moved to 1375, 4405 at time 1607969401610
Moved to 1374, 4404 at time 1607969401775
Moved to 1373, 4403 at time 1607969401871
Moved to 1372, 4402 at time 1607969402001
Moved to 1371, 4401 at time 1607969402126
Moved to 1370, 4400 at time 1607969402302
Moved to 1369, 4399 at time 1607969402456
Moved to 1368, 4398 at time 1607969402589
Moved to 1367, 4397 at time 1607969402600
Moved to 1366, 4396 at time 1607969402749
Moved to 1365, 4395 at time 1607969402877
Moved to 1364, 4394 at time 1607969403038
Moved to 1363, 4393 at time 1607969403144
Moved to 1362, 4392 at time 1607969403191
Moved to 1361, 4391 at time 1607969403224
Moved to 1360, 4390 at time 1607969403318
Moved to 1359, 4389 at time 1607969403419
Moved to 1358, 4388 at time 1607969403518
Moved to 1357, 4387 at time 1607969403644
Moved to 1356, 4386 at time 1607969403751
Moved to 1355, 4385 at time 1607969404018
Moved to 1354, 4384 at time 1607969404148
Moved to 1353, 4383 at time 1607969404459
Moved to 1352, 4382 at time 1607969404662
Moved to 1351, 4381 at time 1607969404706
Moved to 1350, 4380 at time 1607969404837
Moved to 1349, 4379 at time 1607969404872
Moved to 1348, 4378 at time 1607969405022
Moved to 1347, 4377 at time 1607969405059
Moved to 1346, 4376 at time 1607969405192
Moved to 1345, 4375 at time 1607969405215
Moved to 1344, 4374 at time 1607969405369
Moved to 1343, 4373 at time 1607969405389
Moved to 1342, 4372 at time 1607969405503
Moved to 1341, 4371 at time 1607969405580
Moved to 1340, 4370 at time 1607969405632
Moved to 1339, 4369 at time 1607969405722
Moved to 1338, 4368 at time 1607969405907
Moved to 1337, 4367 at time 1607969406069
Moved to 1336, 4366 at time 1607969406118
Moved to 1335, 4365 at time 1607969406180
Moved to 1334, 4364 at time 1607969406231
Moved to 1333, 4363 at time 1607969406299
Moved to 1332, 4362 at time 1607969406367
Moved to 1331, 4361 at time 1607969406441
Moved to 1330, 4360 at time 1607969406501
Moved to 1329, 4359 at time 1607969406555
Moved to 1328, 4358 at time 1607969406621
Moved to 1327, 4357 at time 1607969406682
Moved to 1326, 4356 at time 1607969406805
Moved to 1325, 4355 at time 1607969406961
Moved to 1324, 4354 at time 1607969407118
Moved to 1323, 4353 at time 1607969407348
Moved to 1322, 4352 at time 1607969407498
Moved to 1321, 4351 at time 1607969407674
Moved to 1320, 4350 at time 1607969407828
Moved to 1319, 4349 at time 1607969407921
Moved to 1318, 4348 at time 1607969407958
Moved to 1317, 4347 at time 1607969407974
Moved to 1316, 4346 at time 1607969408010
Moved to 1315, 4345 at time 1607969408070
Moved to 1314, 4344 at time 1607969408107
Moved to 1313, 4343 at time 1607969408126
Moved to 1312, 4342 at time 1607969408175
Moved to 1311, 4341 at time 1607969408193
Moved to 1310, 4340 at time 1607969408225
Moved to 1309, 4339 at time 1607969408242
Moved to 1308, 4338 at time 1607969408277
Moved to 1307, 4337 at time 1607969408296
Moved to 1306, 4336 at time 1607969408337
Moved to 1305, 4335 at time 1607969408416
Moved to 1304, 4334 at time 1607969408551
Moved to 1303, 4333 at time 1607969408689
Moved to 1302, 4332 at time 1607969408826
Moved to 1301, 4331 at time 1607969408887
Moved to 1300, 4330 at time 1607969408908
Moved to 1299, 4329 at time 1607969408946
Moved to 1298, 4328 at time 1607969408957
Moved to 1297, 4327 at time 1607969409020
Moved to 1296, 4326 at time 1607969409084
Moved to 1295, 4325 at time 1607969409120
Moved to 1294, 4324 at time 1607969409185
Moved to 1293, 4323 at time 1607969409218
Moved to 1292, 4322 at time 1607969409231
Moved to 1291, 4321 at time 1607969409274
Moved to 1290, 4320 at time 1607969409359
Moved to 1289, 4319 at time 1607969409393
Moved to 1288, 4318 at time 1607969409405
Moved to 1287, 4317 at time 1607969409446
Moved to 1286, 4316 at time 1607969409462
Moved to 1285, 4315 at time 1607969409499
Moved to 1284, 4314 at time 1607969409521
Moved to 1283, 4313 at time 1607969409551
Moved to 1282, 4312 at time 1607969409613
Moved to 1281, 4311 at time 1607969409673
Moved to 1280, 4310 at time 1607969409737
Moved to 1279, 4309 at time 1607969409778
Moved to 1278, 4308 at time 1607969409843
Moved to 1277, 4307 at time 1607969409886
Moved to 1276, 4306 at time 1607969409933
Moved to 1275, 4305 at time 1607969409993
Moved to 1274, 4304 at time 1607969410056
Moved to 1273, 4303 at time 1607969410100
Moved to 1272, 4302 at time 1607969410157
Moved to 1271, 4301 at time 1607969410212
Moved to 1270, 4300 at time 1607969410270
Moved to 1269, 4299 at time 1607969410310
Moved to 1268, 4298 at time 1607969410338
Moved to 1267, 4297 at time 1607969410386
Moved to 1266, 4296 at time 1607969410448
Moved to 1265, 4295 at time 1607969410502
Moved to 1264, 4294 at time 1607969410550
Moved to 1263, 4293 at time 1607969410603
Moved to 1262, 4292 at time 1607969410695
Moved to 1261, 4291 at time 1607969410736
Moved to 1260, 4290 at time 1607969410749
Moved to 1259, 4289 at time 1607969410787
Moved to 1258, 4288 at time 1607969410854
Moved to 1257, 4287 at time 1607969410892
Moved to 1256, 4286 at time 1607969410903
Moved to 1255, 4285 at time 1607969410968
Moved to 1254, 4284 at time 1607969411003
Moved to 1253, 4283 at time 1607969411089
Moved to 1252, 4282 at time 1607969411153
Moved to 1251, 4281 at time 1607969411196
Moved to 1250, 4280 at time 1607969411211
Moved to 1249, 4279 at time 1607969411254
Moved to 1248, 4278 at time 1607969411269
Moved to 1247, 4277 at time 1607969411302
Moved to 1246, 4276 at time 1607969411316
Moved to 1245, 4275 at time 1607969411347
Moved to 1244, 4274 at time 1607969411362
Moved to 1243, 4273 at time 1607969411373
Moved to 1242, 4272 at time 1607969411420
Moved to 1241, 4271 at time 1607969411448
Moved to 1240, 4270 at time 1607969411484
Moved to 1239, 4269 at time 1607969411538
Moved to 1238, 4268 at time 1607969411653
Moved to 1237, 4267 at time 1607969411664
Moved to 1236, 4266 at time 1607969411682
Moved to 1235, 4265 at time 1607969411733
Moved to 1234, 4264 at time 1607969411788
Moved to 1233, 4263 at time 1607969411863
Moved to 1232, 4262 at time 1607969411926
Moved to 1231, 4261 at time 1607969411974
Moved to 1230, 4260 at time 1607969411996
Moved to 1229, 4259 at time 1607969412096
Moved to 1228, 4258 at time 1607969412146
Moved to 1227, 4257 at time 1607969412355
Moved to 1226, 4256 at time 1607969412427
Moved to 1225, 4255 at time 1607969412519
Moved to 1224, 4254 at time 1607969412589
Moved to 1223, 4253 at time 1607969412681
Moved to 1222, 4252 at time 1607969412855
Moved to 1221, 4251 at time 1607969412904
Moved to 1220, 4250 at time 1607969413018
Moved to 1219, 4249 at time 1607969413078
Moved to 1218, 4248 at time 1607969413230
Moved to 1217, 4247 at time 1607969413352
Moved to 1216, 4246 at time 1607969413495
Moved to 1215, 4245 at time 1607969413532
Moved to 1214, 4244 at time 1607969413606
Moved to 1213, 4243 at time 1607969413624
Moved to 1212, 4242 at time 1607969413694
Moved to 1211, 4241 at time 1607969413714
Moved to 1210, 4240 at time 1607969413793
Moved to 1209, 4239 at time 1607969413820
Moved to 1208, 4238 at time 1607969413887
Moved to 1207, 4237 at time 1607969413961
Moved to 1206, 4236 at time 1607969414027
Moved to 1205, 4235 at time 1607969414093
Moved to 1204, 4234 at time 1607969414160
Moved to 1203, 4233 at time 1607969414175
Moved to 1202, 4232 at time 1607969414213
Moved to 1201, 4231 at time 1607969414230
Moved to 1200, 4230 at time 1607969414276
Moved to 1199, 4229 at time 1607969414304
Moved to 1198, 4228 at time 1607969414438
Moved to 1197, 4227 at time 1607969414497
Moved to 1196, 4226 at time 1607969414568
Moved to 1195, 4225 at time 1607969414626
Moved to 1194, 4224 at time 1607969414638
Moved to 1193, 4223 at time 1607969414708
Moved to 1192, 4222 at time 1607969414856
Moved to 1191, 4221 at time 1607969414980
Moved to 1190, 4220 at time 1607969415137
Moved to 1189, 4219 at time 1607969415203
Moved to 1188, 4218 at time 1607969415300
