Moved to 1570, 357 at time 1607968070154
Moved to 1569, 356 at time 1607968070339
Moved to 1568, 355 at time 1607968143797
Moved to 1567, 354 at time 1607968143810
Moved to 1566, 353 at time 1607968143826
Moved to 1565, 352 at time 1607968143963
Moved to 1564, 351 at time 1607968144160
Moved to 1563, 350 at time 1607968144172
Moved to 1562, 349 at time 1607968144210
Moved to 1561, 348 at time 1607968144309
Moved to 1560, 347 at time 1607968144330
Moved to 1559, 346 at time 1607968144493
Moved to 1558, 345 at time 1607968144504
Moved to 1557, 344 at time 1607968144731
Moved to 1556, 343 at time 1607968144759
Moved to 1555, 342 at time 1607968144988
Moved to 1554, 341 at time 1607968145144
Moved to 1553, 340 at time 1607968145339
Moved to 1552, 339 at time 1607968145582
Moved to 1551, 338 at time 1607968145626
Moved to 1550, 337 at time 1607968145891
Moved to 1549, 336 at time 1607968146044
Moved to 1548, 335 at time 1607968146085
Moved to 1547, 334 at time 1607968146304
Moved to 1546, 333 at time 1607968146387
Moved to 1545, 332 at time 1607968146670
Moved to 1544, 331 at time 1607968146746
Moved to 1543, 330 at time 1607968146880
Moved to 1542, 329 at time 1607968146909
Moved to 1541, 328 at time 1607968146997
Moved to 1540, 327 at time 1607968147022
Moved to 1539, 326 at time 1607968147089
Moved to 1538, 325 at time 1607968147126
Moved to 1537, 324 at time 1607968147232
Moved to 1536, 323 at time 1607968147258
Moved to 1535, 322 at time 1607968147378
Moved to 1534, 321 at time 1607968147546
Moved to 1533, 320 at time 1607968147666
Moved to 1532, 319 at time 1607968147792
Moved to 1531, 318 at time 1607968147803
Moved to 1530, 317 at time 1607968147895
Moved to 1529, 316 at time 1607968147923
Moved to 1528, 315 at time 1607968147934
Moved to 1527, 314 at time 1607968148064
Moved to 1526, 313 at time 1607968148134
Moved to 1525, 312 at time 1607968148145
Moved to 1524, 311 at time 1607968148484
Got attacked at 1524, 311 by Unit@6f3d469b at time 1607968148606
Moved to 1523, 310 at time 1607968148617
Moved to 1522, 309 at time 1607968148737
Moved to 1521, 308 at time 1607968148914
Moved to 1520, 307 at time 1607968149066
Moved to 1519, 306 at time 1607968149222
Moved to 1518, 305 at time 1607968149328
Moved to 1517, 304 at time 1607968149411
Moved to 1516, 303 at time 1607968149510
Moved to 1515, 302 at time 1607968149592
Moved to 1514, 301 at time 1607968149705
Got attacked at 1514, 301 by Unit@6f3d469b at time 1607968149781
Moved to 1513, 300 at time 1607968149785
Moved to 1512, 299 at time 1607968149886
Moved to 1511, 298 at time 1607968149960
Moved to 1510, 297 at time 1607968150057
Moved to 1509, 296 at time 1607968150157
Moved to 1508, 295 at time 1607968150210
Moved to 1507, 294 at time 1607968150264
Moved to 1506, 293 at time 1607968150339
Moved to 1505, 292 at time 1607968150397
Moved to 1504, 291 at time 1607968150456
Moved to 1503, 290 at time 1607968150467
Moved to 1502, 289 at time 1607968150599
Moved to 1501, 288 at time 1607968150776
Moved to 1500, 287 at time 1607968150922
Moved to 1499, 286 at time 1607968150943
Moved to 1498, 285 at time 1607968151116
Moved to 1497, 284 at time 1607968151138
Moved to 1496, 283 at time 1607968151292
Moved to 1495, 282 at time 1607968151314
Moved to 1494, 281 at time 1607968151452
Moved to 1493, 280 at time 1607968151476
Moved to 1492, 279 at time 1607968151629
Moved to 1491, 278 at time 1607968151658
Moved to 1490, 277 at time 1607968151760
Moved to 1489, 276 at time 1607968151780
Moved to 1488, 275 at time 1607968151852
Moved to 1487, 274 at time 1607968151893
Moved to 1486, 273 at time 1607968152011
Moved to 1485, 272 at time 1607968152073
Moved to 1484, 271 at time 1607968152176
Moved to 1483, 270 at time 1607968152242
Moved to 1482, 269 at time 1607968152335
Moved to 1481, 268 at time 1607968152411
Moved to 1480, 267 at time 1607968152514
Moved to 1479, 266 at time 1607968152570
Moved to 1478, 265 at time 1607968152683
Moved to 1477, 264 at time 1607968152694
Moved to 1476, 263 at time 1607968152726
Moved to 1475, 262 at time 1607968152848
Moved to 1474, 261 at time 1607968152891
Moved to 1473, 260 at time 1607968153009
Moved to 1472, 259 at time 1607968153053
Moved to 1471, 258 at time 1607968153183
Moved to 1470, 257 at time 1607968153212
Moved to 1469, 256 at time 1607968153354
Moved to 1468, 255 at time 1607968153391
Moved to 1467, 254 at time 1607968153531
Moved to 1466, 253 at time 1607968153571
Moved to 1465, 252 at time 1607968153728
Moved to 1464, 251 at time 1607968153915
Moved to 1463, 250 at time 1607968153931
Moved to 1462, 249 at time 1607968154066
Moved to 1461, 248 at time 1607968263622
Moved to 1460, 247 at time 1607968263667
Moved to 1459, 246 at time 1607968263790
Moved to 1458, 245 at time 1607968263900
Moved to 1457, 244 at time 1607968264052
Moved to 1456, 243 at time 1607968264210
Moved to 1455, 242 at time 1607968264231
Moved to 1454, 241 at time 1607968264395
Moved to 1453, 240 at time 1607968264410
Moved to 1452, 239 at time 1607968264639
Got attacked at 1452, 239 by Unit@6f3d469b at time 1607968264762
Got attacked at 1452, 239 by Unit@73ba8cb0 at time 1607968264773
Moved to 1451, 238 at time 1607968264823
Moved to 1450, 237 at time 1607968264875
Moved to 1449, 236 at time 1607968265057
Moved to 1448, 235 at time 1607968265095
Moved to 1447, 234 at time 1607968265261
Moved to 1446, 233 at time 1607968265323
Moved to 1445, 232 at time 1607968265501
Moved to 1444, 231 at time 1607968265530
Moved to 1443, 230 at time 1607968265706
Moved to 1442, 229 at time 1607968265742
Moved to 1441, 228 at time 1607968265932
Moved to 1440, 227 at time 1607968266159
Moved to 1439, 226 at time 1607968266193
Moved to 1438, 225 at time 1607968266346
Moved to 1437, 224 at time 1607968266358
Moved to 1436, 223 at time 1607968266451
Moved to 1435, 222 at time 1607968266470
Moved to 1434, 221 at time 1607968266538
Moved to 1433, 220 at time 1607968266550
Moved to 1432, 219 at time 1607968266621
Moved to 1431, 218 at time 1607968266719
Moved to 1430, 217 at time 1607968266791
Moved to 1429, 216 at time 1607968266813
Moved to 1428, 215 at time 1607968266880
Moved to 1427, 214 at time 1607968266955
Moved to 1426, 213 at time 1607968267025
Moved to 1425, 212 at time 1607968267098
