Moved to 61, 2426 at time 1607967053330
Moved to 62, 2425 at time 1607967053773
Moved to 63, 2424 at time 1607967097494
Moved to 62, 2423 at time 1607967097653
Moved to 63, 2422 at time 1607967097943
Moved to 64, 2421 at time 1607967098162
Moved to 65, 2420 at time 1607967098389
Moved to 66, 2419 at time 1607967098660
Moved to 67, 2418 at time 1607967098988
Moved to 68, 2417 at time 1607967099671
Moved to 69, 2416 at time 1607967099913
Moved to 70, 2415 at time 1607967100271
Moved to 71, 2414 at time 1607967100789
Moved to 72, 2413 at time 1607967101516
Moved to 73, 2412 at time 1607967101690
Moved to 72, 2411 at time 1607967101893
Moved to 73, 2410 at time 1607967101947
Moved to 72, 2409 at time 1607967102169
Moved to 73, 2408 at time 1607967102463
Moved to 74, 2407 at time 1607967102806
Moved to 73, 2406 at time 1607967102848
Moved to 74, 2405 at time 1607967103242
Moved to 75, 2404 at time 1607967103440
Moved to 76, 2403 at time 1607967103474
Moved to 77, 2402 at time 1607967103532
Moved to 76, 2401 at time 1607967103615
Moved to 75, 2400 at time 1607967103680
Moved to 76, 2399 at time 1607967103870
Moved to 77, 2398 at time 1607967104013
Moved to 78, 2397 at time 1607967104398
Moved to 79, 2396 at time 1607967104816
Moved to 80, 2395 at time 1607967105303
Moved to 81, 2394 at time 1607967105912
Moved to 82, 2393 at time 1607967106235
Moved to 81, 2392 at time 1607967106298
Moved to 82, 2391 at time 1607967106678
Moved to 83, 2390 at time 1607967106984
Moved to 84, 2389 at time 1607967107313
Moved to 83, 2388 at time 1607967107596
Moved to 84, 2387 at time 1607967107688
Moved to 85, 2386 at time 1607967107851
Moved to 86, 2385 at time 1607967108034
Moved to 87, 2384 at time 1607967108191
Moved to 88, 2383 at time 1607967108286
Moved to 87, 2382 at time 1607967108423
Moved to 88, 2381 at time 1607967108515
Moved to 87, 2380 at time 1607967108563
Moved to 86, 2379 at time 1607967108827
Moved to 87, 2377 at time 1607967109225
Moved to 88, 2376 at time 1607967109317
Moved to 89, 2375 at time 1607967109623
Moved to 90, 2374 at time 1607967109785
Moved to 91, 2373 at time 1607967110062
Moved to 90, 2372 at time 1607967110128
Moved to 91, 2371 at time 1607967110447
Moved to 92, 2370 at time 1607967110483
Moved to 93, 2369 at time 1607967110950
Moved to 94, 2367 at time 1607967111724
Moved to 95, 2365 at time 1607967111996
Moved to 96, 2364 at time 1607967112271
Moved to 95, 2363 at time 1607967112592
Moved to 94, 2362 at time 1607967113007
Moved to 95, 2361 at time 1607967113382
Moved to 96, 2360 at time 1607967113446
Moved to 97, 2359 at time 1607967113865
Moved to 98, 2358 at time 1607967113909
