Attacked Unit@7fd22736at position 1521, 405 at time 1607967053445
Attacked Unit@965adc7at position 1577, 446 at time 1607967097328
Got attacked at 1607, 583 by Unit@7fd22736 at time 1607967097329
Got attacked at 1607, 583 by Unit@7c35aaaa at time 1607967097334
Got attacked at 1607, 583 by Unit@2012e7bf at time 1607967097339
Got attacked at 1607, 583 by Unit@13dd7190 at time 1607967097340
Got attacked at 1607, 583 by Unit@38ec0804 at time 1607967097344
Got attacked at 1607, 583 by Unit@aee39bb at time 1607967097356
Got attacked at 1607, 583 by Unit@61cf749d at time 1607967097372
Died at 1607, 568 at time 1607967097625
Died at 1571, 562 at time 1607967097625
Died at 1587, 605 at time 1607967097625
Died at 1607, 583 at time 1607967097812
Moved to 3038, 1301 at time 1607969349696
Moved to 3037, 1300 at time 1607969349812
Moved to 3036, 1299 at time 1607969394814
Moved to 3035, 1298 at time 1607969394850
Moved to 3034, 1297 at time 1607969394887
Moved to 3033, 1296 at time 1607969394936
Moved to 3032, 1295 at time 1607969395053
Moved to 3031, 1294 at time 1607969395116
Moved to 3030, 1293 at time 1607969395150
Moved to 3029, 1292 at time 1607969395481
Moved to 3028, 1291 at time 1607969395668
Moved to 3027, 1290 at time 1607969395734
Moved to 3026, 1289 at time 1607969395815
Moved to 3025, 1288 at time 1607969395965
Moved to 3024, 1287 at time 1607969395999
Moved to 3023, 1286 at time 1607969396132
Moved to 3022, 1285 at time 1607969396344
Moved to 3021, 1284 at time 1607969396413
Moved to 3020, 1283 at time 1607969396825
Moved to 3019, 1282 at time 1607969396882
Moved to 3018, 1281 at time 1607969396949
Moved to 3017, 1280 at time 1607969396997
Moved to 3016, 1279 at time 1607969397036
Moved to 3015, 1278 at time 1607969397101
Moved to 3014, 1277 at time 1607969397166
Moved to 3013, 1276 at time 1607969397214
Moved to 3012, 1275 at time 1607969397298
Moved to 3011, 1274 at time 1607969397353
Moved to 3010, 1273 at time 1607969397716
Moved to 3009, 1272 at time 1607969397836
Moved to 3008, 1271 at time 1607969398007
Moved to 3007, 1270 at time 1607969398045
Moved to 3006, 1269 at time 1607969398081
Moved to 3005, 1268 at time 1607969398219
Moved to 3004, 1267 at time 1607969398410
Moved to 3003, 1266 at time 1607969398538
Moved to 3002, 1265 at time 1607969398640
Moved to 3001, 1264 at time 1607969398825
Moved to 3000, 1263 at time 1607969399057
Moved to 2999, 1262 at time 1607969399204
Moved to 2998, 1261 at time 1607969399249
Moved to 2997, 1260 at time 1607969399342
Moved to 2996, 1259 at time 1607969399385
Moved to 2995, 1258 at time 1607969399506
Moved to 2994, 1257 at time 1607969399604
Moved to 2993, 1256 at time 1607969399703
Moved to 2992, 1255 at time 1607969399811
Moved to 2991, 1254 at time 1607969399850
Moved to 2990, 1253 at time 1607969399924
Moved to 2989, 1252 at time 1607969400008
Moved to 2988, 1251 at time 1607969400110
Moved to 2987, 1250 at time 1607969400189
Moved to 2986, 1249 at time 1607969400244
Moved to 2985, 1248 at time 1607969400288
Moved to 2984, 1247 at time 1607969400332
Moved to 2983, 1246 at time 1607969400498
Moved to 2982, 1245 at time 1607969400588
Moved to 2981, 1244 at time 1607969400652
Moved to 2980, 1243 at time 1607969400717
Moved to 2979, 1242 at time 1607969400768
Moved to 2978, 1241 at time 1607969400833
Moved to 2977, 1240 at time 1607969400907
Moved to 2976, 1239 at time 1607969401018
Moved to 2975, 1238 at time 1607969401268
Moved to 2974, 1237 at time 1607969401536
Moved to 2973, 1236 at time 1607969401570
Moved to 2972, 1235 at time 1607969401788
Moved to 2971, 1234 at time 1607969401842
Moved to 2970, 1233 at time 1607969402130
Moved to 2969, 1232 at time 1607969402289
Moved to 2968, 1231 at time 1607969402623
Moved to 2967, 1230 at time 1607969402701
Moved to 2966, 1229 at time 1607969402896
Moved to 2965, 1228 at time 1607969402984
Moved to 2964, 1227 at time 1607969403156
Moved to 2963, 1226 at time 1607969403249
Moved to 2962, 1225 at time 1607969403466
Moved to 2961, 1224 at time 1607969403685
Moved to 2960, 1223 at time 1607969403935
Moved to 2959, 1222 at time 1607969404214
Moved to 2958, 1221 at time 1607969404505
Moved to 2957, 1220 at time 1607969404655
Moved to 2956, 1219 at time 1607969404859
Moved to 2955, 1218 at time 1607969405005
Moved to 2954, 1217 at time 1607969405058
Moved to 2953, 1216 at time 1607969405172
Moved to 2952, 1215 at time 1607969405386
Moved to 2951, 1214 at time 1607969405492
Moved to 2950, 1213 at time 1607969405567
Moved to 2949, 1212 at time 1607969405620
Moved to 2948, 1211 at time 1607969405702
Moved to 2947, 1210 at time 1607969405902
Moved to 2946, 1209 at time 1607969406059
Moved to 2945, 1208 at time 1607969406106
Moved to 2944, 1207 at time 1607969406170
Moved to 2943, 1206 at time 1607969406223
Moved to 2942, 1205 at time 1607969406279
Moved to 2941, 1204 at time 1607969406363
Moved to 2940, 1203 at time 1607969406421
Moved to 2939, 1202 at time 1607969406495
Moved to 2938, 1201 at time 1607969406542
Moved to 2937, 1200 at time 1607969406609
Moved to 2936, 1199 at time 1607969406660
Moved to 2935, 1198 at time 1607969406804
Moved to 2934, 1197 at time 1607969407006
Moved to 2933, 1196 at time 1607969407057
Moved to 2932, 1195 at time 1607969407179
Moved to 2931, 1194 at time 1607969407286
Moved to 2930, 1193 at time 1607969407469
Moved to 2929, 1192 at time 1607969407511
Moved to 2928, 1191 at time 1607969407713
Moved to 2927, 1190 at time 1607969407882
Moved to 2926, 1189 at time 1607969407924
Moved to 2925, 1188 at time 1607969407987
Moved to 2924, 1187 at time 1607969408025
Moved to 2923, 1186 at time 1607969408080
Moved to 2922, 1185 at time 1607969408136
Moved to 2921, 1184 at time 1607969408207
Moved to 2920, 1183 at time 1607969408291
Moved to 2919, 1182 at time 1607969408371
Moved to 2918, 1181 at time 1607969408428
Moved to 2917, 1180 at time 1607969408511
Moved to 2916, 1179 at time 1607969408565
Moved to 2915, 1178 at time 1607969408749
Moved to 2914, 1177 at time 1607969408853
Moved to 2913, 1176 at time 1607969408911
Moved to 2912, 1175 at time 1607969409014
Moved to 2911, 1174 at time 1607969409068
Moved to 2910, 1173 at time 1607969409118
Moved to 2909, 1172 at time 1607969409160
Moved to 2908, 1171 at time 1607969409219
Moved to 2907, 1170 at time 1607969409261
Moved to 2906, 1169 at time 1607969409351
Moved to 2905, 1168 at time 1607969409429
Moved to 2904, 1167 at time 1607969409511
Moved to 2903, 1166 at time 1607969409591
Moved to 2902, 1165 at time 1607969409674
Moved to 2901, 1164 at time 1607969409721
Moved to 2900, 1163 at time 1607969409771
Moved to 2899, 1162 at time 1607969409825
Moved to 2898, 1161 at time 1607969409882
Moved to 2897, 1160 at time 1607969409962
Moved to 2896, 1159 at time 1607969410003
Moved to 2895, 1158 at time 1607969410078
Moved to 2894, 1157 at time 1607969410156
Moved to 2893, 1156 at time 1607969410192
Moved to 2892, 1155 at time 1607969410265
Moved to 2891, 1154 at time 1607969410364
Moved to 2890, 1153 at time 1607969410399
Moved to 2889, 1152 at time 1607969410469
Moved to 2888, 1151 at time 1607969410511
Moved to 2887, 1150 at time 1607969410570
Moved to 2886, 1149 at time 1607969410614
Moved to 2885, 1148 at time 1607969410705
Moved to 2884, 1147 at time 1607969410759
Moved to 2883, 1146 at time 1607969410804
Moved to 2882, 1145 at time 1607969410864
Moved to 2881, 1144 at time 1607969410907
Moved to 2880, 1143 at time 1607969411043
Moved to 2879, 1142 at time 1607969411112
Moved to 2878, 1141 at time 1607969411160
Moved to 2877, 1140 at time 1607969411224
Moved to 2876, 1139 at time 1607969411276
Moved to 2875, 1138 at time 1607969411323
Moved to 2874, 1137 at time 1607969411366
Moved to 2873, 1136 at time 1607969411403
Moved to 2872, 1135 at time 1607969411444
Moved to 2871, 1134 at time 1607969411627
Moved to 2870, 1133 at time 1607969411690
Moved to 2869, 1132 at time 1607969411760
Moved to 2868, 1131 at time 1607969411872
Moved to 2867, 1130 at time 1607969411946
Moved to 2866, 1129 at time 1607969412104
Moved to 2865, 1128 at time 1607969412290
Moved to 2864, 1127 at time 1607969412460
Moved to 2863, 1126 at time 1607969412657
Moved to 2862, 1125 at time 1607969412751
Moved to 2861, 1124 at time 1607969412814
Moved to 2860, 1123 at time 1607969412924
Moved to 2859, 1122 at time 1607969413134
Moved to 2858, 1121 at time 1607969413416
Moved to 2857, 1120 at time 1607969413562
Moved to 2856, 1119 at time 1607969413644
Moved to 2855, 1118 at time 1607969413742
Moved to 2854, 1117 at time 1607969413842
Moved to 2853, 1116 at time 1607969413921
Moved to 2852, 1115 at time 1607969413970
Moved to 2851, 1114 at time 1607969414060
Moved to 2850, 1113 at time 1607969414145
Moved to 2849, 1112 at time 1607969414220
Moved to 2848, 1111 at time 1607969414259
Moved to 2847, 1110 at time 1607969414294
Moved to 2846, 1109 at time 1607969414329
Moved to 2845, 1108 at time 1607969414396
Moved to 2844, 1107 at time 1607969414508
Moved to 2843, 1106 at time 1607969414676
Moved to 2842, 1105 at time 1607969414871
Moved to 2841, 1104 at time 1607969415163
Moved to 2840, 1103 at time 1607969415317
Moved to 2839, 1102 at time 1607969415478
Moved to 2838, 1101 at time 1607969415631
Moved to 2837, 1100 at time 1607969415778
Moved to 2836, 1099 at time 1607969415850
Moved to 2835, 1098 at time 1607969416081
Moved to 2834, 1097 at time 1607969416399
Moved to 2833, 1096 at time 1607969416619
Moved to 2832, 1095 at time 1607969416834
Moved to 2831, 1094 at time 1607969416968
Moved to 2830, 1093 at time 1607969417049
Moved to 2829, 1092 at time 1607969417131
Moved to 2828, 1091 at time 1607969417245
Moved to 2827, 1090 at time 1607969417296
Moved to 2826, 1089 at time 1607969417389
Moved to 2825, 1088 at time 1607969417467
Moved to 2824, 1087 at time 1607969417561
Moved to 2823, 1086 at time 1607969417644
