Moved to 607, 610 at time 1607904712094
Moved to 606, 609 at time 1607904712229
Moved to 605, 608 at time 1607904712432
Moved to 604, 607 at time 1607904712530
Moved to 603, 606 at time 1607904712659
Moved to 602, 605 at time 1607904712744
Moved to 601, 604 at time 1607904712877
Moved to 600, 603 at time 1607904712977
Moved to 599, 602 at time 1607904713098
Moved to 598, 601 at time 1607904713145
Moved to 597, 600 at time 1607904713185
Moved to 596, 599 at time 1607904713301
Moved to 595, 598 at time 1607904713333
Moved to 594, 597 at time 1607904725352
Moved to 593, 596 at time 1607904725363
Moved to 592, 595 at time 1607904725421
Moved to 591, 594 at time 1607904725522
Moved to 590, 593 at time 1607904725619
Moved to 589, 592 at time 1607904725720
Moved to 588, 591 at time 1607904725819
Moved to 587, 590 at time 1607904725838
Moved to 586, 589 at time 1607904725907
Moved to 585, 588 at time 1607904725924
Moved to 584, 587 at time 1607904725999
Moved to 583, 586 at time 1607904726069
Moved to 582, 585 at time 1607904726089
Moved to 581, 584 at time 1607904726154
Moved to 580, 583 at time 1607904750301
Moved to 579, 582 at time 1607904750312
Moved to 578, 581 at time 1607904750364
Moved to 577, 580 at time 1607904750456
Moved to 576, 579 at time 1607904750514
Moved to 575, 578 at time 1607904750578
Moved to 574, 577 at time 1607904750592
Moved to 573, 576 at time 1607904750646
Moved to 572, 575 at time 1607904750708
Moved to 571, 574 at time 1607904750757
Moved to 570, 573 at time 1607904750771
Moved to 569, 572 at time 1607904750834
Moved to 568, 571 at time 1607904750897
Moved to 567, 570 at time 1607904750938
Moved to 566, 569 at time 1607904751027
Moved to 565, 568 at time 1607904751081
Moved to 564, 567 at time 1607904751154
Moved to 563, 566 at time 1607904751200
Moved to 562, 565 at time 1607904751229
Moved to 561, 564 at time 1607904751241
Moved to 560, 563 at time 1607904751264
Moved to 559, 562 at time 1607904751309
Moved to 558, 561 at time 1607904751321
Moved to 557, 560 at time 1607904751367
Moved to 556, 559 at time 1607904751379
Moved to 555, 558 at time 1607904751414
Moved to 554, 557 at time 1607904751432
Got attacked at 554, 557 by Unit@d279a1e at time 1607904751466
Got attacked at 554, 557 by Unit@f6dfc02 at time 1607904751482
Moved to 553, 556 at time 1607904751496
Moved to 552, 555 at time 1607904751515
Moved to 551, 554 at time 1607904751547
Moved to 550, 553 at time 1607904751577
Moved to 549, 552 at time 1607904751595
Moved to 548, 551 at time 1607904751630
Moved to 547, 550 at time 1607904751645
Moved to 546, 549 at time 1607904751679
Moved to 545, 548 at time 1607904751725
Moved to 544, 547 at time 1607904751762
Moved to 543, 546 at time 1607904751782
Moved to 542, 545 at time 1607904751817
Moved to 541, 544 at time 1607904751830
Moved to 540, 543 at time 1607904751863
Moved to 539, 542 at time 1607904751943
Moved to 538, 541 at time 1607904751998
Moved to 537, 540 at time 1607904752080
Moved to 536, 539 at time 1607904752091
Moved to 535, 538 at time 1607904752115
Moved to 534, 537 at time 1607904752153
Moved to 533, 536 at time 1607904752231
Moved to 532, 535 at time 1607904752267
Moved to 531, 534 at time 1607904752280
Moved to 530, 533 at time 1607904752309
Moved to 529, 532 at time 1607904752358
Moved to 528, 531 at time 1607904752425
Moved to 527, 530 at time 1607904752501
Moved to 526, 529 at time 1607904752537
Moved to 525, 528 at time 1607904752581
Moved to 524, 527 at time 1607904752621
Got attacked at 524, 527 by Unit@d279a1e at time 1607904752640
Got attacked at 524, 527 by Unit@f6dfc02 at time 1607904752656
Moved to 523, 526 at time 1607904752700
Moved to 522, 525 at time 1607904752741
Moved to 521, 524 at time 1607904752785
Moved to 520, 523 at time 1607904752843
Moved to 519, 522 at time 1607904752867
Moved to 518, 521 at time 1607904752900
Moved to 517, 520 at time 1607904752932
Moved to 516, 519 at time 1607904752966
Moved to 515, 518 at time 1607904752992
Moved to 514, 517 at time 1607904753024
Moved to 513, 516 at time 1607904753060
Moved to 512, 515 at time 1607904753085
Moved to 511, 514 at time 1607904753117
Moved to 510, 513 at time 1607904753150
Moved to 509, 512 at time 1607904753188
Moved to 508, 511 at time 1607904753214
Moved to 507, 510 at time 1607904753235
Moved to 506, 509 at time 1607904753268
Moved to 505, 508 at time 1607904753293
Moved to 504, 507 at time 1607904753315
Moved to 503, 506 at time 1607904753376
Moved to 502, 505 at time 1607904753441
Moved to 501, 504 at time 1607904753493
Moved to 500, 503 at time 1607904753533
Moved to 499, 502 at time 1607904753581
Moved to 498, 501 at time 1607904753638
Moved to 497, 500 at time 1607904753713
Got attacked at 497, 500 by Unit@5490bf59 at time 1607904753743
Moved to 496, 499 at time 1607904753770
Got attacked at 496, 499 by Unit@d279a1e at time 1607904753798
Moved to 495, 498 at time 1607904753829
Got attacked at 495, 498 by Unit@f6dfc02 at time 1607904753830
Moved to 494, 497 at time 1607904753861
Moved to 493, 496 at time 1607904753911
Moved to 492, 495 at time 1607904753965
Moved to 491, 494 at time 1607904753982
Moved to 490, 493 at time 1607904754001
Moved to 489, 492 at time 1607904754017
Moved to 488, 491 at time 1607904754044
Moved to 487, 490 at time 1607904754110
Moved to 486, 489 at time 1607904754199
Moved to 485, 488 at time 1607904754264
Moved to 484, 487 at time 1607904754277
Moved to 483, 486 at time 1607904754294
Moved to 482, 485 at time 1607904754314
Moved to 481, 484 at time 1607904754338
Moved to 480, 483 at time 1607904754352
Moved to 479, 482 at time 1607904754377
Moved to 478, 481 at time 1607904754388
Moved to 477, 480 at time 1607904754415
Moved to 476, 479 at time 1607904754455
Moved to 475, 478 at time 1607904754483
Moved to 474, 477 at time 1607904754501
Moved to 473, 476 at time 1607904754524
Moved to 472, 475 at time 1607904754566
Moved to 471, 474 at time 1607904754592
Moved to 470, 473 at time 1607904754644
Moved to 469, 472 at time 1607904754663
Moved to 468, 471 at time 1607904754676
Moved to 467, 470 at time 1607904754717
Moved to 466, 469 at time 1607904754748
Moved to 465, 468 at time 1607904754790
Got attacked at 465, 468 by Unit@232c92ba at time 1607904754799
Moved to 464, 467 at time 1607904754816
Moved to 463, 466 at time 1607904754827
Moved to 462, 465 at time 1607904754851
Moved to 461, 464 at time 1607904754872
Moved to 460, 463 at time 1607904754897
Moved to 459, 462 at time 1607904754912
Got attacked at 459, 462 by Unit@37925914 at time 1607904754917
Moved to 458, 461 at time 1607904754938
Got attacked at 458, 461 by Unit@a693ad5 at time 1607904754948
Moved to 457, 460 at time 1607904754950
Moved to 456, 459 at time 1607904754980
Moved to 455, 458 at time 1607904755031
Got attacked at 455, 458 by Unit@d279a1e at time 1607904755032
Moved to 454, 457 at time 1607904755062
Moved to 453, 456 at time 1607904755098
Moved to 452, 455 at time 1607904755127
Moved to 451, 454 at time 1607904755175
Moved to 450, 453 at time 1607904755198
Moved to 449, 452 at time 1607904755212
Moved to 448, 451 at time 1607904755232
Moved to 447, 450 at time 1607904755255
Moved to 446, 449 at time 1607904755284
Moved to 445, 448 at time 1607904755297
Moved to 444, 447 at time 1607904755326
Moved to 443, 446 at time 1607904755377
Moved to 442, 445 at time 1607904755426
Moved to 441, 444 at time 1607904755452
Moved to 440, 443 at time 1607904755480
Moved to 439, 442 at time 1607904755494
Moved to 438, 441 at time 1607904755522
Moved to 437, 440 at time 1607904755535
Moved to 436, 439 at time 1607904755561
Moved to 435, 438 at time 1607904755596
Moved to 434, 437 at time 1607904755616
Moved to 433, 436 at time 1607904755634
Moved to 432, 435 at time 1607904755669
Moved to 431, 434 at time 1607904755715
Moved to 430, 433 at time 1607904755747
Moved to 429, 432 at time 1607904755778
Moved to 428, 431 at time 1607904755814
Moved to 427, 430 at time 1607904755843
Moved to 426, 429 at time 1607904755882
Moved to 425, 428 at time 1607904755918
Got attacked at 425, 428 by Unit@232c92ba at time 1607904755948
Moved to 424, 427 at time 1607904755954
Moved to 423, 426 at time 1607904755991
Moved to 422, 425 at time 1607904756026
Got attacked at 422, 425 by Unit@37925914 at time 1607904756044
Moved to 421, 424 at time 1607904756080
Moved to 420, 423 at time 1607904756116
Moved to 419, 422 at time 1607904756182
Moved to 418, 421 at time 1607904756224
Moved to 417, 420 at time 1607904756264
Moved to 416, 419 at time 1607904756299
Moved to 415, 418 at time 1607904756336
Moved to 414, 417 at time 1607904756367
Moved to 413, 416 at time 1607904756394
Moved to 412, 415 at time 1607904756434
Moved to 411, 414 at time 1607904756474
Moved to 410, 413 at time 1607904756498
Moved to 409, 412 at time 1607904756536
Moved to 408, 411 at time 1607904756577
Moved to 407, 410 at time 1607904756610
Moved to 406, 409 at time 1607904756642
Moved to 405, 408 at time 1607904756680
Moved to 404, 407 at time 1607904756714
Moved to 403, 406 at time 1607904756755
Moved to 402, 405 at time 1607904756794
Moved to 401, 404 at time 1607904756806
Moved to 400, 403 at time 1607904756841
Moved to 399, 402 at time 1607904756856
Moved to 398, 401 at time 1607904756895
Moved to 397, 400 at time 1607904756907
Moved to 396, 399 at time 1607904756933
Moved to 395, 398 at time 1607904756952
Moved to 394, 397 at time 1607904756982
Moved to 393, 396 at time 1607904756998
Moved to 392, 395 at time 1607904757045
Moved to 391, 394 at time 1607904757056
Moved to 390, 393 at time 1607904757099
Got attacked at 390, 393 by Unit@232c92ba at time 1607904757165
Moved to 389, 392 at time 1607904757165
Got attacked at 389, 392 by Unit@37925914 at time 1607904757168
Moved to 388, 391 at time 1607904757200
Moved to 387, 390 at time 1607904757250
Moved to 386, 389 at time 1607904757284
Got attacked at 386, 389 by Unit@a693ad5 at time 1607904757287
Got attacked at 386, 389 by Unit@f6dfc02 at time 1607904757311
Moved to 385, 388 at time 1607904757340
Moved to 384, 387 at time 1607904757378
Moved to 383, 386 at time 1607904757400
Moved to 382, 385 at time 1607904757428
Moved to 381, 384 at time 1607904757450
Moved to 380, 383 at time 1607904757464
Moved to 379, 382 at time 1607904757478
Moved to 378, 381 at time 1607904757502
Moved to 377, 380 at time 1607904757535
Moved to 376, 379 at time 1607904757565
Moved to 375, 378 at time 1607904757598
Moved to 374, 377 at time 1607904757616
Moved to 373, 376 at time 1607904757663
Moved to 372, 375 at time 1607904757683
Moved to 371, 374 at time 1607904757700
