Moved to 676, 1520 at time 1607965644266
Moved to 675, 1519 at time 1607965644342
Moved to 674, 1518 at time 1607965644730
Moved to 673, 1517 at time 1607965645042
Moved to 672, 1516 at time 1607965645417
Moved to 671, 1515 at time 1607965645566
Moved to 670, 1514 at time 1607965645677
Moved to 669, 1513 at time 1607965646434
Moved to 668, 1512 at time 1607965707755
Moved to 667, 1511 at time 1607965708121
Moved to 666, 1510 at time 1607965708358
Moved to 665, 1509 at time 1607965708475
Moved to 664, 1508 at time 1607965708572
Moved to 663, 1507 at time 1607965708700
Moved to 662, 1506 at time 1607965708785
Moved to 661, 1505 at time 1607965708916
Moved to 660, 1504 at time 1607965709001
Moved to 659, 1503 at time 1607965709109
Moved to 658, 1502 at time 1607965709179
Moved to 657, 1501 at time 1607965709284
Moved to 656, 1500 at time 1607965709351
Moved to 655, 1499 at time 1607965709469
Moved to 654, 1498 at time 1607965709544
Moved to 653, 1497 at time 1607965709891
Moved to 652, 1496 at time 1607965710194
Moved to 651, 1495 at time 1607965710520
Moved to 650, 1494 at time 1607965710717
Moved to 649, 1493 at time 1607965710981
Moved to 648, 1492 at time 1607965711219
Moved to 647, 1491 at time 1607965711425
Moved to 646, 1490 at time 1607965711643
Moved to 645, 1489 at time 1607965712023
Moved to 644, 1488 at time 1607965712307
Moved to 643, 1487 at time 1607965712552
Moved to 642, 1486 at time 1607965712726
Moved to 641, 1485 at time 1607965712937
Moved to 640, 1484 at time 1607965713135
Moved to 639, 1483 at time 1607965713477
Moved to 638, 1482 at time 1607965713865
Moved to 637, 1481 at time 1607965714053
Moved to 636, 1480 at time 1607965714190
Moved to 635, 1479 at time 1607965714402
Moved to 634, 1478 at time 1607965714683
Moved to 633, 1477 at time 1607965714962
Moved to 632, 1476 at time 1607965715095
Moved to 631, 1475 at time 1607965715176
Moved to 630, 1474 at time 1607965715241
Moved to 629, 1473 at time 1607965715310
Moved to 628, 1472 at time 1607965715400
Moved to 627, 1471 at time 1607965715484
Moved to 626, 1470 at time 1607965715554
Moved to 625, 1469 at time 1607965715637
Moved to 624, 1468 at time 1607965715730
Moved to 623, 1467 at time 1607965716044
Moved to 622, 1466 at time 1607965716196
Moved to 621, 1465 at time 1607965716564
Moved to 620, 1464 at time 1607965716901
Moved to 619, 1463 at time 1607965717122
Moved to 618, 1462 at time 1607965717321
Moved to 617, 1461 at time 1607965717488
Moved to 616, 1460 at time 1607965717658
Moved to 615, 1459 at time 1607965717819
Moved to 614, 1458 at time 1607965717904
Moved to 613, 1457 at time 1607965718339
Moved to 612, 1456 at time 1607965718430
