Moved to 2988, 1160 at time 1607969349812
Moved to 2987, 1159 at time 1607969394817
Moved to 2986, 1158 at time 1607969394919
Moved to 2985, 1157 at time 1607969394986
Moved to 2984, 1156 at time 1607969395100
Moved to 2983, 1155 at time 1607969395207
Moved to 2982, 1154 at time 1607969395563
Moved to 2981, 1153 at time 1607969395604
Moved to 2980, 1152 at time 1607969395769
Moved to 2979, 1151 at time 1607969396050
Moved to 2978, 1150 at time 1607969396093
Moved to 2977, 1149 at time 1607969396371
Moved to 2976, 1148 at time 1607969396788
Moved to 2975, 1147 at time 1607969396920
Moved to 2974, 1146 at time 1607969397051
Moved to 2973, 1145 at time 1607969397205
Moved to 2972, 1144 at time 1607969397304
Moved to 2971, 1143 at time 1607969397343
Moved to 2970, 1142 at time 1607969397544
Moved to 2969, 1141 at time 1607969397656
Moved to 2968, 1140 at time 1607969397897
Moved to 2967, 1139 at time 1607969398154
Moved to 2966, 1138 at time 1607969398465
Moved to 2965, 1137 at time 1607969398656
Moved to 2964, 1136 at time 1607969398792
Moved to 2963, 1135 at time 1607969398838
Moved to 2962, 1134 at time 1607969399052
Moved to 2961, 1133 at time 1607969399208
Moved to 2960, 1132 at time 1607969399278
Moved to 2959, 1131 at time 1607969399317
Moved to 2958, 1130 at time 1607969399415
Moved to 2957, 1129 at time 1607969399481
Moved to 2956, 1128 at time 1607969399567
Moved to 2955, 1127 at time 1607969399607
Moved to 2954, 1126 at time 1607969399699
Moved to 2953, 1125 at time 1607969399817
Moved to 2952, 1124 at time 1607969399971
Moved to 2951, 1123 at time 1607969400155
Moved to 2950, 1122 at time 1607969400291
Moved to 2949, 1121 at time 1607969400396
Moved to 2948, 1120 at time 1607969400440
Moved to 2947, 1119 at time 1607969400512
Moved to 2946, 1118 at time 1607969400547
Moved to 2945, 1117 at time 1607969400616
Moved to 2944, 1116 at time 1607969400690
Moved to 2943, 1115 at time 1607969400739
Moved to 2942, 1114 at time 1607969400802
Moved to 2941, 1113 at time 1607969400911
Moved to 2940, 1112 at time 1607969401008
Moved to 2939, 1111 at time 1607969401283
Moved to 2938, 1110 at time 1607969401529
Moved to 2937, 1109 at time 1607969401842
Moved to 2936, 1108 at time 1607969402008
Moved to 2935, 1107 at time 1607969402090
Moved to 2934, 1106 at time 1607969402314
Moved to 2933, 1105 at time 1607969402398
Moved to 2932, 1104 at time 1607969402624
Moved to 2931, 1103 at time 1607969402697
Moved to 2930, 1102 at time 1607969402898
Moved to 2929, 1101 at time 1607969402980
Moved to 2928, 1100 at time 1607969403157
Moved to 2927, 1099 at time 1607969403291
Moved to 2926, 1098 at time 1607969403423
Moved to 2925, 1097 at time 1607969403459
Moved to 2924, 1096 at time 1607969403693
Moved to 2923, 1095 at time 1607969403966
Moved to 2922, 1094 at time 1607969404176
Moved to 2921, 1093 at time 1607969404261
Moved to 2920, 1092 at time 1607969404534
Moved to 2919, 1091 at time 1607969404624
Moved to 2918, 1090 at time 1607969404658
Moved to 2917, 1089 at time 1607969404856
Moved to 2916, 1088 at time 1607969405008
Moved to 2915, 1087 at time 1607969405204
Moved to 2914, 1086 at time 1607969405356
Moved to 2913, 1085 at time 1607969405507
Moved to 2912, 1084 at time 1607969405553
Moved to 2911, 1083 at time 1607969405639
Moved to 2910, 1082 at time 1607969405820
Moved to 2909, 1081 at time 1607969406038
Moved to 2908, 1080 at time 1607969406072
Moved to 2907, 1079 at time 1607969406147
Moved to 2906, 1078 at time 1607969406185
Moved to 2905, 1077 at time 1607969406264
Moved to 2904, 1076 at time 1607969406303
Moved to 2903, 1075 at time 1607969406339
Moved to 2902, 1074 at time 1607969406376
Moved to 2901, 1073 at time 1607969406470
Moved to 2900, 1072 at time 1607969406506
Moved to 2899, 1071 at time 1607969406590
Moved to 2898, 1070 at time 1607969406691
Moved to 2897, 1069 at time 1607969406753
Moved to 2896, 1068 at time 1607969406942
Moved to 2895, 1067 at time 1607969407113
Moved to 2894, 1066 at time 1607969407325
Moved to 2893, 1065 at time 1607969407499
Moved to 2892, 1064 at time 1607969407651
Moved to 2891, 1063 at time 1607969407828
Moved to 2890, 1062 at time 1607969407904
Moved to 2889, 1061 at time 1607969407951
Moved to 2888, 1060 at time 1607969408009
Moved to 2887, 1059 at time 1607969408053
Moved to 2886, 1058 at time 1607969408103
Moved to 2885, 1057 at time 1607969408175
Moved to 2884, 1056 at time 1607969408221
Moved to 2883, 1055 at time 1607969408274
Moved to 2882, 1054 at time 1607969408358
Moved to 2881, 1053 at time 1607969408531
Moved to 2880, 1052 at time 1607969408686
Moved to 2879, 1051 at time 1607969408804
Moved to 2878, 1050 at time 1607969408882
Moved to 2877, 1049 at time 1607969408948
Moved to 2876, 1048 at time 1607969409007
Moved to 2875, 1047 at time 1607969409074
Moved to 2874, 1046 at time 1607969409111
Moved to 2873, 1045 at time 1607969409166
Moved to 2872, 1044 at time 1607969409216
Moved to 2871, 1043 at time 1607969409264
Moved to 2870, 1042 at time 1607969409349
Moved to 2869, 1041 at time 1607969409432
Moved to 2868, 1040 at time 1607969409510
Moved to 2867, 1039 at time 1607969409597
Moved to 2866, 1038 at time 1607969409666
Moved to 2865, 1037 at time 1607969409728
Moved to 2864, 1036 at time 1607969409815
Moved to 2863, 1035 at time 1607969409891
Moved to 2862, 1034 at time 1607969409978
Moved to 2861, 1033 at time 1607969410044
Moved to 2860, 1032 at time 1607969410089
Moved to 2859, 1031 at time 1607969410142
Moved to 2858, 1030 at time 1607969410206
Moved to 2857, 1029 at time 1607969410255
Moved to 2856, 1028 at time 1607969410299
Moved to 2855, 1027 at time 1607969410393
Moved to 2854, 1026 at time 1607969410475
Moved to 2853, 1025 at time 1607969410554
Moved to 2852, 1024 at time 1607969410628
Moved to 2851, 1023 at time 1607969410688
Moved to 2850, 1022 at time 1607969410724
Moved to 2849, 1021 at time 1607969410788
Moved to 2848, 1020 at time 1607969410828
Moved to 2847, 1019 at time 1607969410894
Moved to 2846, 1018 at time 1607969410939
Moved to 2845, 1017 at time 1607969411007
Moved to 2844, 1016 at time 1607969411114
Moved to 2843, 1015 at time 1607969411158
Moved to 2842, 1014 at time 1607969411228
Moved to 2841, 1013 at time 1607969411270
Moved to 2840, 1012 at time 1607969411327
Moved to 2839, 1011 at time 1607969411439
Moved to 2838, 1010 at time 1607969411608
Moved to 2837, 1009 at time 1607969411694
Moved to 2836, 1008 at time 1607969411756
Moved to 2835, 1007 at time 1607969411793
Moved to 2834, 1006 at time 1607969411829
Moved to 2833, 1005 at time 1607969411875
Moved to 2832, 1004 at time 1607969411944
Moved to 2831, 1003 at time 1607969412006
Moved to 2830, 1002 at time 1607969412069
Moved to 2829, 1001 at time 1607969412276
Moved to 2828, 1000 at time 1607969412471
Moved to 2827, 999 at time 1607969412662
Moved to 2826, 998 at time 1607969412746
Moved to 2825, 997 at time 1607969412820
Moved to 2824, 996 at time 1607969413014
Moved to 2823, 995 at time 1607969413059
Moved to 2822, 994 at time 1607969413226
Moved to 2821, 993 at time 1607969413338
Moved to 2820, 992 at time 1607969413492
Moved to 2819, 991 at time 1607969413617
Moved to 2818, 990 at time 1607969413677
Moved to 2817, 989 at time 1607969413811
Moved to 2816, 988 at time 1607969413876
Moved to 2815, 987 at time 1607969413956
Moved to 2814, 986 at time 1607969414009
Moved to 2813, 985 at time 1607969414087
Moved to 2812, 984 at time 1607969414122
Moved to 2811, 983 at time 1607969414192
Moved to 2810, 982 at time 1607969414290
Moved to 2809, 981 at time 1607969414428
Moved to 2808, 980 at time 1607969414595
Moved to 2807, 979 at time 1607969414746
