Moved to 1454, 1600 at time 1607969349755
Moved to 1453, 1599 at time 1607969349771
Moved to 1452, 1598 at time 1607969394714
Moved to 1451, 1597 at time 1607969394725
Moved to 1450, 1596 at time 1607969394788
Moved to 1449, 1595 at time 1607969394799
Moved to 1448, 1594 at time 1607969394846
Moved to 1447, 1593 at time 1607969394912
Moved to 1446, 1592 at time 1607969394931
Moved to 1445, 1591 at time 1607969394998
Moved to 1444, 1590 at time 1607969395014
Moved to 1443, 1589 at time 1607969395096
Moved to 1442, 1588 at time 1607969395283
Moved to 1441, 1587 at time 1607969395613
Moved to 1440, 1586 at time 1607969395761
Moved to 1439, 1585 at time 1607969395804
Moved to 1438, 1584 at time 1607969396156
Moved to 1437, 1583 at time 1607969396343
Moved to 1436, 1582 at time 1607969396436
Moved to 1435, 1581 at time 1607969396742
Moved to 1434, 1580 at time 1607969396820
Moved to 1433, 1579 at time 1607969396915
Moved to 1432, 1578 at time 1607969396940
Moved to 1431, 1577 at time 1607969397023
Moved to 1430, 1576 at time 1607969397150
Moved to 1429, 1575 at time 1607969397256
Moved to 1428, 1574 at time 1607969397272
Moved to 1427, 1573 at time 1607969397416
Moved to 1426, 1572 at time 1607969397447
Moved to 1425, 1571 at time 1607969397774
Moved to 1424, 1570 at time 1607969397805
Moved to 1423, 1569 at time 1607969398033
Moved to 1422, 1568 at time 1607969398314
Moved to 1421, 1567 at time 1607969398615
Moved to 1420, 1566 at time 1607969398710
Moved to 1419, 1565 at time 1607969398729
Moved to 1418, 1564 at time 1607969398910
Moved to 1417, 1563 at time 1607969398980
Moved to 1416, 1562 at time 1607969399173
Moved to 1415, 1561 at time 1607969399236
Moved to 1414, 1560 at time 1607969399310
Moved to 1413, 1559 at time 1607969399374
Moved to 1412, 1558 at time 1607969399465
Moved to 1411, 1557 at time 1607969399533
Moved to 1410, 1556 at time 1607969399603
Moved to 1409, 1555 at time 1607969399665
Moved to 1408, 1554 at time 1607969399723
Moved to 1407, 1553 at time 1607969399815
Moved to 1406, 1552 at time 1607969399890
Moved to 1405, 1551 at time 1607969399907
Moved to 1404, 1550 at time 1607969400070
Moved to 1403, 1549 at time 1607969400236
Moved to 1402, 1548 at time 1607969400316
Moved to 1401, 1547 at time 1607969400390
Moved to 1400, 1546 at time 1607969400490
Moved to 1399, 1545 at time 1607969400604
Moved to 1398, 1544 at time 1607969400660
Moved to 1397, 1543 at time 1607969400732
Moved to 1396, 1542 at time 1607969400772
Moved to 1395, 1541 at time 1607969400790
Moved to 1394, 1540 at time 1607969400838
Moved to 1393, 1539 at time 1607969400851
Moved to 1392, 1538 at time 1607969400916
Moved to 1391, 1537 at time 1607969400932
Moved to 1390, 1536 at time 1607969401017
Moved to 1389, 1535 at time 1607969401067
Moved to 1388, 1534 at time 1607969401239
Moved to 1387, 1533 at time 1607969401316
Moved to 1386, 1532 at time 1607969401522
Moved to 1385, 1531 at time 1607969401803
Moved to 1384, 1530 at time 1607969402040
Moved to 1383, 1529 at time 1607969402084
Moved to 1382, 1528 at time 1607969402340
Moved to 1381, 1527 at time 1607969402397
Moved to 1380, 1526 at time 1607969402650
Moved to 1379, 1525 at time 1607969402693
Moved to 1378, 1524 at time 1607969402925
Moved to 1377, 1523 at time 1607969402976
Moved to 1376, 1522 at time 1607969403168
Moved to 1375, 1521 at time 1607969403267
Moved to 1374, 1520 at time 1607969403469
Moved to 1373, 1519 at time 1607969403709
Moved to 1372, 1518 at time 1607969403933
Moved to 1371, 1517 at time 1607969404235
Moved to 1370, 1516 at time 1607969404506
Moved to 1369, 1515 at time 1607969404679
Moved to 1368, 1514 at time 1607969404855
Moved to 1367, 1513 at time 1607969405044
Moved to 1366, 1512 at time 1607969405204
Moved to 1365, 1511 at time 1607969405381
Moved to 1364, 1510 at time 1607969405507
Moved to 1363, 1509 at time 1607969405574
Moved to 1362, 1508 at time 1607969405641
Moved to 1361, 1507 at time 1607969405711
Moved to 1360, 1506 at time 1607969405732
Moved to 1359, 1505 at time 1607969405896
Moved to 1358, 1504 at time 1607969405923
Moved to 1357, 1503 at time 1607969406059
Moved to 1356, 1502 at time 1607969406073
Moved to 1355, 1501 at time 1607969406137
Moved to 1354, 1500 at time 1607969406157
Moved to 1353, 1499 at time 1607969406197
Moved to 1352, 1498 at time 1607969406221
Moved to 1351, 1497 at time 1607969406252
Moved to 1350, 1496 at time 1607969406274
Moved to 1349, 1495 at time 1607969406318
Moved to 1348, 1494 at time 1607969406350
Moved to 1347, 1493 at time 1607969406383
Moved to 1346, 1492 at time 1607969406423
Moved to 1345, 1491 at time 1607969406454
Moved to 1344, 1490 at time 1607969406526
Moved to 1343, 1489 at time 1607969406591
Moved to 1342, 1488 at time 1607969406642
Moved to 1341, 1487 at time 1607969406736
Moved to 1340, 1486 at time 1607969406873
Moved to 1339, 1485 at time 1607969406903
Moved to 1338, 1484 at time 1607969407028
Moved to 1337, 1483 at time 1607969407057
Moved to 1336, 1482 at time 1607969407239
Moved to 1335, 1481 at time 1607969407267
Moved to 1334, 1480 at time 1607969407419
Moved to 1333, 1479 at time 1607969407581
Moved to 1332, 1478 at time 1607969407748
Moved to 1331, 1477 at time 1607969407876
Moved to 1330, 1476 at time 1607969407943
Moved to 1329, 1475 at time 1607969407990
Moved to 1328, 1474 at time 1607969408045
Moved to 1327, 1473 at time 1607969408086
Moved to 1326, 1472 at time 1607969408156
Moved to 1325, 1471 at time 1607969408208
Moved to 1324, 1470 at time 1607969408260
Moved to 1323, 1469 at time 1607969408315
Moved to 1322, 1468 at time 1607969408370
Moved to 1321, 1467 at time 1607969408467
Moved to 1320, 1466 at time 1607969408493
Moved to 1319, 1465 at time 1607969408596
Moved to 1318, 1464 at time 1607969408631
Moved to 1317, 1463 at time 1607969408742
Moved to 1316, 1462 at time 1607969408789
Moved to 1315, 1461 at time 1607969408837
Moved to 1314, 1460 at time 1607969408924
Moved to 1313, 1459 at time 1607969408935
Moved to 1312, 1458 at time 1607969408977
Moved to 1311, 1457 at time 1607969408995
Moved to 1310, 1456 at time 1607969409048
Moved to 1309, 1455 at time 1607969409109
Moved to 1308, 1454 at time 1607969409144
Moved to 1307, 1453 at time 1607969409157
Moved to 1306, 1452 at time 1607969409197
Moved to 1305, 1451 at time 1607969409258
Moved to 1304, 1450 at time 1607969409304
Moved to 1303, 1449 at time 1607969409335
Moved to 1302, 1448 at time 1607969409370
Moved to 1301, 1447 at time 1607969409433
Moved to 1300, 1446 at time 1607969409475
Moved to 1299, 1445 at time 1607969409490
Moved to 1298, 1444 at time 1607969409526
Moved to 1297, 1443 at time 1607969409545
Moved to 1296, 1442 at time 1607969409579
Moved to 1295, 1441 at time 1607969409599
Moved to 1294, 1440 at time 1607969409671
Moved to 1293, 1439 at time 1607969409738
Moved to 1292, 1438 at time 1607969409775
Moved to 1291, 1437 at time 1607969409791
Moved to 1290, 1436 at time 1607969409828
Moved to 1289, 1435 at time 1607969409848
Moved to 1288, 1434 at time 1607969409882
Moved to 1287, 1433 at time 1607969409893
Moved to 1286, 1432 at time 1607969409928
Moved to 1285, 1431 at time 1607969409941
Moved to 1284, 1430 at time 1607969409979
Moved to 1283, 1429 at time 1607969409991
Moved to 1282, 1428 at time 1607969410055
Moved to 1281, 1427 at time 1607969410102
Moved to 1280, 1426 at time 1607969410154
Moved to 1279, 1425 at time 1607969410216
Moved to 1278, 1424 at time 1607969410264
Moved to 1277, 1423 at time 1607969410318
Moved to 1276, 1422 at time 1607969410395
Moved to 1275, 1421 at time 1607969410442
Moved to 1274, 1420 at time 1607969410453
Moved to 1273, 1419 at time 1607969410495
Moved to 1272, 1418 at time 1607969410508
Moved to 1271, 1417 at time 1607969410545
Moved to 1270, 1416 at time 1607969410559
Moved to 1269, 1415 at time 1607969410595
Moved to 1268, 1414 at time 1607969410611
Moved to 1267, 1413 at time 1607969410646
Moved to 1266, 1412 at time 1607969410692
Moved to 1265, 1411 at time 1607969410737
Moved to 1264, 1410 at time 1607969410796
Moved to 1263, 1409 at time 1607969410843
Moved to 1262, 1408 at time 1607969410903
Moved to 1261, 1407 at time 1607969410968
Moved to 1260, 1406 at time 1607969411003
Moved to 1259, 1405 at time 1607969411091
Moved to 1258, 1404 at time 1607969411152
Moved to 1257, 1403 at time 1607969411222
Moved to 1256, 1402 at time 1607969411242
Moved to 1255, 1401 at time 1607969411279
Moved to 1254, 1400 at time 1607969411292
Moved to 1253, 1399 at time 1607969411327
Moved to 1252, 1398 at time 1607969411403
Moved to 1251, 1397 at time 1607969411458
Moved to 1250, 1396 at time 1607969411593
Moved to 1249, 1395 at time 1607969411713
Moved to 1248, 1394 at time 1607969411759
Moved to 1247, 1393 at time 1607969411770
Moved to 1246, 1392 at time 1607969411804
Moved to 1245, 1391 at time 1607969411845
Moved to 1244, 1390 at time 1607969411879
Moved to 1243, 1389 at time 1607969411910
Moved to 1242, 1388 at time 1607969411934
Moved to 1241, 1387 at time 1607969411962
Moved to 1240, 1386 at time 1607969412012
Moved to 1239, 1385 at time 1607969412082
Moved to 1238, 1384 at time 1607969412159
Moved to 1237, 1383 at time 1607969412255
Moved to 1236, 1382 at time 1607969412362
