Moved to 1607, 1170 at time 1607967053757
Moved to 1606, 1169 at time 1607967097528
Moved to 1605, 1168 at time 1607967097810
Moved to 1604, 1167 at time 1607967098021
Moved to 1603, 1166 at time 1607967098178
Moved to 1602, 1165 at time 1607967098395
Moved to 1601, 1164 at time 1607967098591
Moved to 1600, 1163 at time 1607967098902
Moved to 1599, 1162 at time 1607967099243
Moved to 1598, 1161 at time 1607967099348
Moved to 1597, 1160 at time 1607967099495
Moved to 1596, 1159 at time 1607967099990
Moved to 1595, 1158 at time 1607967100523
Moved to 1594, 1157 at time 1607967100691
Moved to 1593, 1156 at time 1607967100944
Moved to 1592, 1155 at time 1607967101378
Moved to 1591, 1154 at time 1607967101714
Moved to 1590, 1153 at time 1607967101916
Moved to 1589, 1152 at time 1607967102044
Moved to 1588, 1151 at time 1607967102275
Moved to 1587, 1150 at time 1607967102548
Moved to 1586, 1149 at time 1607967103047
Moved to 1585, 1148 at time 1607967103359
Moved to 1584, 1147 at time 1607967103563
Moved to 1583, 1146 at time 1607967103666
Moved to 1582, 1145 at time 1607967103898
Moved to 1581, 1144 at time 1607967104047
Moved to 1580, 1143 at time 1607967104554
Moved to 1579, 1142 at time 1607967104904
Moved to 1578, 1141 at time 1607967105043
Moved to 1577, 1140 at time 1607967105474
Moved to 1576, 1139 at time 1607967105725
Moved to 1575, 1138 at time 1607967106007
Moved to 1574, 1137 at time 1607967106450
Moved to 1573, 1136 at time 1607967106690
Moved to 1572, 1135 at time 1607967106912
Moved to 1571, 1134 at time 1607967107098
Moved to 1570, 1133 at time 1607967107482
Moved to 1569, 1132 at time 1607967107611
Moved to 1568, 1131 at time 1607967107723
Moved to 1567, 1130 at time 1607967107915
Moved to 1566, 1129 at time 1607967108127
Moved to 1565, 1128 at time 1607967108283
Moved to 1564, 1127 at time 1607967108482
Moved to 1563, 1126 at time 1607967108677
Moved to 1562, 1125 at time 1607967109003
Moved to 1561, 1124 at time 1607967109458
Moved to 1560, 1123 at time 1607967109564
Moved to 1559, 1122 at time 1607967110000
Moved to 1558, 1121 at time 1607967110526
Moved to 1557, 1120 at time 1607967110853
Moved to 1556, 1119 at time 1607967110958
Moved to 1555, 1118 at time 1607967111260
Moved to 1554, 1117 at time 1607967111394
Moved to 1553, 1116 at time 1607967111694
Moved to 1552, 1115 at time 1607967111807
Moved to 1551, 1114 at time 1607967111976
Moved to 1550, 1113 at time 1607967112242
Moved to 1549, 1112 at time 1607967112562
Moved to 1548, 1111 at time 1607967112958
Moved to 1547, 1110 at time 1607967113367
Moved to 1546, 1109 at time 1607967113876
Moved to 1545, 1108 at time 1607967114266
Moved to 1544, 1107 at time 1607967114742
Moved to 1543, 1106 at time 1607967115106
Moved to 1542, 1105 at time 1607967115565
Moved to 1541, 1104 at time 1607967115711
Moved to 1540, 1103 at time 1607967115816
Moved to 1539, 1102 at time 1607967115929
Moved to 1538, 1101 at time 1607967116050
Moved to 1537, 1100 at time 1607967116502
Moved to 1536, 1099 at time 1607967116882
Moved to 1535, 1098 at time 1607967116996
Moved to 1534, 1097 at time 1607967117385
Moved to 1533, 1096 at time 1607967117538
Moved to 1532, 1095 at time 1607967117961
Moved to 1531, 1094 at time 1607967118289
Moved to 1530, 1093 at time 1607967118728
Moved to 1529, 1092 at time 1607967118949
Moved to 1528, 1091 at time 1607967119057
Moved to 1527, 1090 at time 1607967119352
Moved to 1526, 1089 at time 1607967119711
Moved to 1525, 1088 at time 1607967119839
Moved to 1524, 1087 at time 1607967119941
Moved to 1523, 1086 at time 1607967120152
Moved to 1522, 1085 at time 1607967120254
Moved to 1521, 1084 at time 1607967120451
Moved to 1520, 1083 at time 1607967120579
Moved to 1519, 1082 at time 1607967120781
Moved to 1518, 1081 at time 1607967120970
Moved to 1517, 1080 at time 1607967121174
Moved to 1516, 1079 at time 1607967121403
Moved to 1515, 1078 at time 1607967121589
Moved to 1514, 1077 at time 1607967121732
Moved to 1513, 1076 at time 1607967121847
Moved to 1512, 1075 at time 1607967121987
Moved to 1511, 1074 at time 1607967122180
Moved to 1510, 1073 at time 1607967122289
Moved to 1509, 1072 at time 1607967122416
Moved to 1508, 1071 at time 1607967122586
Moved to 1507, 1070 at time 1607967122731
Moved to 1506, 1069 at time 1607967122889
Moved to 1505, 1068 at time 1607967123177
Moved to 1504, 1067 at time 1607967123474
Moved to 1503, 1066 at time 1607967123871
Moved to 1502, 1065 at time 1607967124180
Moved to 1501, 1064 at time 1607967124366
Moved to 1500, 1063 at time 1607967124489
Moved to 1499, 1062 at time 1607967124645
Moved to 1498, 1061 at time 1607967124778
Moved to 1497, 1060 at time 1607967124988
Moved to 1496, 1059 at time 1607967125111
Moved to 1495, 1058 at time 1607967125260
Moved to 1494, 1057 at time 1607967125377
Moved to 1493, 1056 at time 1607967125515
Moved to 1492, 1055 at time 1607967125654
Moved to 1491, 1054 at time 1607967125814
Moved to 1490, 1053 at time 1607967125939
Moved to 1489, 1052 at time 1607967126284
Moved to 1488, 1051 at time 1607967126557
Moved to 1487, 1050 at time 1607967126706
Got attacked at 1487, 1050 by Unit@5c6bc1f0 at time 1607967126863
Moved to 1486, 1049 at time 1607967126945
Moved to 1485, 1048 at time 1607967127300
Moved to 1484, 1047 at time 1607967127695
Moved to 1483, 1046 at time 1607967128082
Moved to 1482, 1045 at time 1607967128490
Got attacked at 1482, 1045 by Unit@5c6bc1f0 at time 1607967128663
Moved to 1481, 1044 at time 1607967128889
Died at 1481, 1044 at time 1607967128889
