Moved to 172, 552 at time 1607870162144
Moved to 171, 551 at time 1607870162226
Moved to 170, 550 at time 1607870162296
Moved to 169, 549 at time 1607870162324
Moved to 168, 548 at time 1607870162402
Moved to 167, 547 at time 1607870162421
Moved to 166, 546 at time 1607870162433
Moved to 165, 545 at time 1607870162451
Moved to 164, 544 at time 1607870162476
Moved to 163, 543 at time 1607870162493
Moved to 162, 542 at time 1607870162506
Moved to 161, 541 at time 1607870162519
Moved to 160, 540 at time 1607870162560
Moved to 159, 539 at time 1607870162586
Moved to 158, 538 at time 1607870162652
Moved to 157, 537 at time 1607870162684
Moved to 156, 536 at time 1607870162696
Moved to 155, 535 at time 1607870162714
Moved to 154, 534 at time 1607870162725
Moved to 153, 533 at time 1607870162759
Moved to 152, 532 at time 1607870162793
Moved to 151, 531 at time 1607870162832
Moved to 150, 530 at time 1607870162876
Moved to 149, 529 at time 1607870162900
Moved to 148, 528 at time 1607870162978
Moved to 147, 527 at time 1607870163000
Moved to 146, 526 at time 1607870163033
Moved to 145, 525 at time 1607870163084
Moved to 144, 524 at time 1607870163130
Moved to 143, 523 at time 1607870163159
Moved to 142, 522 at time 1607870163213
Moved to 141, 521 at time 1607870163308
Moved to 140, 520 at time 1607870163381
Moved to 139, 519 at time 1607870163433
Moved to 138, 518 at time 1607870163444
Moved to 137, 517 at time 1607870163471
Moved to 136, 516 at time 1607870163500
Moved to 135, 515 at time 1607870163517
Moved to 134, 514 at time 1607870163542
Moved to 133, 513 at time 1607870163579
Moved to 132, 512 at time 1607870163613
Moved to 131, 511 at time 1607870163626
Moved to 130, 510 at time 1607870163691
Moved to 129, 509 at time 1607870163751
Moved to 128, 508 at time 1607870163771
Moved to 127, 507 at time 1607870163798
Moved to 126, 506 at time 1607870163811
Moved to 125, 505 at time 1607870163849
Moved to 124, 504 at time 1607870163919
Moved to 123, 503 at time 1607870163952
Moved to 122, 502 at time 1607870164039
Moved to 121, 501 at time 1607870164076
Moved to 120, 500 at time 1607870164253
Moved to 119, 499 at time 1607870164333
Moved to 118, 498 at time 1607870164459
Moved to 117, 497 at time 1607870164528
Moved to 116, 496 at time 1607870164544
Moved to 115, 495 at time 1607870164563
Moved to 114, 494 at time 1607870164576
Moved to 113, 493 at time 1607870164593
Moved to 112, 492 at time 1607870164629
Moved to 111, 491 at time 1607870164645
Moved to 110, 490 at time 1607870164677
Moved to 109, 489 at time 1607870164695
Moved to 108, 488 at time 1607870164712
Moved to 107, 487 at time 1607870164738
Moved to 106, 486 at time 1607870164751
Moved to 105, 485 at time 1607870164767
Moved to 104, 484 at time 1607870164787
Moved to 103, 483 at time 1607870164798
Moved to 102, 482 at time 1607870164810
Moved to 101, 481 at time 1607870164826
Moved to 100, 480 at time 1607870164851
Moved to 99, 479 at time 1607870164876
Moved to 98, 478 at time 1607870164895
Moved to 97, 477 at time 1607870164913
Moved to 96, 476 at time 1607870164929
Moved to 95, 475 at time 1607870164942
Moved to 94, 474 at time 1607870164979
Moved to 93, 473 at time 1607870165011
Moved to 92, 472 at time 1607870165027
Moved to 91, 471 at time 1607870165049
Moved to 90, 470 at time 1607870165115
Moved to 89, 469 at time 1607870165158
Moved to 88, 468 at time 1607870165202
Moved to 87, 467 at time 1607870165296
Moved to 86, 466 at time 1607870165367
Moved to 85, 465 at time 1607870165448
Moved to 84, 464 at time 1607870165501
Moved to 83, 463 at time 1607870165512
Moved to 82, 462 at time 1607870165540
Moved to 81, 461 at time 1607870165602
Moved to 80, 460 at time 1607870165628
Moved to 79, 459 at time 1607870165652
Moved to 78, 458 at time 1607870165670
Moved to 77, 457 at time 1607870165682
Moved to 76, 456 at time 1607870165697
Moved to 75, 455 at time 1607870165719
Moved to 74, 454 at time 1607870165740
Moved to 73, 453 at time 1607870165762
Moved to 72, 452 at time 1607870165786
Moved to 71, 451 at time 1607870165813
Moved to 70, 450 at time 1607870165845
Moved to 69, 449 at time 1607870165884
Moved to 68, 448 at time 1607870165899
Moved to 67, 447 at time 1607870165967
Moved to 66, 446 at time 1607870166049
Moved to 65, 445 at time 1607870166094
Moved to 64, 444 at time 1607870166106
Moved to 63, 443 at time 1607870166147
Moved to 62, 442 at time 1607870166211
Moved to 61, 441 at time 1607870166285
Moved to 60, 440 at time 1607870166371
Moved to 59, 439 at time 1607870166427
Moved to 58, 438 at time 1607870166495
Moved to 57, 437 at time 1607870166640
Moved to 56, 436 at time 1607870166697
Moved to 55, 435 at time 1607870166773
Moved to 54, 434 at time 1607870166818
Moved to 53, 433 at time 1607870166857
Moved to 52, 432 at time 1607870166925
Moved to 51, 431 at time 1607870167023
Moved to 50, 430 at time 1607870167146
Moved to 49, 429 at time 1607870167233
Moved to 48, 428 at time 1607870167338
Moved to 47, 427 at time 1607870167427
Moved to 46, 426 at time 1607870167451
Moved to 45, 425 at time 1607870167536
Moved to 44, 424 at time 1607870167681
Moved to 43, 423 at time 1607870167794
Moved to 42, 422 at time 1607870167814
Moved to 41, 421 at time 1607870167887
Moved to 40, 420 at time 1607870167933
Moved to 39, 419 at time 1607870167999
Moved to 38, 418 at time 1607870168038
Moved to 37, 417 at time 1607870168113
Moved to 36, 416 at time 1607870168135
Moved to 35, 415 at time 1607870168222
Moved to 34, 414 at time 1607870168337
Moved to 33, 413 at time 1607870168428
Moved to 32, 412 at time 1607870168544
Moved to 31, 411 at time 1607870168624
Moved to 30, 410 at time 1607870168699
Moved to 29, 409 at time 1607870168724
Moved to 28, 408 at time 1607870168740
Moved to 27, 407 at time 1607870168757
Moved to 26, 406 at time 1607870168769
Moved to 25, 405 at time 1607870168781
Moved to 24, 404 at time 1607870168802
Moved to 23, 403 at time 1607870168813
Moved to 22, 402 at time 1607870168828
Moved to 21, 401 at time 1607870168850
Moved to 20, 400 at time 1607870168861
Moved to 19, 399 at time 1607870168882
Moved to 18, 398 at time 1607870168927
Moved to 17, 397 at time 1607870168958
Moved to 16, 396 at time 1607870168980
Moved to 15, 395 at time 1607870169006
Moved to 14, 394 at time 1607870169031
Moved to 13, 393 at time 1607870169084
Moved to 12, 392 at time 1607870169150
Moved to 11, 391 at time 1607870169235
Moved to 10, 390 at time 1607870169252
Moved to 9, 389 at time 1607870169294
Moved to 8, 388 at time 1607870169328
Moved to 7, 387 at time 1607870169364
Moved to 6, 386 at time 1607870169411
Moved to 5, 385 at time 1607870169449
Moved to 4, 384 at time 1607870169494
Moved to 3, 383 at time 1607870169553
Moved to 2, 382 at time 1607870169600
Moved to 1, 381 at time 1607870169694
Moved to 0, 380 at time 1607870169706
