Moved to 241, 150 at time 1607969803928
Moved to 240, 149 at time 1607969803957
Moved to 239, 148 at time 1607969803972
Moved to 238, 147 at time 1607969803991
Moved to 237, 146 at time 1607969804003
Moved to 236, 145 at time 1607969804014
Moved to 235, 144 at time 1607969804031
Moved to 234, 143 at time 1607969804044
Moved to 233, 142 at time 1607969804069
Moved to 232, 141 at time 1607969804082
Moved to 231, 140 at time 1607969804095
Moved to 230, 139 at time 1607969804108
Moved to 229, 138 at time 1607969804121
Moved to 228, 137 at time 1607969804135
Moved to 227, 136 at time 1607969804152
Moved to 226, 135 at time 1607969804163
Moved to 225, 134 at time 1607969804174
Moved to 224, 133 at time 1607969804186
Moved to 223, 132 at time 1607969804198
Moved to 222, 131 at time 1607969804209
Moved to 221, 130 at time 1607969804220
Moved to 220, 129 at time 1607969804232
Moved to 219, 128 at time 1607969804244
Moved to 218, 127 at time 1607969804258
Moved to 217, 126 at time 1607969804270
Moved to 216, 125 at time 1607969804284
Moved to 215, 124 at time 1607969804296
Moved to 214, 123 at time 1607969804308
Moved to 213, 122 at time 1607969804319
Moved to 212, 121 at time 1607969804330
Moved to 211, 120 at time 1607969804357
Moved to 210, 119 at time 1607969804368
Moved to 209, 118 at time 1607969804380
Moved to 208, 117 at time 1607969804391
Moved to 207, 116 at time 1607969804402
Moved to 206, 115 at time 1607969804414
Moved to 205, 114 at time 1607969804426
Moved to 204, 113 at time 1607969804437
Moved to 203, 112 at time 1607969804453
Moved to 202, 111 at time 1607969804467
Moved to 201, 110 at time 1607969804478
Moved to 200, 109 at time 1607969804490
Moved to 199, 108 at time 1607969804502
Moved to 198, 107 at time 1607969804515
Moved to 197, 106 at time 1607969804526
Moved to 196, 105 at time 1607969804537
Moved to 195, 104 at time 1607969804548
Moved to 194, 103 at time 1607969804565
Moved to 193, 102 at time 1607969804577
Moved to 192, 101 at time 1607969804588
Moved to 191, 100 at time 1607969804600
