Moved to 3220, 78 at time 1607967053565
Moved to 3219, 79 at time 1607967097434
Moved to 3218, 80 at time 1607967097737
Moved to 3217, 81 at time 1607967097954
Moved to 3216, 82 at time 1607967098122
Moved to 3215, 83 at time 1607967098330
Moved to 3214, 84 at time 1607967098510
Moved to 3213, 85 at time 1607967098775
Moved to 3212, 86 at time 1607967099080
Moved to 3211, 87 at time 1607967099772
Moved to 3210, 88 at time 1607967099840
Moved to 3209, 89 at time 1607967100212
Moved to 3208, 90 at time 1607967100608
Moved to 3207, 91 at time 1607967100673
Moved to 3206, 92 at time 1607967101123
Moved to 3205, 93 at time 1607967101272
Moved to 3204, 94 at time 1607967101776
Moved to 3203, 95 at time 1607967101923
Moved to 3202, 96 at time 1607967102106
Moved to 3201, 97 at time 1607967102283
Moved to 3200, 98 at time 1607967102643
Moved to 3199, 99 at time 1607967103009
Moved to 3198, 100 at time 1607967103157
Moved to 3110, 101 at time 1607967121475
Moved to 3109, 102 at time 1607967121539
Moved to 3108, 103 at time 1607967121667
Moved to 3107, 104 at time 1607967121719
Moved to 3106, 105 at time 1607967121755
Moved to 3105, 106 at time 1607967121807
Moved to 3104, 107 at time 1607967121924
Moved to 3103, 108 at time 1607967121971
Moved to 3102, 109 at time 1607967122007
Moved to 3101, 110 at time 1607967122053
Moved to 3100, 111 at time 1607967122180
Moved to 3099, 112 at time 1607967122215
Moved to 3098, 113 at time 1607967122323
Moved to 3097, 114 at time 1607967122368
Moved to 3096, 115 at time 1607967122404
Moved to 3095, 116 at time 1607967122443
Moved to 3094, 117 at time 1607967122547
Moved to 3093, 118 at time 1607967122604
Moved to 3092, 119 at time 1607967122705
Moved to 3091, 120 at time 1607967122753
Moved to 3090, 121 at time 1607967122850
Moved to 3089, 122 at time 1607967122922
Moved to 3088, 123 at time 1607967123027
Moved to 3087, 124 at time 1607967123375
Moved to 3086, 125 at time 1607967123678
Moved to 3085, 126 at time 1607967123718
Moved to 3084, 127 at time 1607967124034
Moved to 3083, 128 at time 1607967124328
Moved to 3082, 129 at time 1607967124409
Moved to 3081, 130 at time 1607967124514
Moved to 3080, 131 at time 1607967124599
