Moved to 290, 1557 at time 1607965644304
Moved to 289, 1556 at time 1607965644339
Moved to 288, 1555 at time 1607965644734
Moved to 287, 1554 at time 1607965645025
Moved to 286, 1553 at time 1607965645323
Moved to 285, 1552 at time 1607965645366
Moved to 284, 1551 at time 1607965645600
Moved to 283, 1550 at time 1607965646082
Moved to 282, 1549 at time 1607965646607
Moved to 281, 1548 at time 1607965707712
Moved to 280, 1547 at time 1607965707765
Moved to 279, 1546 at time 1607965708112
Moved to 278, 1545 at time 1607965708337
Moved to 277, 1544 at time 1607965708492
Moved to 276, 1543 at time 1607965708735
Moved to 275, 1542 at time 1607965708968
Moved to 274, 1541 at time 1607965709148
Moved to 273, 1540 at time 1607965709316
Moved to 272, 1539 at time 1607965709543
Moved to 271, 1538 at time 1607965709894
Moved to 270, 1537 at time 1607965710190
Moved to 269, 1536 at time 1607965710519
Moved to 268, 1535 at time 1607965710718
Moved to 267, 1534 at time 1607965710977
Moved to 266, 1533 at time 1607965711219
Moved to 265, 1532 at time 1607965711426
Moved to 264, 1531 at time 1607965711642
Moved to 263, 1530 at time 1607965712025
Moved to 262, 1529 at time 1607965712301
Moved to 261, 1528 at time 1607965712556
Moved to 260, 1527 at time 1607965712719
Moved to 259, 1526 at time 1607965712949
Moved to 258, 1525 at time 1607965713128
Moved to 257, 1524 at time 1607965713484
Moved to 256, 1523 at time 1607965713855
Moved to 255, 1522 at time 1607965714057
Moved to 254, 1521 at time 1607965714185
Moved to 253, 1520 at time 1607965714222
Moved to 252, 1519 at time 1607965714334
Moved to 251, 1518 at time 1607965714741
Moved to 250, 1517 at time 1607965714914
Moved to 249, 1516 at time 1607965715118
Moved to 248, 1515 at time 1607965715160
Moved to 247, 1514 at time 1607965715257
Moved to 246, 1513 at time 1607965715295
Moved to 245, 1512 at time 1607965715415
Moved to 244, 1511 at time 1607965715467
Moved to 243, 1510 at time 1607965715574
Moved to 242, 1509 at time 1607965715615
Moved to 241, 1508 at time 1607965715751
Moved to 240, 1507 at time 1607965716123
Moved to 239, 1506 at time 1607965716664
Moved to 238, 1505 at time 1607965716905
Moved to 237, 1504 at time 1607965717117
Moved to 236, 1503 at time 1607965717329
Moved to 235, 1502 at time 1607965717485
Moved to 234, 1501 at time 1607965717664
Moved to 233, 1500 at time 1607965717804
Moved to 232, 1499 at time 1607965717914
Moved to 231, 1498 at time 1607965718329
Moved to 230, 1497 at time 1607965718440
Moved to 229, 1496 at time 1607965718595
Moved to 228, 1495 at time 1607965718806
Moved to 227, 1494 at time 1607965718921
Moved to 226, 1493 at time 1607965718971
Moved to 225, 1492 at time 1607965719204
Moved to 224, 1491 at time 1607965719636
Moved to 223, 1490 at time 1607965719683
Moved to 222, 1489 at time 1607965720156
Moved to 221, 1488 at time 1607965720235
Moved to 220, 1487 at time 1607965720696
Moved to 219, 1486 at time 1607965720746
Moved to 218, 1485 at time 1607965721206
Moved to 217, 1484 at time 1607965721273
Moved to 216, 1483 at time 1607965721547
Moved to 215, 1482 at time 1607965721722
Moved to 214, 1481 at time 1607965721876
Moved to 213, 1480 at time 1607965722021
Moved to 212, 1479 at time 1607965722154
Moved to 211, 1478 at time 1607965722280
Moved to 210, 1477 at time 1607965722477
Moved to 209, 1476 at time 1607965722925
Moved to 208, 1475 at time 1607965723366
Moved to 207, 1474 at time 1607965723775
Moved to 206, 1473 at time 1607965724286
Moved to 205, 1472 at time 1607965724766
Moved to 204, 1471 at time 1607965725254
Moved to 203, 1470 at time 1607965725715
Moved to 202, 1469 at time 1607965726171
Moved to 201, 1468 at time 1607965726637
Moved to 200, 1467 at time 1607965727067
Moved to 199, 1466 at time 1607965727560
Moved to 198, 1465 at time 1607965727932
Moved to 197, 1464 at time 1607965728026
Moved to 196, 1463 at time 1607965728383
Moved to 195, 1462 at time 1607965728461
Moved to 194, 1461 at time 1607965728847
Moved to 193, 1460 at time 1607965728944
Moved to 192, 1459 at time 1607965729317
Moved to 191, 1458 at time 1607965729399
Moved to 190, 1457 at time 1607965729586
Moved to 189, 1456 at time 1607965729710
