Moved to 2266, 553 at time 1607968586292
Moved to 2265, 554 at time 1607968622554
Moved to 2264, 555 at time 1607968622619
Moved to 2263, 556 at time 1607968622754
Moved to 2262, 557 at time 1607968622921
Moved to 2261, 558 at time 1607968623025
Moved to 2260, 559 at time 1607968623194
Moved to 2259, 560 at time 1607968623542
Moved to 2258, 561 at time 1607968624018
Moved to 2257, 562 at time 1607968624555
Moved to 2256, 563 at time 1607968624996
Moved to 2255, 564 at time 1607968625337
Moved to 2254, 565 at time 1607968625660
Moved to 2253, 566 at time 1607968625894
Moved to 2252, 565 at time 1607968625928
Moved to 2251, 566 at time 1607968626085
Moved to 2250, 567 at time 1607968626235
Moved to 2249, 568 at time 1607968626360
Attacked Unit@9e89407at position 1980, 611 at time 1607968626466
Moved to 2248, 569 at time 1607968626794
Moved to 2247, 570 at time 1607968626927
Moved to 2246, 569 at time 1607968626964
Moved to 2245, 568 at time 1607968627023
Moved to 2244, 569 at time 1607968627062
Moved to 2243, 570 at time 1607968627126
Attacked Unit@529707a1at position 1974, 686 at time 1607968628157
Attacked Unit@529707a1at position 1974, 686 at time 1607968629964
Moved to 2242, 571 at time 1607968630023
Moved to 2241, 572 at time 1607968630107
Moved to 2240, 573 at time 1607968630187
Moved to 2239, 574 at time 1607968630261
Moved to 2238, 575 at time 1607968630307
Moved to 2237, 576 at time 1607968630455
Moved to 2236, 577 at time 1607968630613
Moved to 2235, 578 at time 1607968630826
Moved to 2234, 579 at time 1607968631023
Moved to 2233, 580 at time 1607968631061
Moved to 2232, 581 at time 1607968631404
Moved to 2231, 582 at time 1607968631564
Moved to 2230, 583 at time 1607968631668
Moved to 2229, 584 at time 1607968631879
Moved to 2228, 585 at time 1607968631939
Moved to 2227, 586 at time 1607968632014
Moved to 2226, 587 at time 1607968632057
Moved to 2225, 588 at time 1607968632177
Moved to 2224, 589 at time 1607968632230
Moved to 2223, 590 at time 1607968632297
Moved to 2222, 589 at time 1607968632396
Moved to 2221, 590 at time 1607968632438
Moved to 2220, 591 at time 1607968632490
Moved to 2219, 592 at time 1607968632527
Moved to 2218, 593 at time 1607968632576
Moved to 2217, 594 at time 1607968632615
Moved to 2216, 595 at time 1607968632682
Moved to 2215, 594 at time 1607968632740
Moved to 2214, 593 at time 1607968632797
Moved to 2213, 594 at time 1607968632862
Moved to 2212, 595 at time 1607968632912
Moved to 2211, 596 at time 1607968632975
Moved to 2210, 597 at time 1607968633030
Moved to 2209, 596 at time 1607968633081
Moved to 2208, 597 at time 1607968633157
Moved to 2207, 598 at time 1607968633215
Moved to 2206, 599 at time 1607968633284
Moved to 2205, 600 at time 1607968633357
Moved to 2204, 601 at time 1607968633396
Moved to 2203, 600 at time 1607968633433
Moved to 2202, 601 at time 1607968633477
Moved to 2201, 602 at time 1607968705468
Moved to 2200, 603 at time 1607968705526
Moved to 2199, 604 at time 1607968705584
Moved to 2198, 603 at time 1607968705660
Moved to 2197, 604 at time 1607968705707
Moved to 2196, 603 at time 1607968705785
Moved to 2195, 602 at time 1607968705840
Moved to 2194, 603 at time 1607968705926
Moved to 2193, 602 at time 1607968705977
Moved to 2192, 603 at time 1607968706069
Moved to 2191, 604 at time 1607968706126
Moved to 2190, 605 at time 1607968706167
Moved to 2189, 606 at time 1607968706223
Attacked Unit@37a2193aat position 1920, 654 at time 1607968706258
Attacked Unit@20e4741dat position 1920, 634 at time 1607968707959
Attacked Unit@20e4741dat position 1920, 634 at time 1607968709682
Attacked Unit@20e4741dat position 1920, 634 at time 1607968711381
Attacked Unit@3796718cat position 1920, 613 at time 1607968713190
Moved to 2188, 605 at time 1607968713663
Moved to 2187, 604 at time 1607968713916
Moved to 2186, 603 at time 1607968714162
Moved to 2185, 602 at time 1607968714375
Moved to 2184, 601 at time 1607968714631
Moved to 2183, 600 at time 1607968714863
Moved to 2182, 599 at time 1607968715060
Moved to 2181, 598 at time 1607968715133
Moved to 2180, 597 at time 1607968715197
Moved to 2179, 596 at time 1607968715238
Moved to 2178, 595 at time 1607968715296
Moved to 2177, 594 at time 1607968715361
Moved to 2176, 593 at time 1607968715469
Moved to 2175, 592 at time 1607968715654
Moved to 2174, 591 at time 1607968715871
Moved to 2173, 590 at time 1607968716086
Moved to 2172, 589 at time 1607968716331
Moved to 2171, 588 at time 1607968716572
Moved to 2170, 587 at time 1607968716730
Moved to 2169, 586 at time 1607968716821
Moved to 2168, 585 at time 1607968716862
Moved to 2167, 584 at time 1607968716897
Moved to 2166, 583 at time 1607968717039
Moved to 2165, 582 at time 1607968717210
Moved to 2164, 581 at time 1607968717481
Moved to 2163, 580 at time 1607968717688
Moved to 2162, 579 at time 1607968717924
Moved to 2161, 578 at time 1607968718113
Moved to 2160, 577 at time 1607968718150
Moved to 2159, 576 at time 1607968718327
Moved to 2158, 575 at time 1607968718371
Moved to 2157, 574 at time 1607968718571
Moved to 2156, 573 at time 1607968718855
Moved to 2155, 572 at time 1607968719067
Moved to 2154, 571 at time 1607968719290
Moved to 2153, 570 at time 1607968719465
Moved to 2152, 569 at time 1607968719697
Moved to 2151, 568 at time 1607968719888
Moved to 2150, 567 at time 1607968720120
Moved to 2149, 566 at time 1607968720249
Moved to 2148, 565 at time 1607968720319
