Moved to 1720, 1166 at time 1607967053379
Moved to 1719, 1165 at time 1607967053634
Moved to 1718, 1164 at time 1607967097539
Moved to 1717, 1163 at time 1607967097799
Moved to 1716, 1162 at time 1607967098035
Moved to 1715, 1161 at time 1607967098159
Moved to 1714, 1160 at time 1607967098411
Moved to 1713, 1159 at time 1607967098563
Moved to 1712, 1158 at time 1607967098931
Moved to 1711, 1157 at time 1607967099187
Moved to 1710, 1156 at time 1607967099559
Moved to 1709, 1155 at time 1607967099958
Moved to 1708, 1154 at time 1607967100432
Moved to 1707, 1153 at time 1607967100806
Moved to 1706, 1152 at time 1607967101554
Moved to 1705, 1151 at time 1607967101869
Moved to 1704, 1150 at time 1607967102090
Moved to 1703, 1149 at time 1607967102209
Moved to 1702, 1148 at time 1607967102612
Moved to 1701, 1147 at time 1607967102983
Moved to 1700, 1146 at time 1607967103129
Moved to 1699, 1145 at time 1607967103231
Moved to 1698, 1144 at time 1607967103403
Moved to 1697, 1143 at time 1607967103535
Moved to 1696, 1142 at time 1607967103694
Moved to 1695, 1141 at time 1607967103861
Moved to 1694, 1140 at time 1607967104219
Moved to 1693, 1139 at time 1607967104528
Moved to 1692, 1138 at time 1607967104954
Moved to 1691, 1137 at time 1607967105557
Moved to 1690, 1136 at time 1607967105687
Moved to 1689, 1135 at time 1607967106026
Moved to 1688, 1134 at time 1607967106437
Moved to 1687, 1133 at time 1607967106728
Moved to 1686, 1132 at time 1607967106852
Moved to 1685, 1131 at time 1607967107144
Moved to 1684, 1130 at time 1607967107419
Moved to 1683, 1129 at time 1607967107523
Moved to 1682, 1128 at time 1607967107692
Moved to 1681, 1127 at time 1607967107942
Moved to 1680, 1126 at time 1607967108099
Moved to 1679, 1125 at time 1607967108315
Moved to 1678, 1124 at time 1607967108441
Moved to 1677, 1123 at time 1607967108572
Moved to 1676, 1122 at time 1607967108778
Moved to 1675, 1121 at time 1607967108882
Moved to 1674, 1120 at time 1607967109179
Moved to 1673, 1119 at time 1607967109308
Moved to 1672, 1118 at time 1607967109570
Moved to 1671, 1117 at time 1607967109774
Moved to 1670, 1116 at time 1607967109969
Moved to 1669, 1115 at time 1607967110207
Moved to 1668, 1114 at time 1607967110746
Moved to 1667, 1113 at time 1607967111050
Moved to 1666, 1112 at time 1607967111595
Moved to 1665, 1111 at time 1607967111699
Moved to 1664, 1110 at time 1607967112041
Moved to 1663, 1109 at time 1607967112182
Moved to 1662, 1108 at time 1607967112623
Moved to 1661, 1107 at time 1607967113138
Moved to 1660, 1106 at time 1607967113614
Moved to 1659, 1105 at time 1607967114069
Moved to 1658, 1104 at time 1607967114518
Moved to 1657, 1103 at time 1607967114919
Moved to 1656, 1102 at time 1607967115350
Moved to 1655, 1101 at time 1607967115708
Moved to 1654, 1100 at time 1607967115820
Moved to 1653, 1099 at time 1607967116186
Moved to 1652, 1098 at time 1607967116445
Moved to 1651, 1097 at time 1607967116584
Moved to 1650, 1096 at time 1607967116833
Moved to 1649, 1095 at time 1607967117029
Moved to 1648, 1094 at time 1607967117360
Moved to 1647, 1093 at time 1607967117566
Moved to 1646, 1092 at time 1607967117923
Moved to 1645, 1091 at time 1607967118321
Moved to 1644, 1090 at time 1607967118427
Moved to 1643, 1089 at time 1607967118531
Moved to 1642, 1088 at time 1607967118834
Moved to 1641, 1087 at time 1607967119193
Moved to 1640, 1086 at time 1607967119614
Moved to 1639, 1085 at time 1607967119822
Moved to 1638, 1084 at time 1607967119929
Moved to 1637, 1083 at time 1607967120047
Moved to 1636, 1082 at time 1607967120162
Moved to 1635, 1081 at time 1607967120265
Moved to 1634, 1080 at time 1607967120428
Moved to 1633, 1079 at time 1607967120606
Moved to 1632, 1078 at time 1607967120714
Moved to 1631, 1077 at time 1607967120816
Moved to 1630, 1076 at time 1607967120946
Moved to 1629, 1075 at time 1607967121088
Moved to 1628, 1074 at time 1607967121343
