Moved to 1200, 2464 at time 1607967053315
Moved to 1199, 2463 at time 1607967053404
Moved to 1198, 2462 at time 1607967053746
Moved to 1197, 2461 at time 1607967097321
Moved to 1196, 2460 at time 1607967097577
Moved to 1195, 2459 at time 1607967097824
Moved to 1194, 2458 at time 1607967098066
Moved to 1193, 2457 at time 1607967098201
Moved to 1192, 2456 at time 1607967098252
Moved to 1191, 2455 at time 1607967098389
Moved to 1190, 2454 at time 1607967098656
Moved to 1189, 2453 at time 1607967098905
Moved to 1188, 2452 at time 1607967098946
Moved to 1187, 2451 at time 1607967099358
Moved to 1186, 2450 at time 1607967099480
Moved to 1185, 2449 at time 1607967100019
Moved to 1184, 2448 at time 1607967100444
Moved to 1183, 2447 at time 1607967100859
Moved to 1182, 2446 at time 1607967101570
Moved to 1181, 2445 at time 1607967101644
Moved to 1180, 2444 at time 1607967101863
Moved to 1179, 2443 at time 1607967101986
Moved to 1178, 2442 at time 1607967102042
Moved to 1177, 2441 at time 1607967102169
Moved to 1176, 2440 at time 1607967102462
Moved to 1175, 2439 at time 1607967102807
Moved to 1174, 2438 at time 1607967102848
Moved to 1173, 2437 at time 1607967103246
Moved to 1172, 2436 at time 1607967103432
Moved to 1171, 2435 at time 1607967103559
Moved to 1170, 2434 at time 1607967103744
Moved to 1169, 2433 at time 1607967103874
Moved to 1168, 2432 at time 1607967104009
Moved to 1167, 2431 at time 1607967104402
Moved to 1166, 2430 at time 1607967104812
Moved to 1165, 2429 at time 1607967105340
Moved to 1164, 2428 at time 1607967105890
Moved to 1163, 2427 at time 1607967105926
Moved to 1162, 2426 at time 1607967106222
Moved to 1161, 2425 at time 1607967106318
Moved to 1160, 2424 at time 1607967106539
Moved to 1159, 2423 at time 1607967106642
Moved to 1158, 2422 at time 1607967107010
Moved to 1157, 2421 at time 1607967107333
Moved to 1156, 2420 at time 1607967107611
Moved to 1155, 2419 at time 1607967107673
Moved to 1154, 2418 at time 1607967107729
Moved to 1153, 2417 at time 1607967107805
Moved to 1152, 2416 at time 1607967107897
Moved to 1151, 2415 at time 1607967107931
Moved to 1150, 2414 at time 1607967108051
Moved to 1149, 2413 at time 1607967108179
Moved to 1148, 2412 at time 1607967108298
Moved to 1147, 2411 at time 1607967108415
Moved to 1146, 2410 at time 1607967108530
Moved to 1145, 2409 at time 1607967108707
Moved to 1144, 2408 at time 1607967109046
Moved to 1143, 2407 at time 1607967109477
Moved to 1142, 2406 at time 1607967109917
Moved to 1141, 2405 at time 1607967110088
Moved to 1140, 2404 at time 1607967110486
Moved to 1139, 2403 at time 1607967110534
Moved to 1138, 2402 at time 1607967110937
Moved to 1137, 2401 at time 1607967111367
Moved to 1136, 2400 at time 1607967111745
Moved to 1135, 2399 at time 1607967111824
Moved to 1134, 2398 at time 1607967111990
Moved to 1133, 2397 at time 1607967112053
Moved to 1132, 2396 at time 1607967112231
Moved to 1131, 2395 at time 1607967112291
Moved to 1130, 2394 at time 1607967112572
Moved to 1129, 2393 at time 1607967112648
Moved to 1128, 2392 at time 1607967112929
Moved to 1127, 2391 at time 1607967113052
Moved to 1126, 2390 at time 1607967113316
Moved to 1125, 2389 at time 1607967113506
Moved to 1124, 2388 at time 1607967113808
Moved to 1123, 2387 at time 1607967113958
Moved to 1122, 2386 at time 1607967114244
Moved to 1121, 2385 at time 1607967114405
Moved to 1120, 2384 at time 1607967114695
Moved to 1119, 2383 at time 1607967114818
Moved to 1118, 2382 at time 1607967115093
Moved to 1117, 2381 at time 1607967115250
Moved to 1116, 2380 at time 1607967115285
Moved to 1115, 2379 at time 1607967115637
Moved to 1114, 2378 at time 1607967115701
Moved to 1113, 2377 at time 1607967115870
Moved to 1112, 2376 at time 1607967115938
Moved to 1111, 2375 at time 1607967116125
Moved to 1110, 2374 at time 1607967116211
Moved to 1109, 2373 at time 1607967116480
Moved to 1108, 2372 at time 1607967116610
Moved to 1107, 2371 at time 1607967116855
Moved to 1106, 2370 at time 1607967116905
Moved to 1105, 2369 at time 1607967117021
Moved to 1104, 2368 at time 1607967117122
Moved to 1103, 2367 at time 1607967117451
Moved to 1102, 2366 at time 1607967117539
Moved to 1101, 2365 at time 1607967117690
Moved to 1100, 2364 at time 1607967117841
Moved to 1099, 2363 at time 1607967118280
Moved to 1098, 2362 at time 1607967118420
Moved to 1097, 2361 at time 1607967118680
Moved to 1096, 2360 at time 1607967118773
Moved to 1095, 2359 at time 1607967118983
Moved to 1094, 2358 at time 1607967119098
Moved to 1093, 2357 at time 1607967119373
Moved to 1092, 2356 at time 1607967119493
Moved to 1091, 2355 at time 1607967119679
Moved to 1090, 2354 at time 1607967119829
Moved to 1089, 2353 at time 1607967119899
Moved to 1088, 2352 at time 1607967120029
Moved to 1087, 2351 at time 1607967120171
Moved to 1086, 2350 at time 1607967120287
Moved to 1085, 2349 at time 1607967120372
Moved to 1084, 2348 at time 1607967120507
Moved to 1083, 2347 at time 1607967120638
Moved to 1082, 2346 at time 1607967120751
Moved to 1081, 2345 at time 1607967120839
Moved to 1080, 2344 at time 1607967120952
Moved to 1079, 2343 at time 1607967121073
Moved to 1078, 2342 at time 1607967121126
Moved to 1077, 2341 at time 1607967121207
Moved to 1076, 2340 at time 1607967121287
Moved to 1075, 2339 at time 1607967121467
Moved to 1074, 2338 at time 1607967121554
Moved to 1073, 2337 at time 1607967121681
Moved to 1072, 2336 at time 1607967121790
Moved to 1071, 2335 at time 1607967121853
Moved to 1070, 2334 at time 1607967121967
Moved to 1069, 2333 at time 1607967122015
Moved to 1068, 2332 at time 1607967122049
Moved to 1067, 2331 at time 1607967122089
Moved to 1066, 2330 at time 1607967122206
Moved to 1065, 2329 at time 1607967122257
Moved to 1064, 2328 at time 1607967122355
Moved to 1063, 2327 at time 1607967122415
Moved to 1062, 2326 at time 1607967122521
Moved to 1061, 2325 at time 1607967122637
Moved to 1060, 2324 at time 1607967122681
Moved to 1059, 2323 at time 1607967122774
Moved to 1058, 2322 at time 1607967122897
Moved to 1057, 2321 at time 1607967122953
Moved to 1056, 2320 at time 1607967123194
Moved to 1055, 2319 at time 1607967123527
Moved to 1054, 2318 at time 1607967123884
Moved to 1053, 2317 at time 1607967124232
Moved to 1052, 2316 at time 1607967124373
Moved to 1051, 2315 at time 1607967124452
Moved to 1050, 2314 at time 1607967124567
Moved to 1049, 2313 at time 1607967124636
Moved to 1048, 2312 at time 1607967124744
Moved to 1047, 2311 at time 1607967124859
Moved to 1046, 2310 at time 1607967124972
Moved to 1045, 2309 at time 1607967125074
Moved to 1044, 2308 at time 1607967125186
Moved to 1043, 2307 at time 1607967125254
Moved to 1042, 2306 at time 1607967125378
Moved to 1041, 2305 at time 1607967125417
Moved to 1040, 2304 at time 1607967125462
Moved to 1039, 2303 at time 1607967125581
Moved to 1038, 2302 at time 1607967125652
Moved to 1037, 2301 at time 1607967125782
Moved to 1036, 2300 at time 1607967125849
Moved to 1035, 2299 at time 1607967125885
Moved to 1034, 2298 at time 1607967125931
Moved to 1033, 2297 at time 1607967126162
Moved to 1032, 2296 at time 1607967126448
Moved to 1031, 2295 at time 1607967126679
Moved to 1030, 2294 at time 1607967126839
Moved to 1029, 2293 at time 1607967127160
Moved to 1028, 2292 at time 1607967127509
Moved to 1027, 2291 at time 1607967127931
Moved to 1026, 2290 at time 1607967128305
Moved to 1025, 2289 at time 1607967128723
Moved to 1024, 2288 at time 1607967129174
Moved to 1023, 2287 at time 1607967129380
Moved to 1022, 2286 at time 1607967129492
Moved to 1021, 2285 at time 1607967129736
Moved to 1020, 2284 at time 1607967129860
Moved to 1019, 2283 at time 1607967130126
Moved to 1018, 2282 at time 1607967130243
Moved to 1017, 2281 at time 1607967130494
Moved to 1016, 2280 at time 1607967130620
Moved to 1015, 2279 at time 1607967130869
Moved to 1014, 2278 at time 1607967130993
Moved to 1013, 2277 at time 1607967131220
Moved to 1012, 2276 at time 1607967131256
Moved to 1011, 2275 at time 1607967131315
Moved to 1010, 2274 at time 1607967131614
Moved to 1009, 2273 at time 1607967131671
Moved to 1008, 2272 at time 1607967131978
Moved to 1007, 2271 at time 1607967132044
Moved to 1006, 2270 at time 1607967132344
