Moved to 1457, 2695 at time 1607968070265
Moved to 1456, 2694 at time 1607968143968
Moved to 1455, 2693 at time 1607968144043
Moved to 1454, 2692 at time 1607968144173
Moved to 1453, 2691 at time 1607968144322
Moved to 1452, 2690 at time 1607968144474
Moved to 1451, 2689 at time 1607968144746
Moved to 1450, 2688 at time 1607968144980
Moved to 1449, 2687 at time 1607968145123
Moved to 1448, 2686 at time 1607968145346
Moved to 1447, 2685 at time 1607968145701
Moved to 1446, 2684 at time 1607968145796
Moved to 1445, 2683 at time 1607968145913
Moved to 1444, 2682 at time 1607968145991
Moved to 1443, 2681 at time 1607968146112
Moved to 1442, 2680 at time 1607968146252
Moved to 1441, 2679 at time 1607968146439
Moved to 1440, 2678 at time 1607968146615
Moved to 1439, 2677 at time 1607968146768
Moved to 1438, 2676 at time 1607968146842
Moved to 1437, 2675 at time 1607968146923
Moved to 1436, 2674 at time 1607968146959
Moved to 1435, 2673 at time 1607968147028
Moved to 1434, 2672 at time 1607968147179
Moved to 1433, 2671 at time 1607968147281
Moved to 1432, 2670 at time 1607968147459
Moved to 1431, 2669 at time 1607968147598
Moved to 1430, 2668 at time 1607968147718
Moved to 1429, 2667 at time 1607968147839
Moved to 1428, 2666 at time 1607968147952
Moved to 1427, 2665 at time 1607968147992
Moved to 1426, 2664 at time 1607968148176
Moved to 1425, 2663 at time 1607968148241
Moved to 1424, 2662 at time 1607968148554
Moved to 1423, 2661 at time 1607968148834
Moved to 1422, 2660 at time 1607968149111
Moved to 1421, 2659 at time 1607968149166
Moved to 1420, 2658 at time 1607968149351
Moved to 1419, 2657 at time 1607968149545
Moved to 1418, 2656 at time 1607968149725
Moved to 1417, 2655 at time 1607968149914
Moved to 1416, 2654 at time 1607968150081
Moved to 1415, 2653 at time 1607968150234
Moved to 1414, 2652 at time 1607968150345
Moved to 1413, 2651 at time 1607968150380
Moved to 1412, 2650 at time 1607968150448
Moved to 1411, 2649 at time 1607968150591
Moved to 1410, 2648 at time 1607968150746
Moved to 1409, 2647 at time 1607968150930
Moved to 1408, 2646 at time 1607968151109
Moved to 1407, 2645 at time 1607968151299
Moved to 1406, 2644 at time 1607968151445
Moved to 1405, 2643 at time 1607968151640
Moved to 1404, 2642 at time 1607968151760
Moved to 1403, 2641 at time 1607968151848
Moved to 1402, 2640 at time 1607968152036
Moved to 1401, 2639 at time 1607968152190
Moved to 1400, 2638 at time 1607968152368
Moved to 1399, 2637 at time 1607968152531
Moved to 1398, 2636 at time 1607968152698
Moved to 1397, 2635 at time 1607968152850
Moved to 1396, 2634 at time 1607968153036
Moved to 1395, 2633 at time 1607968153177
Moved to 1394, 2632 at time 1607968153365
Moved to 1393, 2631 at time 1607968153533
Moved to 1392, 2630 at time 1607968153740
Moved to 1391, 2629 at time 1607968153908
Moved to 1390, 2628 at time 1607968154066
Moved to 1389, 2627 at time 1607968263708
Moved to 1388, 2626 at time 1607968263845
Moved to 1387, 2625 at time 1607968263954
Moved to 1386, 2624 at time 1607968264126
Moved to 1385, 2623 at time 1607968264275
Moved to 1384, 2622 at time 1607968264321
Moved to 1383, 2621 at time 1607968264469
Moved to 1382, 2620 at time 1607968264530
Moved to 1381, 2619 at time 1607968264697
Moved to 1380, 2618 at time 1607968264754
Moved to 1379, 2617 at time 1607968264916
Moved to 1378, 2616 at time 1607968264996
Moved to 1377, 2615 at time 1607968265131
Moved to 1376, 2614 at time 1607968265201
Moved to 1375, 2613 at time 1607968265363
Moved to 1374, 2612 at time 1607968265611
Moved to 1373, 2611 at time 1607968265816
Moved to 1372, 2610 at time 1607968266052
Moved to 1371, 2609 at time 1607968266273
Moved to 1370, 2608 at time 1607968266392
Moved to 1369, 2607 at time 1607968266427
Moved to 1368, 2606 at time 1607968266472
Moved to 1367, 2605 at time 1607968266520
Moved to 1366, 2604 at time 1607968266626
Moved to 1365, 2603 at time 1607968266689
Moved to 1364, 2602 at time 1607968266804
Moved to 1363, 2601 at time 1607968266868
Moved to 1362, 2600 at time 1607968266942
Moved to 1361, 2599 at time 1607968267016
Moved to 1360, 2598 at time 1607968267086
Moved to 1359, 2597 at time 1607968267176
Moved to 1358, 2596 at time 1607968267256
Moved to 1357, 2595 at time 1607968267336
Moved to 1356, 2594 at time 1607968267426
Moved to 1355, 2593 at time 1607968267511
Moved to 1354, 2592 at time 1607968267619
Moved to 1353, 2591 at time 1607968267660
Moved to 1352, 2590 at time 1607968267772
Moved to 1351, 2589 at time 1607968267874
Moved to 1350, 2588 at time 1607968267936
Moved to 1349, 2587 at time 1607968267999
Moved to 1348, 2586 at time 1607968268076
Moved to 1347, 2585 at time 1607968268143
Moved to 1346, 2584 at time 1607968268206
Moved to 1345, 2583 at time 1607968268297
Moved to 1344, 2582 at time 1607968268405
Moved to 1343, 2581 at time 1607968268494
Moved to 1342, 2580 at time 1607968268607
Moved to 1341, 2579 at time 1607968268644
Moved to 1340, 2578 at time 1607968268699
Moved to 1339, 2577 at time 1607968268751
Moved to 1338, 2576 at time 1607968268804
Moved to 1337, 2575 at time 1607968268890
Moved to 1336, 2574 at time 1607968268953
Moved to 1335, 2573 at time 1607968269037
Moved to 1334, 2572 at time 1607968269128
Moved to 1333, 2571 at time 1607968269215
Moved to 1332, 2570 at time 1607968269326
Moved to 1331, 2569 at time 1607968269361
Moved to 1330, 2568 at time 1607968269457
Moved to 1329, 2567 at time 1607968269552
Moved to 1328, 2566 at time 1607968269670
Moved to 1327, 2565 at time 1607968269753
Moved to 1326, 2564 at time 1607968269804
Moved to 1325, 2563 at time 1607968269901
Moved to 1324, 2562 at time 1607968269939
Moved to 1323, 2561 at time 1607968269988
Moved to 1322, 2560 at time 1607968270038
Moved to 1321, 2559 at time 1607968270073
Moved to 1320, 2558 at time 1607968270175
Moved to 1319, 2557 at time 1607968270219
Moved to 1318, 2556 at time 1607968270309
Moved to 1317, 2555 at time 1607968270378
Moved to 1316, 2554 at time 1607968270476
Moved to 1315, 2553 at time 1607968270525
Moved to 1314, 2552 at time 1607968270621
Moved to 1313, 2551 at time 1607968270668
Moved to 1312, 2550 at time 1607968270704
Moved to 1311, 2549 at time 1607968270760
Moved to 1310, 2548 at time 1607968270857
Moved to 1309, 2547 at time 1607968270903
Moved to 1308, 2546 at time 1607968270939
Moved to 1307, 2545 at time 1607968271042
Moved to 1306, 2544 at time 1607968271112
Moved to 1305, 2543 at time 1607968271194
Moved to 1304, 2542 at time 1607968271244
Moved to 1303, 2541 at time 1607968271338
Moved to 1302, 2540 at time 1607968271378
Moved to 1301, 2539 at time 1607968271470
Moved to 1300, 2538 at time 1607968271551
Moved to 1299, 2537 at time 1607968271621
Moved to 1298, 2536 at time 1607968271702
Moved to 1297, 2535 at time 1607968271786
Moved to 1296, 2534 at time 1607968271865
Moved to 1295, 2533 at time 1607968271959
Moved to 1294, 2532 at time 1607968272010
Moved to 1293, 2531 at time 1607968272106
Moved to 1292, 2530 at time 1607968272154
Moved to 1291, 2529 at time 1607968272244
Moved to 1290, 2528 at time 1607968272320
Moved to 1289, 2527 at time 1607968272389
Moved to 1288, 2526 at time 1607968272460
Moved to 1287, 2525 at time 1607968272526
Moved to 1286, 2524 at time 1607968272592
Moved to 1285, 2523 at time 1607968272676
Moved to 1284, 2522 at time 1607968272752
Moved to 1283, 2521 at time 1607968272812
Moved to 1282, 2520 at time 1607968272854
Moved to 1281, 2519 at time 1607968272996
Moved to 1280, 2518 at time 1607968273060
Moved to 1279, 2517 at time 1607968273228
Moved to 1278, 2516 at time 1607968273376
Moved to 1277, 2515 at time 1607968273463
Moved to 1276, 2514 at time 1607968273611
Moved to 1275, 2513 at time 1607968273730
Moved to 1274, 2512 at time 1607968273781
Moved to 1273, 2511 at time 1607968273892
Moved to 1272, 2510 at time 1607968274044
Moved to 1271, 2509 at time 1607968274178
Moved to 1270, 2508 at time 1607968274261
Moved to 1269, 2507 at time 1607968274421
Moved to 1268, 2506 at time 1607968274462
Moved to 1267, 2505 at time 1607968274544
Moved to 1266, 2504 at time 1607968274589
Moved to 1265, 2503 at time 1607968274623
Moved to 1264, 2502 at time 1607968274756
Moved to 1263, 2501 at time 1607968274860
Moved to 1262, 2500 at time 1607968275014
Moved to 1261, 2499 at time 1607968275100
Moved to 1260, 2498 at time 1607968275163
Moved to 1259, 2497 at time 1607968275236
Moved to 1258, 2496 at time 1607968275343
Moved to 1257, 2495 at time 1607968275388
Moved to 1256, 2494 at time 1607968275544
Moved to 1255, 2493 at time 1607968275592
Moved to 1254, 2492 at time 1607968275811
Moved to 1253, 2491 at time 1607968275867
Moved to 1252, 2490 at time 1607968276196
Moved to 1251, 2489 at time 1607968276329
Moved to 1250, 2488 at time 1607968276414
Moved to 1249, 2487 at time 1607968276498
Moved to 1248, 2486 at time 1607968276595
Moved to 1247, 2485 at time 1607968276924
Moved to 1246, 2484 at time 1607968276973
Moved to 1245, 2483 at time 1607968277089
Moved to 1244, 2482 at time 1607968277223
Moved to 1243, 2481 at time 1607968277262
Moved to 1242, 2480 at time 1607968277321
Moved to 1241, 2479 at time 1607968277443
Moved to 1240, 2478 at time 1607968277540
Moved to 1239, 2477 at time 1607968277660
Moved to 1238, 2476 at time 1607968277740
Moved to 1237, 2475 at time 1607968277862
Moved to 1236, 2474 at time 1607968277932
Moved to 1235, 2473 at time 1607968277988
Moved to 1234, 2472 at time 1607968278024
Moved to 1233, 2471 at time 1607968278115
Moved to 1232, 2470 at time 1607968278171
Moved to 1231, 2469 at time 1607968278261
Moved to 1230, 2468 at time 1607968278379
Moved to 1229, 2467 at time 1607968278442
Moved to 1228, 2466 at time 1607968278556
Moved to 1227, 2465 at time 1607968278629
Moved to 1226, 2464 at time 1607968278786
Moved to 1225, 2463 at time 1607968278890
Moved to 1224, 2462 at time 1607968278962
Moved to 1223, 2461 at time 1607968279015
Moved to 1222, 2460 at time 1607968279105
Moved to 1221, 2459 at time 1607968279185
Moved to 1220, 2458 at time 1607968279263
Moved to 1219, 2457 at time 1607968279364
Moved to 1218, 2456 at time 1607968279405
Moved to 1217, 2455 at time 1607968279491
Moved to 1216, 2454 at time 1607968279556
Moved to 1215, 2453 at time 1607968279675
Moved to 1214, 2452 at time 1607968279763
Moved to 1213, 2451 at time 1607968279871
Moved to 1212, 2450 at time 1607968279941
Moved to 1211, 2449 at time 1607968280058
Moved to 1210, 2448 at time 1607968280108
Moved to 1209, 2447 at time 1607968280156
Moved to 1208, 2446 at time 1607968280224
Moved to 1207, 2445 at time 1607968280265
Moved to 1206, 2444 at time 1607968280310
