Moved to 3251, 226 at time 1607967053563
Moved to 3250, 225 at time 1607967097415
Moved to 3249, 224 at time 1607967097747
Moved to 3248, 223 at time 1607967097939
Moved to 3247, 222 at time 1607967098139
Moved to 3246, 221 at time 1607967098311
Moved to 3245, 220 at time 1607967098529
Moved to 3244, 219 at time 1607967098737
Moved to 3243, 218 at time 1607967098818
Moved to 3242, 217 at time 1607967099042
Moved to 3241, 216 at time 1607967099108
Moved to 3240, 215 at time 1607967099728
Moved to 3239, 214 at time 1607967099876
Moved to 3238, 213 at time 1607967100246
Moved to 3237, 212 at time 1607967100806
Moved to 3236, 211 at time 1607967100940
Moved to 3235, 210 at time 1607967101717
Moved to 3234, 209 at time 1607967101838
Moved to 3233, 208 at time 1607967102031
Moved to 3232, 207 at time 1607967102175
Moved to 3231, 206 at time 1607967102478
Moved to 3230, 205 at time 1607967102790
Moved to 3229, 204 at time 1607967102862
Moved to 3228, 203 at time 1607967103233
Moved to 3227, 202 at time 1607967103444
Moved to 3226, 201 at time 1607967103551
Moved to 3225, 200 at time 1607967103750
Moved to 3224, 199 at time 1607967103867
Moved to 3223, 198 at time 1607967104016
Moved to 3222, 197 at time 1607967104483
Moved to 3221, 196 at time 1607967104677
Moved to 3220, 195 at time 1607967104876
Moved to 3219, 194 at time 1607967105181
Moved to 3218, 193 at time 1607967105414
Moved to 3217, 192 at time 1607967105848
Moved to 3216, 191 at time 1607967105957
Moved to 3215, 190 at time 1607967106393
Moved to 3214, 189 at time 1607967106508
Moved to 3213, 188 at time 1607967106724
Moved to 3212, 187 at time 1607967106935
Moved to 3211, 186 at time 1607967107281
Moved to 3210, 185 at time 1607967107372
Moved to 3209, 184 at time 1607967107567
Moved to 3208, 183 at time 1607967107715
Moved to 3207, 182 at time 1607967107816
Moved to 3206, 181 at time 1607967107850
Moved to 3205, 180 at time 1607967107992
Moved to 3204, 179 at time 1607967108117
Moved to 3203, 178 at time 1607967108235
Moved to 3202, 177 at time 1607967108367
Moved to 3201, 176 at time 1607967108462
Moved to 3200, 175 at time 1607967108612
Moved to 3199, 174 at time 1607967108835
Moved to 3198, 173 at time 1607967108894
Moved to 3197, 172 at time 1607967109338
Moved to 3196, 171 at time 1607967109837
Moved to 3195, 170 at time 1607967109972
Moved to 3194, 169 at time 1607967110050
Moved to 3193, 168 at time 1607967110167
Moved to 3192, 167 at time 1607967110413
Moved to 3191, 166 at time 1607967110599
Moved to 3190, 165 at time 1607967110844
Moved to 3189, 164 at time 1607967111329
Moved to 3188, 163 at time 1607967111386
Moved to 3187, 162 at time 1607967111733
Moved to 3186, 161 at time 1607967111838
Moved to 3185, 160 at time 1607967112001
Moved to 3184, 159 at time 1607967112040
Moved to 3183, 158 at time 1607967112251
Moved to 3182, 157 at time 1607967112618
Moved to 3181, 156 at time 1607967112967
Moved to 3180, 155 at time 1607967113424
Moved to 3179, 154 at time 1607967113892
Moved to 3178, 153 at time 1607967114314
Moved to 3177, 152 at time 1607967114762
Moved to 3176, 151 at time 1607967115164
Moved to 3175, 150 at time 1607967115568
Moved to 3174, 149 at time 1607967115784
Moved to 3173, 148 at time 1607967116032
Moved to 3172, 147 at time 1607967116334
Moved to 3171, 146 at time 1607967116762
Moved to 3170, 145 at time 1607967116976
Moved to 3169, 144 at time 1607967117212
Moved to 3168, 143 at time 1607967117251
Moved to 3167, 142 at time 1607967117534
Moved to 3166, 141 at time 1607967117696
Moved to 3165, 140 at time 1607967117835
Moved to 3164, 139 at time 1607967118083
Moved to 3163, 138 at time 1607967118229
Moved to 3162, 137 at time 1607967118465
Moved to 3161, 136 at time 1607967118629
Moved to 3160, 135 at time 1607967118808
Moved to 3159, 134 at time 1607967118927
Moved to 3158, 133 at time 1607967119160
Moved to 3157, 132 at time 1607967119319
Moved to 3156, 131 at time 1607967119543
Moved to 3155, 130 at time 1607967119757
Moved to 3154, 129 at time 1607967119857
