Moved to 134, 1008 at time 1607970488571
Moved to 135, 1009 at time 1607970488612
Moved to 136, 1008 at time 1607970488651
Moved to 137, 1009 at time 1607970488686
Moved to 138, 1008 at time 1607970488720
Attacked Unit@43853687at position 407, 823 at time 1607970554031
Got attacked at 138, 1008 by Unit@43853687 at time 1607970555756
Attacked Unit@43853687at position 407, 823 at time 1607970555771
Attacked Unit@43853687at position 407, 823 at time 1607970557463
Moved to 139, 1009 at time 1607970557876
Moved to 140, 1010 at time 1607970557917
Moved to 141, 1011 at time 1607970557961
Got attacked at 141, 1011 by Unit@427efef at time 1607970559046
Attacked Unit@427efefat position 410, 794 at time 1607970559117
Moved to 142, 1012 at time 1607970560594
Moved to 143, 1013 at time 1607970560630
Moved to 144, 1014 at time 1607970560665
Moved to 145, 1013 at time 1607970560700
Moved to 146, 1014 at time 1607970560735
Moved to 147, 1015 at time 1607970560772
Moved to 148, 1016 at time 1607970560806
Moved to 149, 1017 at time 1607970560841
Moved to 150, 1018 at time 1607970560876
Moved to 151, 1019 at time 1607970560912
Moved to 152, 1020 at time 1607970560947
Moved to 153, 1021 at time 1607970560981
Moved to 154, 1022 at time 1607970561016
Moved to 155, 1023 at time 1607970561050
Moved to 156, 1024 at time 1607970561085
Moved to 157, 1023 at time 1607970561122
Moved to 158, 1024 at time 1607970561159
Moved to 159, 1023 at time 1607970561332
Moved to 160, 1024 at time 1607970561370
Moved to 161, 1025 at time 1607970561406
Moved to 162, 1026 at time 1607970561440
Moved to 163, 1027 at time 1607970561475
Moved to 164, 1028 at time 1607970561510
Moved to 165, 1029 at time 1607970561546
Moved to 166, 1030 at time 1607970561580
Attacked Unit@7120ce7eat position 435, 793 at time 1607970561614
Got attacked at 166, 1030 by Unit@7120ce7e at time 1607970562443
Moved to 167, 1031 at time 1607970562514
Moved to 168, 1032 at time 1607970562548
Moved to 169, 1033 at time 1607970562582
Moved to 170, 1034 at time 1607970562616
Moved to 171, 1035 at time 1607970562651
Moved to 172, 1036 at time 1607970562718
Moved to 173, 1037 at time 1607970562754
Moved to 174, 1038 at time 1607970562789
Moved to 175, 1039 at time 1607970562822
Moved to 176, 1040 at time 1607970562857
Moved to 177, 1041 at time 1607970562892
Moved to 178, 1042 at time 1607970562928
Moved to 179, 1043 at time 1607970562964
Moved to 180, 1044 at time 1607970562998
Moved to 181, 1045 at time 1607970563033
Moved to 182, 1046 at time 1607970563069
Moved to 183, 1047 at time 1607970563103
Moved to 184, 1048 at time 1607970563138
Moved to 185, 1049 at time 1607970563172
Moved to 186, 1050 at time 1607970563206
Moved to 187, 1051 at time 1607970563241
Moved to 188, 1052 at time 1607970563275
Moved to 189, 1053 at time 1607970563311
Moved to 190, 1054 at time 1607970563344
Moved to 191, 1055 at time 1607970563380
Moved to 192, 1056 at time 1607970563415
Moved to 193, 1057 at time 1607970563449
Moved to 194, 1058 at time 1607970563483
Moved to 195, 1059 at time 1607970563518
Moved to 196, 1060 at time 1607970563555
Moved to 197, 1061 at time 1607970563589
Moved to 198, 1062 at time 1607970563627
Moved to 199, 1063 at time 1607970563661
Moved to 200, 1064 at time 1607970563698
Moved to 201, 1065 at time 1607970563732
Moved to 202, 1066 at time 1607970563768
Moved to 203, 1067 at time 1607970563803
Moved to 204, 1068 at time 1607970563838
Moved to 205, 1069 at time 1607970563873
Moved to 206, 1070 at time 1607970563907
Moved to 207, 1071 at time 1607970563943
Moved to 208, 1072 at time 1607970563980
Moved to 209, 1073 at time 1607970564015
Moved to 210, 1074 at time 1607970564051
Moved to 211, 1075 at time 1607970564086
Moved to 212, 1076 at time 1607970564122
Moved to 215, 1077 at time 1607970564226
Moved to 216, 1078 at time 1607970564260
Moved to 217, 1079 at time 1607970564295
Moved to 219, 1080 at time 1607970564397
Moved to 220, 1081 at time 1607970564433
Moved to 222, 1094 at time 1607970565966
Moved to 224, 1095 at time 1607970566035
Moved to 226, 1096 at time 1607970566107
Moved to 227, 1095 at time 1607970566142
Moved to 228, 1096 at time 1607970566176
Moved to 229, 1097 at time 1607970566211
Moved to 230, 1098 at time 1607970566246
Moved to 231, 1099 at time 1607970566280
Moved to 232, 1100 at time 1607970566316
Attacked Unit@bbf3a8aat position 501, 1087 at time 1607970566350
Got attacked at 232, 1100 by Unit@6e3c5446 at time 1607970566978
Attacked Unit@6e3c5446at position 501, 1112 at time 1607970568026
