Moved to 832, 684 at time 1607902051425
Moved to 831, 683 at time 1607902051461
Moved to 830, 682 at time 1607902051495
Moved to 829, 681 at time 1607902051532
Moved to 828, 680 at time 1607902051567
Moved to 827, 679 at time 1607902051602
Moved to 826, 678 at time 1607902051636
Moved to 825, 677 at time 1607902051670
Moved to 824, 676 at time 1607902051704
Moved to 823, 675 at time 1607902051738
Moved to 822, 674 at time 1607902051772
Moved to 821, 673 at time 1607902051807
Moved to 820, 672 at time 1607902051841
Moved to 819, 671 at time 1607902051875
Moved to 818, 670 at time 1607902051909
Moved to 817, 669 at time 1607902051944
Moved to 816, 668 at time 1607902051978
Moved to 815, 667 at time 1607902052012
Moved to 814, 666 at time 1607902052046
Moved to 813, 665 at time 1607902052081
Moved to 812, 664 at time 1607902052115
Moved to 811, 663 at time 1607902052150
Moved to 810, 662 at time 1607902052184
Moved to 809, 661 at time 1607902052218
Moved to 808, 660 at time 1607902052252
Moved to 807, 659 at time 1607902052286
Moved to 806, 658 at time 1607902052320
Moved to 805, 657 at time 1607902052354
Moved to 804, 656 at time 1607902052421
Moved to 803, 655 at time 1607902052455
Moved to 802, 654 at time 1607902052489
Moved to 801, 653 at time 1607902052524
Moved to 800, 652 at time 1607902052558
Moved to 799, 651 at time 1607902052592
Moved to 798, 650 at time 1607902052626
Moved to 797, 649 at time 1607902052661
Moved to 796, 648 at time 1607902052695
Moved to 795, 647 at time 1607902052729
Moved to 794, 646 at time 1607902052763
Moved to 793, 645 at time 1607902052830
Moved to 792, 644 at time 1607902052864
Moved to 791, 643 at time 1607902052899
Moved to 790, 642 at time 1607902052933
Moved to 789, 641 at time 1607902052967
Moved to 788, 640 at time 1607902053001
Moved to 787, 639 at time 1607902053035
Moved to 786, 638 at time 1607902053069
Moved to 785, 637 at time 1607902053103
Moved to 784, 636 at time 1607902053170
Moved to 783, 635 at time 1607902053204
Moved to 782, 634 at time 1607902053238
Moved to 781, 633 at time 1607902053272
Moved to 780, 632 at time 1607902053306
Moved to 779, 631 at time 1607902053340
Moved to 778, 630 at time 1607902053375
Moved to 777, 629 at time 1607902053409
Moved to 776, 628 at time 1607902053443
Moved to 775, 627 at time 1607902053477
Moved to 774, 626 at time 1607902053544
Moved to 773, 625 at time 1607902053578
Moved to 772, 624 at time 1607902053612
Moved to 771, 623 at time 1607902053646
Moved to 770, 622 at time 1607902053680
Moved to 769, 621 at time 1607902053714
Moved to 768, 620 at time 1607902053749
Moved to 767, 619 at time 1607902053783
Moved to 766, 618 at time 1607902053817
Moved to 765, 617 at time 1607902053851
Moved to 764, 616 at time 1607902053918
Moved to 763, 615 at time 1607902053952
Moved to 762, 614 at time 1607902053986
Moved to 761, 613 at time 1607902054020
Moved to 760, 612 at time 1607902054054
Moved to 759, 611 at time 1607902054088
Moved to 758, 610 at time 1607902054122
Moved to 757, 609 at time 1607902054156
Moved to 756, 608 at time 1607902054190
Moved to 755, 607 at time 1607902054225
Moved to 754, 606 at time 1607902054258
Moved to 753, 605 at time 1607902054292
Moved to 752, 604 at time 1607902054326
Moved to 751, 603 at time 1607902054361
Moved to 750, 602 at time 1607902054395
Moved to 749, 601 at time 1607902054429
Moved to 748, 600 at time 1607902054463
Moved to 747, 599 at time 1607902054497
Moved to 746, 598 at time 1607902054531
Moved to 745, 597 at time 1607902054566
Moved to 744, 596 at time 1607902054600
Attacked Unit@64f022c9at position 663, 1160 at time 1607969349755
Attacked Unit@53f85cf6at position 705, 1127 at time 1607969394814
Attacked Unit@64f022c9at position 663, 1160 at time 1607969396805
