Attacked Unit@663e32b5at position 485, 886 at time 1607972020994
Attacked Unit@633f4ce5at position 554, 1000 at time 1607972022109
Attacked Unit@667b347aat position 598, 1000 at time 1607972023222
Attacked Unit@2a1f2f14at position 634, 1000 at time 1607972024334
Attacked Unit@633f4ce5at position 821, 1000 at time 1607972025448
Attacked Unit@463fbb0dat position 846, 1000 at time 1607972026563
Attacked Unit@667b347aat position 877, 956 at time 1607972027678
Attacked Unit@633f4ce5at position 733, 843 at time 1607972028791
Attacked Unit@667b347aat position 681, 784 at time 1607972029905
Attacked Unit@633f4ce5at position 536, 843 at time 1607972031018
Attacked Unit@2a1f2f14at position 541, 1248 at time 1607972032130
