Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644726
Moved to 273, 527 at time 1607965645035
Moved to 272, 528 at time 1607965645310
Moved to 271, 529 at time 1607965645385
Moved to 270, 530 at time 1607965645589
Moved to 269, 531 at time 1607965645654
Moved to 268, 532 at time 1607965646017
Moved to 267, 533 at time 1607965646108
Moved to 266, 534 at time 1607965646592
Moved to 265, 535 at time 1607965707886
Moved to 264, 536 at time 1607965708083
Moved to 263, 537 at time 1607965708163
Moved to 262, 538 at time 1607965708302
Moved to 261, 539 at time 1607965708350
Moved to 260, 540 at time 1607965708633
Moved to 259, 541 at time 1607965708847
Moved to 258, 542 at time 1607965709066
Moved to 257, 543 at time 1607965709218
Moved to 256, 544 at time 1607965709431
Moved to 255, 545 at time 1607965709598
Moved to 254, 546 at time 1607965709748
Moved to 253, 547 at time 1607965710465
Moved to 252, 548 at time 1607965710755
Moved to 251, 549 at time 1607965710924
Moved to 250, 550 at time 1607965711257
Moved to 249, 551 at time 1607965711392
Moved to 248, 552 at time 1607965711702
Moved to 247, 553 at time 1607965711982
Moved to 246, 554 at time 1607965712345
Moved to 245, 555 at time 1607965712526
Moved to 244, 556 at time 1607965712751
Moved to 243, 557 at time 1607965712903
Moved to 242, 558 at time 1607965713157
Moved to 241, 559 at time 1607965713420
Moved to 240, 560 at time 1607965713898
Moved to 239, 561 at time 1607965714030
Moved to 238, 562 at time 1607965714211
Moved to 237, 563 at time 1607965714358
Moved to 236, 564 at time 1607965714395
Moved to 235, 565 at time 1607965714987
Moved to 234, 566 at time 1607965715083
Moved to 233, 567 at time 1607965715185
Moved to 232, 568 at time 1607965715231
Moved to 231, 569 at time 1607965715318
Moved to 230, 570 at time 1607965715388
Moved to 229, 571 at time 1607965715495
Moved to 228, 572 at time 1607965715546
Moved to 227, 573 at time 1607965715648
Moved to 226, 574 at time 1607965715720
Moved to 225, 575 at time 1607965715830
Moved to 226, 576 at time 1607965715954
Moved to 227, 577 at time 1607965716286
Moved to 228, 578 at time 1607965716468
Moved to 229, 579 at time 1607965716754
Moved to 230, 580 at time 1607965716978
Moved to 229, 581 at time 1607965717044
Moved to 228, 582 at time 1607965717224
Moved to 229, 583 at time 1607965717410
Moved to 230, 584 at time 1607965717575
Moved to 231, 585 at time 1607965717728
Moved to 232, 586 at time 1607965718088
Moved to 233, 587 at time 1607965718155
Moved to 234, 588 at time 1607965718533
Moved to 235, 589 at time 1607965718696
Moved to 236, 590 at time 1607965718870
Moved to 237, 591 at time 1607965718904
Moved to 238, 592 at time 1607965718938
Moved to 239, 593 at time 1607965719248
Moved to 240, 594 at time 1607965719657
Moved to 241, 595 at time 1607965720184
Moved to 242, 596 at time 1607965720735
Moved to 243, 597 at time 1607965721214
Moved to 244, 598 at time 1607965721264
Moved to 245, 599 at time 1607965721553
Moved to 246, 600 at time 1607965721720
Moved to 247, 601 at time 1607965721882
Moved to 248, 602 at time 1607965721915
Moved to 249, 603 at time 1607965721972
Moved to 250, 604 at time 1607965722060
Moved to 251, 605 at time 1607965722118
Moved to 252, 606 at time 1607965722186
Moved to 253, 607 at time 1607965722252
Moved to 254, 608 at time 1607965722317
Moved to 255, 609 at time 1607965722377
Moved to 256, 610 at time 1607965722607
Moved to 257, 611 at time 1607965722796
Moved to 258, 612 at time 1607965723038
Moved to 259, 613 at time 1607965723274
Moved to 260, 614 at time 1607965723441
Moved to 261, 615 at time 1607965723624
Moved to 262, 616 at time 1607965723922
Moved to 263, 617 at time 1607965724157
Moved to 264, 618 at time 1607965724405
Moved to 265, 619 at time 1607965724644
Moved to 266, 620 at time 1607965724900
Moved to 267, 621 at time 1607965725134
Moved to 268, 622 at time 1607965725384
Moved to 269, 623 at time 1607965725587
Moved to 270, 624 at time 1607965725831
Moved to 271, 625 at time 1607965726049
Moved to 272, 626 at time 1607965726296
Moved to 273, 627 at time 1607965726516
Moved to 274, 628 at time 1607965726742
Moved to 275, 629 at time 1607965726968
Moved to 276, 630 at time 1607965727166
Moved to 277, 631 at time 1607965727205
Moved to 278, 632 at time 1607965727360
Moved to 279, 633 at time 1607965727668
Moved to 280, 634 at time 1607965727829
Moved to 281, 635 at time 1607965728126
Moved to 282, 636 at time 1607965728281
