Attacked Unit@663e32b5at position 485, 886 at time 1607972021000
Attacked Unit@633f4ce5at position 554, 1000 at time 1607972022114
Attacked Unit@633f4ce5at position 642, 1000 at time 1607972023232
Attacked Unit@2a1f2f14at position 635, 1000 at time 1607972024348
Attacked Unit@2a1f2f14at position 724, 1000 at time 1607972025461
Attacked Unit@2f2c1385at position 810, 1000 at time 1607972026573
Attacked Unit@663e32b5at position 811, 890 at time 1607972027685
Attacked Unit@2f2c1385at position 845, 1076 at time 1607972028800
Attacked Unit@2f2c1385at position 746, 1175 at time 1607972029915
Attacked Unit@2a1f2f14at position 639, 1248 at time 1607972031030
Attacked Unit@667b347aat position 481, 784 at time 1607972032143
