Attacked Unit@44f7debfat position 1665, 569 at time 1607967053505
Attacked Unit@784ec523at position 1607, 583 at time 1607967097340
Moved to 1568, 359 at time 1607967097556
Moved to 1569, 360 at time 1607967097846
Moved to 1570, 361 at time 1607967098047
Attacked Unit@5f96c7d4at position 1571, 630 at time 1607967099451
Moved to 1571, 362 at time 1607967100035
Moved to 1572, 363 at time 1607967100412
Moved to 1573, 364 at time 1607967100456
Moved to 1574, 365 at time 1607967100841
Moved to 1575, 366 at time 1607967100894
Moved to 1576, 367 at time 1607967101531
Moved to 1577, 368 at time 1607967101673
Moved to 1578, 369 at time 1607967101708
Moved to 1579, 370 at time 1607967101841
Moved to 1580, 371 at time 1607967102028
Moved to 1581, 372 at time 1607967102178
Moved to 1582, 373 at time 1607967102443
Moved to 1583, 374 at time 1607967102831
Moved to 1584, 375 at time 1607967103272
Moved to 1585, 376 at time 1607967103413
Moved to 1586, 377 at time 1607967103582
Moved to 1587, 378 at time 1607967103714
Moved to 1588, 379 at time 1607967103752
Moved to 1589, 380 at time 1607967103866
Moved to 1590, 381 at time 1607967104016
Moved to 1591, 382 at time 1607967104393
Moved to 1592, 383 at time 1607967104430
Moved to 1593, 384 at time 1607967104857
Moved to 1594, 385 at time 1607967105244
Moved to 1595, 386 at time 1607967105386
Moved to 1596, 387 at time 1607967105865
Moved to 1597, 388 at time 1607967105936
Moved to 1598, 389 at time 1607967106201
Moved to 1599, 390 at time 1607967106341
Moved to 1600, 391 at time 1607967106529
Moved to 1601, 392 at time 1607967106659
Moved to 1602, 393 at time 1607967106994
Moved to 1603, 394 at time 1607967107082
Moved to 1604, 395 at time 1607967107116
Moved to 1605, 396 at time 1607967107248
Moved to 1606, 397 at time 1607967107396
Moved to 1607, 398 at time 1607967107541
Moved to 1608, 399 at time 1607967107615
Moved to 1609, 400 at time 1607967107669
Moved to 1610, 401 at time 1607967107732
Moved to 1611, 402 at time 1607967107802
Moved to 1612, 403 at time 1607967107899
Moved to 1613, 404 at time 1607967107962
Moved to 1614, 405 at time 1607967108031
Moved to 1615, 406 at time 1607967108079
Moved to 1616, 407 at time 1607967108146
Moved to 1617, 413 at time 1607967108509
Moved to 1618, 414 at time 1607967108543
Moved to 1619, 415 at time 1607967108699
Moved to 1620, 416 at time 1607967109061
Moved to 1621, 417 at time 1607967109468
Moved to 1622, 418 at time 1607967109928
Moved to 1623, 419 at time 1607967110073
Moved to 1624, 420 at time 1607967110511
Moved to 1623, 421 at time 1607967110954
Moved to 1622, 422 at time 1607967111349
Moved to 1621, 423 at time 1607967111777
Moved to 1620, 424 at time 1607967112030
Moved to 1619, 425 at time 1607967112255
Moved to 1618, 426 at time 1607967112613
Moved to 1617, 427 at time 1607967112976
Moved to 1616, 428 at time 1607967113427
Moved to 1615, 429 at time 1607967113888
Moved to 1614, 430 at time 1607967114321
Moved to 1613, 431 at time 1607967114759
Moved to 1612, 432 at time 1607967115166
Moved to 1611, 435 at time 1607967116029
Moved to 1610, 436 at time 1607967116337
Moved to 1609, 438 at time 1607967116715
Moved to 1608, 440 at time 1607967116980
Moved to 1607, 441 at time 1607967117207
Moved to 1606, 443 at time 1607967117487
Moved to 1605, 444 at time 1607967117766
Moved to 1604, 445 at time 1607967118153
Moved to 1603, 446 at time 1607967118552
Moved to 1602, 447 at time 1607967118587
Moved to 1601, 446 at time 1607967118845
Moved to 1600, 445 at time 1607967118894
Moved to 1599, 444 at time 1607967119204
Moved to 1598, 443 at time 1607967119275
Moved to 1597, 442 at time 1607967119598
Moved to 1596, 440 at time 1607967119749
Moved to 1595, 439 at time 1607967119867
Moved to 1594, 438 at time 1607967119951
Moved to 1593, 437 at time 1607967120083
Moved to 1592, 436 at time 1607967120118
Moved to 1591, 434 at time 1607967120212
Moved to 1590, 433 at time 1607967120340
Moved to 1589, 432 at time 1607967120415
Moved to 1588, 430 at time 1607967120537
Moved to 1587, 429 at time 1607967120656
Moved to 1586, 428 at time 1607967120731
Moved to 1585, 427 at time 1607967120869
Moved to 1584, 426 at time 1607967120955
Moved to 1583, 425 at time 1607967121053
Moved to 1582, 424 at time 1607967121156
Moved to 1581, 423 at time 1607967121339
Moved to 1580, 422 at time 1607967121463
Moved to 1579, 421 at time 1607967121555
Moved to 1578, 420 at time 1607967121649
Moved to 1577, 419 at time 1607967121739
Moved to 1576, 418 at time 1607967121827
Moved to 1575, 417 at time 1607967121904
Moved to 1574, 416 at time 1607967121994
Moved to 1573, 415 at time 1607967122071
Moved to 1572, 414 at time 1607967122163
Moved to 1571, 396 at time 1607967123956
Moved to 1570, 395 at time 1607967124157
Moved to 1569, 394 at time 1607967124276
Moved to 1568, 393 at time 1607967124348
Moved to 1567, 392 at time 1607967124390
