Attacked Unit@5b44fa42at position 1323, 610 at time 1607969349690
Got attacked at 1210, 691 by Unit@320eeb59 at time 1607969349736
Got attacked at 1210, 691 by Unit@84a1043 at time 1607969349749
Got attacked at 1210, 691 by Unit@5545899d at time 1607969349806
Got attacked at 1210, 691 by Unit@5545899d at time 1607969394759
Got attacked at 1210, 691 by Unit@320eeb59 at time 1607969394785
Got attacked at 1210, 691 by Unit@6082e130 at time 1607969394822
Attacked Unit@a599a8dat position 1010, 569 at time 1607969394834
Got attacked at 1210, 691 by Unit@1205daa0 at time 1607969396704
Got attacked at 1210, 691 by Unit@6082e130 at time 1607969396774
Attacked Unit@a599a8dat position 1010, 569 at time 1607969396790
Died at 1210, 691 at time 1607969396791
