Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644584
Moved to 408, 466 at time 1607965646497
Moved to 407, 467 at time 1607965707897
Moved to 406, 468 at time 1607965708075
Moved to 405, 469 at time 1607965708169
Moved to 404, 470 at time 1607965708381
Moved to 403, 471 at time 1607965708455
Moved to 402, 472 at time 1607965708592
Moved to 401, 473 at time 1607965708677
Moved to 400, 474 at time 1607965708804
Moved to 399, 475 at time 1607965708899
Moved to 398, 476 at time 1607965709022
Moved to 397, 477 at time 1607965709091
Moved to 396, 478 at time 1607965709194
Moved to 395, 479 at time 1607965709424
Moved to 394, 480 at time 1607965709612
Moved to 393, 481 at time 1607965709721
Moved to 392, 482 at time 1607965710316
Moved to 391, 483 at time 1607965710419
Moved to 390, 484 at time 1607965710798
Moved to 389, 485 at time 1607965710873
Moved to 388, 486 at time 1607965711298
Moved to 387, 487 at time 1607965711355
Moved to 386, 488 at time 1607965711747
Moved to 385, 489 at time 1607965711930
Moved to 384, 490 at time 1607965712410
Moved to 382, 491 at time 1607965712786
Moved to 380, 492 at time 1607965713254
Moved to 378, 493 at time 1607965713957
Moved to 377, 494 at time 1607965714284
Moved to 376, 495 at time 1607965714797
Moved to 375, 496 at time 1607965714862
Moved to 374, 497 at time 1607965715134
Moved to 373, 498 at time 1607965715278
Moved to 372, 499 at time 1607965715435
Moved to 371, 500 at time 1607965715604
Moved to 370, 501 at time 1607965715759
Moved to 371, 502 at time 1607965716106
Moved to 372, 503 at time 1607965716680
Moved to 373, 504 at time 1607965716898
Moved to 374, 505 at time 1607965717125
Moved to 375, 506 at time 1607965717320
Moved to 376, 507 at time 1607965717492
Moved to 377, 508 at time 1607965717655
Moved to 378, 509 at time 1607965717824
Moved to 379, 510 at time 1607965717901
Moved to 380, 511 at time 1607965718343
Moved to 381, 512 at time 1607965718614
Moved to 382, 513 at time 1607965718788
Moved to 383, 514 at time 1607965718948
Moved to 384, 515 at time 1607965719237
Moved to 385, 516 at time 1607965719276
Moved to 386, 517 at time 1607965719621
Moved to 387, 518 at time 1607965719696
Moved to 388, 519 at time 1607965720150
Moved to 389, 520 at time 1607965720240
Moved to 390, 521 at time 1607965720688
Moved to 391, 522 at time 1607965720751
Moved to 392, 523 at time 1607965721202
Moved to 393, 524 at time 1607965721277
Moved to 394, 525 at time 1607965721590
Moved to 395, 526 at time 1607965721683
Moved to 396, 527 at time 1607965721752
Moved to 397, 528 at time 1607965721849
Moved to 398, 529 at time 1607965721904
Moved to 399, 530 at time 1607965721986
Moved to 400, 531 at time 1607965722048
Moved to 401, 532 at time 1607965722084
Moved to 402, 533 at time 1607965722220
Moved to 403, 534 at time 1607965722347
Moved to 404, 535 at time 1607965722671
Moved to 405, 536 at time 1607965722740
Moved to 406, 537 at time 1607965723118
Moved to 407, 538 at time 1607965723201
Moved to 408, 539 at time 1607965723481
Moved to 409, 540 at time 1607965723561
Moved to 410, 541 at time 1607965723597
Moved to 411, 542 at time 1607965723941
Moved to 412, 543 at time 1607965724134
Moved to 413, 544 at time 1607965724423
Moved to 414, 545 at time 1607965724622
Moved to 415, 546 at time 1607965724919
Moved to 416, 547 at time 1607965725115
Moved to 417, 548 at time 1607965725398
Moved to 418, 549 at time 1607965725578
Moved to 419, 550 at time 1607965725843
Moved to 420, 551 at time 1607965726033
Moved to 421, 552 at time 1607965726312
Moved to 422, 553 at time 1607965726502
Moved to 423, 554 at time 1607965726768
Moved to 424, 555 at time 1607965726949
Moved to 425, 556 at time 1607965727186
Moved to 426, 557 at time 1607965727378
Moved to 427, 558 at time 1607965727648
Moved to 428, 559 at time 1607965727849
Moved to 429, 560 at time 1607965728108
Moved to 430, 561 at time 1607965728294
Moved to 431, 562 at time 1607965728550
Moved to 432, 563 at time 1607965728756
Moved to 433, 564 at time 1607965729040
Moved to 434, 565 at time 1607965729234
Moved to 435, 566 at time 1607965729488
Moved to 436, 567 at time 1607965729547
Moved to 437, 568 at time 1607965729633
Moved to 438, 569 at time 1607965729674
Moved to 439, 570 at time 1607965729739
Moved to 440, 571 at time 1607965729790
Moved to 441, 572 at time 1607965729863
Moved to 442, 573 at time 1607965729942
Moved to 445, 574 at time 1607965730309
Moved to 447, 575 at time 1607965730759
Moved to 449, 576 at time 1607965731191
Moved to 451, 577 at time 1607965731440
Moved to 452, 578 at time 1607965731585
Moved to 453, 579 at time 1607965731660
Moved to 454, 580 at time 1607965731696
Moved to 455, 581 at time 1607965731778
Moved to 456, 582 at time 1607965731912
Moved to 457, 583 at time 1607965731984
Moved to 458, 584 at time 1607965732111
Moved to 459, 585 at time 1607965732198
Moved to 460, 586 at time 1607965732334
Moved to 461, 587 at time 1607965732441
