Attacked Unit@633f4ce5at position 463, 933 at time 1607972021004
Attacked Unit@667b347aat position 512, 965 at time 1607972022116
Attacked Unit@667b347aat position 599, 1000 at time 1607972023234
Attacked Unit@667b347aat position 690, 1000 at time 1607972024354
Attacked Unit@663e32b5at position 842, 1000 at time 1607972025467
Attacked Unit@316326eat position 785, 1000 at time 1607972026581
Attacked Unit@663e32b5at position 811, 890 at time 1607972027693
Attacked Unit@5162fe5bat position 792, 871 at time 1607972028808
Attacked Unit@5162fe5bat position 693, 831 at time 1607972029921
Attacked Unit@463fbb0dat position 606, 1281 at time 1607972031034
Attacked Unit@633f4ce5at position 435, 843 at time 1607972032147
