Attacked Unit@a81556eat position 678, 408 at time 1607965644441
Moved to 494, 153 at time 1607965644992
Moved to 495, 154 at time 1607965645042
Moved to 496, 155 at time 1607965645301
Moved to 497, 156 at time 1607965645603
Moved to 498, 157 at time 1607965646077
Moved to 499, 158 at time 1607965646608
Moved to 500, 159 at time 1607965707903
Moved to 501, 160 at time 1607965708068
Moved to 502, 161 at time 1607965708180
Moved to 503, 162 at time 1607965708216
Moved to 504, 163 at time 1607965708429
Moved to 505, 164 at time 1607965708625
Moved to 506, 165 at time 1607965708861
Moved to 507, 166 at time 1607965709058
Moved to 508, 167 at time 1607965709230
Moved to 509, 168 at time 1607965709419
Moved to 510, 169 at time 1607965709616
Moved to 511, 170 at time 1607965709714
Moved to 512, 171 at time 1607965710320
Moved to 513, 172 at time 1607965710412
Moved to 514, 173 at time 1607965710800
Moved to 515, 174 at time 1607965710839
Moved to 516, 175 at time 1607965711321
Moved to 517, 176 at time 1607965711787
Moved to 518, 177 at time 1607965711891
Moved to 519, 178 at time 1607965712452
Moved to 520, 179 at time 1607965712819
Moved to 521, 180 at time 1607965713283
Moved to 522, 181 at time 1607965713328
Moved to 523, 182 at time 1607965713978
Moved to 522, 181 at time 1607965714261
Moved to 521, 180 at time 1607965714830
Moved to 520, 179 at time 1607965715146
Moved to 519, 178 at time 1607965715269
Moved to 518, 177 at time 1607965715447
Moved to 517, 176 at time 1607965715481
Moved to 516, 175 at time 1607965715557
Moved to 515, 174 at time 1607965715634
Moved to 514, 173 at time 1607965715734
Moved to 513, 172 at time 1607965715805
Moved to 512, 171 at time 1607965715984
Moved to 511, 170 at time 1607965716258
Moved to 510, 169 at time 1607965716504
Moved to 509, 168 at time 1607965716737
Moved to 508, 167 at time 1607965716846
Moved to 507, 166 at time 1607965716934
Moved to 506, 165 at time 1607965717088
Moved to 505, 164 at time 1607965717175
Moved to 504, 163 at time 1607965717268
Moved to 503, 162 at time 1607965717365
Moved to 502, 161 at time 1607965717453
Moved to 501, 160 at time 1607965717537
Moved to 500, 159 at time 1607965717615
Moved to 499, 158 at time 1607965717686
Moved to 498, 157 at time 1607965717762
Moved to 497, 156 at time 1607965717990
Moved to 496, 155 at time 1607965718263
Moved to 495, 154 at time 1607965718489
Moved to 494, 153 at time 1607965718523
Moved to 493, 152 at time 1607965718703
