Attacked Unit@3aa349c0at position 659, 420 at time 1607965644661
Moved to 403, 208 at time 1607965645727
Moved to 404, 209 at time 1607965645764
Moved to 405, 210 at time 1607965645909
Moved to 406, 211 at time 1607965646558
Moved to 407, 212 at time 1607965707934
Moved to 408, 213 at time 1607965708064
Moved to 409, 214 at time 1607965708187
Moved to 410, 215 at time 1607965708277
Moved to 411, 216 at time 1607965708374
Moved to 412, 217 at time 1607965708462
Moved to 414, 218 at time 1607965708689
Moved to 416, 219 at time 1607965708907
Moved to 417, 220 at time 1607965709011
Moved to 418, 221 at time 1607965709215
Moved to 419, 222 at time 1607965709251
Moved to 420, 223 at time 1607965709399
Moved to 422, 224 at time 1607965709596
Moved to 423, 225 at time 1607965709754
Moved to 424, 226 at time 1607965710281
Moved to 426, 227 at time 1607965710773
Moved to 428, 228 at time 1607965711275
Moved to 430, 229 at time 1607965711734
Moved to 431, 230 at time 1607965711950
Moved to 430, 229 at time 1607965712379
Moved to 429, 228 at time 1607965712506
Moved to 425, 227 at time 1607965713386
Moved to 424, 226 at time 1607965713917
Moved to 423, 225 at time 1607965714015
Moved to 422, 224 at time 1607965714228
Moved to 421, 223 at time 1607965714317
Moved to 420, 222 at time 1607965714766
Moved to 419, 221 at time 1607965714903
Moved to 418, 220 at time 1607965715122
Moved to 417, 219 at time 1607965715289
Moved to 416, 218 at time 1607965715420
Moved to 415, 217 at time 1607965715463
Moved to 414, 216 at time 1607965715579
Moved to 413, 215 at time 1607965715784
Moved to 412, 214 at time 1607965715818
Moved to 411, 213 at time 1607965715964
Moved to 410, 212 at time 1607965716000
Moved to 409, 211 at time 1607965716249
Moved to 408, 210 at time 1607965716520
Moved to 407, 209 at time 1607965716727
Moved to 406, 208 at time 1607965716861
Moved to 405, 207 at time 1607965716926
