Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644606
Moved to 423, 499 at time 1607965646511
Moved to 422, 500 at time 1607965707716
Moved to 421, 501 at time 1607965707764
Moved to 420, 502 at time 1607965708114
Moved to 419, 503 at time 1607965708333
Moved to 418, 504 at time 1607965708495
Moved to 417, 505 at time 1607965708542
Moved to 416, 506 at time 1607965708725
Moved to 415, 507 at time 1607965708766
Moved to 414, 508 at time 1607965708932
Moved to 413, 509 at time 1607965708988
Moved to 412, 510 at time 1607965709131
Moved to 411, 511 at time 1607965709335
Moved to 410, 512 at time 1607965709460
Moved to 409, 513 at time 1607965709556
Moved to 408, 514 at time 1607965710223
Moved to 407, 515 at time 1607965710487
Moved to 406, 516 at time 1607965710525
Moved to 405, 517 at time 1607965710714
Moved to 404, 518 at time 1607965710991
Moved to 403, 519 at time 1607965711213
Moved to 402, 520 at time 1607965711433
Moved to 401, 521 at time 1607965711632
Moved to 400, 522 at time 1607965712042
Moved to 399, 523 at time 1607965712298
Moved to 398, 524 at time 1607965712559
Moved to 397, 525 at time 1607965712716
Moved to 396, 526 at time 1607965712957
Moved to 395, 527 at time 1607965713127
Moved to 394, 528 at time 1607965713489
Moved to 393, 529 at time 1607965713527
Moved to 392, 530 at time 1607965713813
Moved to 391, 531 at time 1607965714077
Moved to 390, 532 at time 1607965714159
Moved to 389, 533 at time 1607965714446
Moved to 388, 534 at time 1607965714646
Moved to 387, 535 at time 1607965714999
Moved to 386, 536 at time 1607965715079
Moved to 385, 537 at time 1607965715188
Moved to 384, 538 at time 1607965715362
Moved to 383, 539 at time 1607965715512
Moved to 382, 540 at time 1607965715688
Moved to 383, 541 at time 1607965715883
Moved to 384, 542 at time 1607965716381
Moved to 385, 543 at time 1607965716791
Moved to 386, 544 at time 1607965716979
Moved to 387, 545 at time 1607965717042
Moved to 388, 546 at time 1607965717227
Moved to 389, 547 at time 1607965717408
Moved to 390, 548 at time 1607965717580
Moved to 391, 549 at time 1607965717724
Moved to 392, 550 at time 1607965718098
Moved to 393, 551 at time 1607965718147
Moved to 394, 552 at time 1607965718537
Moved to 395, 553 at time 1607965718689
Moved to 396, 554 at time 1607965718874
Moved to 397, 555 at time 1607965719054
Moved to 398, 556 at time 1607965719116
Moved to 399, 557 at time 1607965719386
Moved to 400, 558 at time 1607965719468
Moved to 401, 559 at time 1607965719856
Moved to 402, 560 at time 1607965720432
Moved to 403, 561 at time 1607965720487
Moved to 404, 562 at time 1607965720953
Moved to 405, 563 at time 1607965721001
Moved to 406, 564 at time 1607965721461
Moved to 407, 565 at time 1607965721637
Moved to 408, 566 at time 1607965721797
Moved to 409, 567 at time 1607965721953
Moved to 410, 568 at time 1607965722082
Moved to 411, 569 at time 1607965722224
Moved to 412, 570 at time 1607965722340
Moved to 413, 571 at time 1607965722683
Moved to 414, 572 at time 1607965722733
Moved to 415, 573 at time 1607965723121
Moved to 416, 574 at time 1607965723157
Moved to 417, 575 at time 1607965723513
