Attacked Unit@72f2b0c1at position 1065, 602 at time 1607905322227
Attacked Unit@16a26548at position 737, 307 at time 1607905465087
Attacked Unit@4f6e97a0at position 719, 482 at time 1607905466948
Got attacked at 835, 335 by Unit@2031b0ef at time 1607905468523
Attacked Unit@289d4c8eat position 1026, 263 at time 1607905468700
Attacked Unit@5f7994c6at position 1051, 171 at time 1607905470407
Got attacked at 835, 335 by Unit@396818dd at time 1607905470408
Got attacked at 835, 335 by Unit@24d6115e at time 1607905470424
Got attacked at 835, 335 by Unit@24d6115e at time 1607905472065
Attacked Unit@5f7994c6at position 1051, 171 at time 1607905472078
Got attacked at 835, 335 by Unit@5afeecc4 at time 1607905473230
Got attacked at 835, 335 by Unit@499c3438 at time 1607905473529
Got attacked at 835, 335 by Unit@23f247f3 at time 1607905473641
Got attacked at 835, 335 by Unit@3435eb5 at time 1607905473656
Died at 835, 335 at time 1607905473666
