Attacked Unit@15996f7bat position 283, 816 at time 1607969406785
Attacked Unit@7675fe2bat position 189, 838 at time 1607969407939
Attacked Unit@308cbf05at position 370, 828 at time 1607969409064
Attacked Unit@35fe65c9at position 193, 835 at time 1607969410205
Attacked Unit@35fe65c9at position 160, 802 at time 1607969411361
Attacked Unit@15996f7bat position 192, 725 at time 1607969412487
Attacked Unit@15996f7bat position 180, 713 at time 1607969413639
Attacked Unit@7675fe2bat position 100, 704 at time 1607969415022
Attacked Unit@35fe65c9at position 100, 734 at time 1607969416386
Attacked Unit@308cbf05at position 229, 687 at time 1607969417563
Attacked Unit@35fe65c9at position 100, 687 at time 1607969418756
Attacked Unit@35fe65c9at position 100, 663 at time 1607969419940
Attacked Unit@308cbf05at position 157, 615 at time 1607969421095
Attacked Unit@35fe65c9at position 100, 641 at time 1607969422242
Attacked Unit@35fe65c9at position 100, 629 at time 1607969423399
Attacked Unit@35fe65c9at position 100, 618 at time 1607969424700
Attacked Unit@308cbf05at position 107, 565 at time 1607969425996
Attacked Unit@308cbf05at position 100, 554 at time 1607969427108
Attacked Unit@7675fe2bat position 100, 519 at time 1607969428380
Attacked Unit@35fe65c9at position 100, 550 at time 1607969429687
Attacked Unit@35fe65c9at position 100, 540 at time 1607969430858
Attacked Unit@308cbf05at position 100, 484 at time 1607969432051
Attacked Unit@1aaafd93at position 772, 271 at time 1607969449970
Attacked Unit@1aaafd93at position 763, 262 at time 1607969451108
Attacked Unit@1aaafd93at position 755, 254 at time 1607969452264
Attacked Unit@1d07018cat position 764, 314 at time 1607969453491
Attacked Unit@1aaafd93at position 714, 213 at time 1607969454612
Attacked Unit@599c604cat position 742, 100 at time 1607969455726
Attacked Unit@54e1727at position 715, 100 at time 1607969456839
Attacked Unit@599c604cat position 711, 100 at time 1607969458125
Attacked Unit@1d07018cat position 650, 200 at time 1607969459243
Attacked Unit@54e1727at position 684, 100 at time 1607969460412
Attacked Unit@7abfd482at position 556, 702 at time 1607969461673
Attacked Unit@7abfd482at position 539, 685 at time 1607969462791
Attacked Unit@7abfd482at position 527, 673 at time 1607969464094
Attacked Unit@3410e711at position 535, 786 at time 1607969465206
Attacked Unit@1aaafd93at position 539, 100 at time 1607969466380
Attacked Unit@1aaafd93at position 497, 100 at time 1607969467513
Attacked Unit@599c604cat position 512, 100 at time 1607969468637
Attacked Unit@1aaafd93at position 452, 100 at time 1607969469770
Attacked Unit@1d07018cat position 421, 100 at time 1607969470934
Attacked Unit@7abfd482at position 341, 487 at time 1607969472144
Attacked Unit@1d07018cat position 397, 100 at time 1607969473373
Attacked Unit@1d07018cat position 382, 100 at time 1607969474552
Attacked Unit@54e1727at position 410, 100 at time 1607969475665
Attacked Unit@1d07018cat position 356, 100 at time 1607969476853
Attacked Unit@599c604cat position 407, 100 at time 1607969478057
Attacked Unit@3410e711at position 301, 552 at time 1607969479247
Attacked Unit@599c604cat position 365, 100 at time 1607969480383
Attacked Unit@1d07018cat position 251, 100 at time 1607969481495
Attacked Unit@54e1727at position 274, 100 at time 1607969482625
Attacked Unit@1d07018cat position 220, 100 at time 1607969483815
Attacked Unit@47ab2616at position 116, 838 at time 1607969486175
Attacked Unit@47ab2616at position 101, 823 at time 1607969487369
Attacked Unit@541d5cdfat position 100, 795 at time 1607969488485
Attacked Unit@de37aa6at position 100, 824 at time 1607969489624
Attacked Unit@de37aa6at position 100, 803 at time 1607969490829
Attacked Unit@541d5cdfat position 100, 733 at time 1607969492004
