Attacked Unit@a81556eat position 678, 408 at time 1607965644558
Moved to 414, 181 at time 1607965645890
Moved to 415, 182 at time 1607965646501
Moved to 416, 183 at time 1607965707780
Moved to 417, 184 at time 1607965708100
Moved to 418, 185 at time 1607965708147
Moved to 419, 186 at time 1607965708318
Moved to 420, 187 at time 1607965708549
Moved to 421, 188 at time 1607965708716
Moved to 422, 189 at time 1607965708775
Moved to 423, 190 at time 1607965708925
Moved to 424, 191 at time 1607965708995
Moved to 425, 192 at time 1607965709116
Moved to 426, 193 at time 1607965709172
Moved to 427, 194 at time 1607965709288
Moved to 428, 195 at time 1607965709349
Moved to 429, 196 at time 1607965709474
Moved to 430, 197 at time 1607965709540
Moved to 431, 198 at time 1607965709906
Moved to 432, 199 at time 1607965710180
Moved to 433, 200 at time 1607965710218
Moved to 434, 201 at time 1607965710497
Moved to 435, 202 at time 1607965710732
Moved to 436, 203 at time 1607965710957
Moved to 437, 204 at time 1607965711234
Moved to 438, 205 at time 1607965711409
Moved to 439, 206 at time 1607965711670
Moved to 440, 207 at time 1607965712006
Moved to 441, 208 at time 1607965712320
Moved to 446, 209 at time 1607965713454
Moved to 447, 210 at time 1607965713880
Moved to 448, 211 at time 1607965714039
Moved to 447, 210 at time 1607965714201
Moved to 446, 209 at time 1607965714384
Moved to 445, 208 at time 1607965714700
Moved to 444, 207 at time 1607965714946
Moved to 443, 206 at time 1607965715109
Moved to 442, 205 at time 1607965715145
Moved to 441, 204 at time 1607965715270
Moved to 440, 203 at time 1607965715441
Moved to 439, 202 at time 1607965715598
Moved to 438, 201 at time 1607965715767
Moved to 437, 200 at time 1607965716082
Moved to 436, 199 at time 1607965716139
Moved to 435, 198 at time 1607965716650
Moved to 434, 197 at time 1607965716687
Moved to 433, 196 at time 1607965716891
Moved to 432, 195 at time 1607965717132
Moved to 431, 194 at time 1607965717313
Moved to 430, 193 at time 1607965717501
Moved to 429, 192 at time 1607965717535
Moved to 428, 191 at time 1607965717618
Moved to 427, 190 at time 1607965717685
Moved to 426, 189 at time 1607965717763
Moved to 425, 188 at time 1607965717994
Moved to 424, 187 at time 1607965718261
Moved to 423, 186 at time 1607965718491
Moved to 422, 185 at time 1607965718569
Moved to 421, 184 at time 1607965718650
Moved to 420, 183 at time 1607965718751
Moved to 419, 182 at time 1607965718830
Moved to 418, 181 at time 1607965718901
Moved to 417, 180 at time 1607965719009
