Moved to 46, 841 at time 1607969394959
Moved to 47, 842 at time 1607969408592
Moved to 48, 843 at time 1607969408843
Moved to 49, 844 at time 1607969409046
Moved to 50, 845 at time 1607969409268
Moved to 51, 846 at time 1607969409504
Moved to 52, 847 at time 1607969409725
Moved to 53, 848 at time 1607969409954
Moved to 54, 849 at time 1607969410169
Moved to 55, 850 at time 1607969410372
Moved to 56, 851 at time 1607969410487
Moved to 57, 852 at time 1607969410628
Moved to 58, 853 at time 1607969410770
Moved to 59, 854 at time 1607969410888
Moved to 60, 855 at time 1607969410995
Moved to 61, 856 at time 1607969411176
Moved to 62, 857 at time 1607969411305
Moved to 61, 858 at time 1607969411463
Moved to 62, 859 at time 1607969411638
Moved to 63, 860 at time 1607969411745
Moved to 64, 861 at time 1607969411891
Moved to 63, 862 at time 1607969412117
Moved to 62, 863 at time 1607969412395
Moved to 61, 864 at time 1607969412626
Moved to 60, 865 at time 1607969412880
Moved to 59, 866 at time 1607969413146
Moved to 60, 867 at time 1607969413347
Moved to 61, 868 at time 1607969413564
Moved to 62, 869 at time 1607969413754
Moved to 63, 870 at time 1607969413863
Moved to 64, 871 at time 1607969414035
Moved to 65, 872 at time 1607969414158
Moved to 66, 873 at time 1607969414261
Moved to 67, 874 at time 1607969414401
Moved to 68, 875 at time 1607969414577
Moved to 69, 876 at time 1607969414920
Moved to 70, 877 at time 1607969415118
Moved to 69, 878 at time 1607969415295
Moved to 70, 879 at time 1607969415559
Moved to 69, 880 at time 1607969415780
Moved to 68, 881 at time 1607969416093
Moved to 69, 882 at time 1607969416315
Moved to 70, 883 at time 1607969416640
Moved to 69, 884 at time 1607969416928
Moved to 70, 885 at time 1607969417106
Moved to 69, 886 at time 1607969417221
Moved to 68, 887 at time 1607969417328
Moved to 69, 888 at time 1607969417458
Moved to 68, 889 at time 1607969417573
Moved to 67, 890 at time 1607969417678
Moved to 66, 891 at time 1607969417779
Moved to 65, 892 at time 1607969417929
Moved to 64, 893 at time 1607969418063
Moved to 63, 894 at time 1607969418245
Moved to 64, 896 at time 1607969418544
Moved to 63, 897 at time 1607969418695
Moved to 62, 920 at time 1607969422295
Moved to 61, 992 at time 1607969436384
Moved to 60, 994 at time 1607969436619
Moved to 59, 1001 at time 1607969437689
Moved to 58, 1016 at time 1607969440397
Moved to 57, 1018 at time 1607969440660
Moved to 58, 1019 at time 1607969440776
Moved to 57, 1021 at time 1607969441014
Moved to 56, 1023 at time 1607969441432
Moved to 57, 1024 at time 1607969441639
Moved to 56, 1029 at time 1607969442482
Moved to 55, 1032 at time 1607969442953
Moved to 54, 1035 at time 1607969443587
Moved to 55, 1036 at time 1607969443821
Moved to 54, 1038 at time 1607969444171
Moved to 55, 1039 at time 1607969444304
Moved to 54, 1040 at time 1607969444488
Moved to 53, 1041 at time 1607969444696
Moved to 54, 1042 at time 1607969444916
Moved to 53, 1043 at time 1607969445122
Moved to 52, 1049 at time 1607969446310
Moved to 53, 1051 at time 1607969446743
Moved to 52, 1052 at time 1607969446917
Moved to 53, 1054 at time 1607969447186
Moved to 52, 1055 at time 1607969447368
Moved to 51, 1056 at time 1607969447480
Moved to 52, 1057 at time 1607969447619
Moved to 53, 1058 at time 1607969447757
Moved to 52, 1059 at time 1607969447866
Moved to 53, 1060 at time 1607969448030
Moved to 52, 1062 at time 1607969448321
Moved to 51, 1064 at time 1607969448599
Moved to 50, 1067 at time 1607969449126
Moved to 51, 1068 at time 1607969449289
Moved to 52, 1071 at time 1607969449826
Moved to 51, 1072 at time 1607969450019
Moved to 52, 1073 at time 1607969450187
Moved to 51, 1074 at time 1607969450399
Moved to 52, 1075 at time 1607969450602
Moved to 51, 1077 at time 1607969451014
Got attacked at 51, 1110 by Unit@e30f08f at time 1607969456407
Died at 51, 1111 at time 1607969456592
