Attacked Unit@10c68cebat position 463, 660 at time 1607965644384
Moved to 250, 566 at time 1607965644793
Moved to 249, 567 at time 1607965644968
Moved to 248, 568 at time 1607965645064
Moved to 247, 569 at time 1607965645265
Moved to 246, 570 at time 1607965645419
Moved to 245, 571 at time 1607965645563
Moved to 244, 572 at time 1607965645684
Moved to 243, 573 at time 1607965645984
Moved to 242, 574 at time 1607965646168
Moved to 241, 575 at time 1607965646573
Moved to 240, 576 at time 1607965707830
Moved to 239, 577 at time 1607965708091
Moved to 238, 578 at time 1607965708158
Moved to 237, 579 at time 1607965708249
Moved to 236, 580 at time 1607965708388
Moved to 235, 581 at time 1607965708447
Moved to 234, 582 at time 1607965708599
Moved to 233, 583 at time 1607965708666
Moved to 232, 584 at time 1607965708812
Moved to 231, 585 at time 1607965708893
Moved to 230, 586 at time 1607965709031
Moved to 229, 587 at time 1607965709079
Moved to 228, 588 at time 1607965709202
Moved to 227, 589 at time 1607965709265
Moved to 226, 590 at time 1607965709383
Moved to 225, 591 at time 1607965709442
Moved to 224, 592 at time 1607965709588
Moved to 223, 593 at time 1607965709776
Moved to 222, 594 at time 1607965710258
Moved to 221, 595 at time 1607965710460
Moved to 220, 596 at time 1607965710760
Moved to 219, 597 at time 1607965711291
Moved to 218, 598 at time 1607965711357
Moved to 217, 599 at time 1607965711745
Moved to 216, 600 at time 1607965711932
Moved to 215, 601 at time 1607965712394
Moved to 214, 602 at time 1607965712495
Moved to 213, 603 at time 1607965712784
Moved to 212, 604 at time 1607965712853
Moved to 211, 605 at time 1607965713252
Moved to 210, 606 at time 1607965713366
Moved to 209, 607 at time 1607965713954
Moved to 208, 608 at time 1607965713996
Moved to 207, 609 at time 1607965714245
Moved to 206, 610 at time 1607965714291
Moved to 205, 611 at time 1607965714788
Moved to 204, 612 at time 1607965714875
Moved to 203, 613 at time 1607965715131
Moved to 202, 614 at time 1607965715283
Moved to 201, 615 at time 1607965715429
Moved to 200, 616 at time 1607965715610
Moved to 199, 617 at time 1607965715755
Moved to 200, 618 at time 1607965716113
Moved to 201, 619 at time 1607965716675
Moved to 202, 620 at time 1607965716901
Moved to 203, 621 at time 1607965717120
Moved to 204, 622 at time 1607965717325
Moved to 205, 623 at time 1607965717486
Moved to 206, 624 at time 1607965717662
Moved to 207, 625 at time 1607965717805
Moved to 208, 626 at time 1607965717913
Moved to 209, 627 at time 1607965718330
Moved to 210, 628 at time 1607965718443
Moved to 211, 629 at time 1607965718595
Moved to 212, 630 at time 1607965718807
Moved to 213, 631 at time 1607965718921
Moved to 214, 632 at time 1607965718956
Moved to 215, 633 at time 1607965719227
Moved to 216, 634 at time 1607965719282
Moved to 217, 635 at time 1607965719609
Moved to 218, 636 at time 1607965719705
Moved to 219, 637 at time 1607965720139
Moved to 220, 638 at time 1607965720253
Moved to 221, 639 at time 1607965720678
Moved to 222, 640 at time 1607965720757
Moved to 223, 641 at time 1607965720794
Moved to 224, 642 at time 1607965721155
Moved to 225, 643 at time 1607965721321
Moved to 226, 644 at time 1607965721524
Moved to 227, 645 at time 1607965721579
Moved to 228, 646 at time 1607965721690
Moved to 229, 647 at time 1607965721741
Moved to 230, 648 at time 1607965721857
Moved to 231, 649 at time 1607965721894
Moved to 232, 650 at time 1607965721929
Moved to 233, 651 at time 1607965722104
Moved to 234, 652 at time 1607965722200
Moved to 235, 653 at time 1607965722237
Moved to 236, 654 at time 1607965722332
Moved to 237, 655 at time 1607965722711
Moved to 238, 656 at time 1607965723149
Moved to 239, 657 at time 1607965723520
Moved to 240, 658 at time 1607965724021
Moved to 241, 659 at time 1607965724536
Moved to 242, 660 at time 1607965724573
Moved to 243, 661 at time 1607965724974
Moved to 244, 662 at time 1607965725063
Moved to 245, 663 at time 1607965725452
Moved to 246, 664 at time 1607965725524
Moved to 247, 665 at time 1607965725902
Moved to 248, 666 at time 1607965725979
Moved to 249, 667 at time 1607965726366
Moved to 250, 668 at time 1607965726862
Moved to 251, 669 at time 1607965727291
Moved to 252, 670 at time 1607965727746
Moved to 253, 671 at time 1607965728215
Moved to 254, 672 at time 1607965728642
Moved to 255, 673 at time 1607965729147
Moved to 256, 674 at time 1607965729527
Moved to 257, 675 at time 1607965729652
Moved to 258, 676 at time 1607965729769
Moved to 259, 677 at time 1607965729886
Moved to 260, 678 at time 1607965730208
Moved to 261, 679 at time 1607965730618
Moved to 262, 680 at time 1607965731087
Moved to 263, 681 at time 1607965731399
Moved to 264, 682 at time 1607965731517
Moved to 265, 683 at time 1607965731625
Moved to 266, 684 at time 1607965731733
Moved to 267, 685 at time 1607965731844
Moved to 268, 686 at time 1607965731949
Moved to 269, 687 at time 1607965732043
Moved to 270, 688 at time 1607965732153
Moved to 271, 689 at time 1607965732264
Moved to 272, 690 at time 1607965732380
Moved to 273, 691 at time 1607965732502
Moved to 274, 692 at time 1607965732877
Moved to 275, 693 at time 1607965733291
Moved to 276, 694 at time 1607965733729
Moved to 277, 695 at time 1607965734157
Moved to 278, 696 at time 1607965734574
Moved to 279, 697 at time 1607965734856
Moved to 280, 698 at time 1607965734982
Moved to 281, 699 at time 1607965735131
Moved to 282, 700 at time 1607965735229
