Attacked Unit@5081f3cfat position 692, 905 at time 1607971746072
Attacked Unit@6082e130at position 523, 1024 at time 1607971747185
Attacked Unit@1704a4cfat position 729, 1000 at time 1607971748298
Attacked Unit@6aed7046at position 846, 925 at time 1607971750520
Attacked Unit@6082e130at position 896, 1000 at time 1607971751632
Attacked Unit@3f2d0bd3at position 714, 798 at time 1607971752745
Attacked Unit@6082e130at position 749, 1172 at time 1607971753857
Attacked Unit@6082e130at position 651, 1216 at time 1607971754971
Attacked Unit@6082e130at position 553, 1216 at time 1607971756083
Attacked Unit@3f2d0bd3at position 595, 931 at time 1607971757196
Attacked Unit@6aed7046at position 850, 1000 at time 1607971758308
Attacked Unit@199fba61at position 395, 1111 at time 1607971759422
Attacked Unit@5081f3cfat position 611, 824 at time 1607971760536
Attacked Unit@6aed7046at position 695, 795 at time 1607971761649
Attacked Unit@6082e130at position 683, 1000 at time 1607971762764
Attacked Unit@199fba61at position 861, 1000 at time 1607971764987
Attacked Unit@199fba61at position 888, 1033 at time 1607971766099
Attacked Unit@6082e130at position 780, 1141 at time 1607971767212
