Attacked Unit@43622cd4at position 677, 493 at time 1607965644425
Moved to 486, 299 at time 1607965646422
Moved to 487, 300 at time 1607965646561
Moved to 488, 301 at time 1607965707889
Moved to 489, 302 at time 1607965708082
Moved to 490, 303 at time 1607965708165
Moved to 491, 304 at time 1607965708301
Moved to 492, 305 at time 1607965708349
Moved to 493, 306 at time 1607965708383
Moved to 494, 307 at time 1607965708449
Moved to 495, 308 at time 1607965708598
Moved to 496, 309 at time 1607965708670
Moved to 497, 310 at time 1607965708809
Moved to 498, 311 at time 1607965708897
Moved to 499, 312 at time 1607965708987
Moved to 500, 313 at time 1607965709129
Moved to 501, 314 at time 1607965709165
Moved to 502, 315 at time 1607965709300
Moved to 503, 316 at time 1607965709336
Moved to 504, 317 at time 1607965709485
Moved to 505, 318 at time 1607965709526
Moved to 506, 319 at time 1607965710159
Moved to 507, 320 at time 1607965710553
Moved to 508, 321 at time 1607965710698
Moved to 509, 322 at time 1607965711015
Moved to 510, 323 at time 1607965711196
Moved to 511, 324 at time 1607965711448
Moved to 512, 325 at time 1607965711603
Moved to 513, 326 at time 1607965712067
Moved to 514, 327 at time 1607965712277
Moved to 515, 328 at time 1607965712576
Moved to 516, 329 at time 1607965712698
Moved to 517, 330 at time 1607965713013
Moved to 518, 331 at time 1607965713117
Moved to 519, 332 at time 1607965713507
Moved to 520, 333 at time 1607965713832
Moved to 521, 334 at time 1607965713869
Moved to 522, 335 at time 1607965714047
Moved to 523, 336 at time 1607965714192
Moved to 524, 337 at time 1607965714401
Moved to 525, 338 at time 1607965714686
Moved to 526, 339 at time 1607965714961
Moved to 527, 340 at time 1607965715096
Moved to 528, 341 at time 1607965715174
Moved to 529, 342 at time 1607965715210
Moved to 530, 343 at time 1607965715343
Moved to 531, 344 at time 1607965715529
Moved to 532, 345 at time 1607965715668
Moved to 533, 346 at time 1607965715703
Moved to 534, 347 at time 1607965715862
Moved to 535, 348 at time 1607965715921
Moved to 536, 349 at time 1607965716325
