Moved to 1972, 340 at time 1607968070218
Moved to 1973, 341 at time 1607968070344
Moved to 1974, 342 at time 1607968144022
Moved to 1975, 343 at time 1607968144189
Moved to 1976, 344 at time 1607968144306
Moved to 1977, 345 at time 1607968144494
Moved to 1978, 346 at time 1607968144718
Moved to 1979, 347 at time 1607968144992
Moved to 1980, 348 at time 1607968145112
Moved to 1981, 349 at time 1607968145329
Moved to 1982, 350 at time 1607968145557
Moved to 1983, 351 at time 1607968145593
Moved to 1984, 352 at time 1607968145866
Moved to 1985, 353 at time 1607968146094
Moved to 1986, 354 at time 1607968146131
Moved to 1987, 355 at time 1607968146235
Moved to 1988, 356 at time 1607968146462
Moved to 1989, 357 at time 1607968146598
Moved to 1990, 358 at time 1607968146858
Moved to 1991, 359 at time 1607968146910
Moved to 1992, 360 at time 1607968146975
Moved to 1993, 361 at time 1607968147022
Moved to 1994, 362 at time 1607968147056
Moved to 1995, 363 at time 1607968147231
Moved to 1996, 364 at time 1607968147379
Moved to 1997, 365 at time 1607968147522
Moved to 1998, 366 at time 1607968147672
Moved to 1999, 367 at time 1607968147767
Moved to 2000, 368 at time 1607968147913
Moved to 2001, 369 at time 1607968148059
Moved to 2002, 370 at time 1607968148117
Moved to 2003, 371 at time 1607968148323
Moved to 2004, 372 at time 1607968148399
Moved to 2005, 373 at time 1607968148637
Moved to 2006, 374 at time 1607968148675
Moved to 2007, 375 at time 1607968148951
Moved to 2008, 376 at time 1607968149011
Moved to 2009, 377 at time 1607968149243
Moved to 2010, 378 at time 1607968149291
Moved to 2011, 379 at time 1607968149424
Moved to 2012, 380 at time 1607968149458
Moved to 2013, 381 at time 1607968149627
Moved to 2014, 382 at time 1607968149839
Moved to 2015, 383 at time 1607968149982
Moved to 2016, 384 at time 1607968150196
Moved to 2017, 385 at time 1607968150248
Moved to 2018, 386 at time 1607968150414
Moved to 2019, 387 at time 1607968150509
Moved to 2020, 388 at time 1607968150675
Moved to 2021, 389 at time 1607968150827
Moved to 2022, 390 at time 1607968151041
Moved to 2023, 391 at time 1607968151195
Moved to 2024, 392 at time 1607968151386
Moved to 2025, 393 at time 1607968151536
Moved to 2026, 394 at time 1607968151718
Moved to 2027, 395 at time 1607968151796
Moved to 2028, 396 at time 1607968151940
Moved to 2029, 397 at time 1607968152108
Moved to 2030, 398 at time 1607968152281
Moved to 2031, 399 at time 1607968152443
Moved to 2032, 400 at time 1607968152612
Moved to 2033, 401 at time 1607968152647
Moved to 2034, 402 at time 1607968152754
Moved to 2035, 403 at time 1607968152802
Moved to 2036, 404 at time 1607968152912
Moved to 2037, 405 at time 1607968152966
Moved to 2038, 406 at time 1607968153071
Moved to 2039, 407 at time 1607968153130
Moved to 2040, 408 at time 1607968153246
Moved to 2041, 409 at time 1607968153300
Moved to 2042, 410 at time 1607968153336
Moved to 2043, 411 at time 1607968153381
Moved to 2044, 412 at time 1607968153509
Moved to 2045, 413 at time 1607968153567
Moved to 2046, 414 at time 1607968153707
Moved to 2047, 415 at time 1607968153762
Moved to 2048, 416 at time 1607968153890
Moved to 2049, 417 at time 1607968153932
Moved to 2050, 418 at time 1607968154035
Moved to 2051, 419 at time 1607968263703
Moved to 2052, 420 at time 1607968263739
Moved to 2053, 421 at time 1607968263815
Moved to 2054, 422 at time 1607968263987
