Attacked Unit@39374a7at position 708, 317 at time 1607904712366
Attacked Unit@4ffd585fat position 614, 286 at time 1607904725464
Attacked Unit@e4bbe4at position 658, 386 at time 1607904750397
Moved to 559, 270 at time 1607904750780
Moved to 560, 269 at time 1607904750862
Moved to 561, 268 at time 1607904750932
Moved to 562, 267 at time 1607904751056
Moved to 563, 266 at time 1607904751164
Moved to 564, 265 at time 1607904751293
Moved to 565, 264 at time 1607904751358
Moved to 566, 263 at time 1607904751453
Moved to 567, 262 at time 1607904751516
Moved to 568, 261 at time 1607904751615
Moved to 569, 260 at time 1607904751748
Moved to 570, 259 at time 1607904751811
Moved to 571, 258 at time 1607904751890
Moved to 572, 257 at time 1607904751947
Moved to 573, 256 at time 1607904752016
Got attacked at 573, 255 by Unit@14a9bb91 at time 1607904753745
Moved to 574, 275 at time 1607904755306
Got attacked at 575, 275 by Unit@12b588ad at time 1607904755416
Moved to 576, 276 at time 1607904755495
Moved to 577, 277 at time 1607904755562
Moved to 578, 278 at time 1607904755657
Moved to 579, 279 at time 1607904755731
Moved to 580, 280 at time 1607904755788
Moved to 581, 281 at time 1607904755877
Moved to 582, 282 at time 1607904755959
Moved to 583, 283 at time 1607904756018
Moved to 584, 284 at time 1607904756094
Moved to 585, 285 at time 1607904756165
Moved to 586, 286 at time 1607904756216
Moved to 587, 287 at time 1607904756267
Moved to 588, 288 at time 1607904756329
Moved to 589, 289 at time 1607904756385
Moved to 590, 290 at time 1607904756445
Moved to 591, 291 at time 1607904756516
Moved to 592, 292 at time 1607904756596
Moved to 593, 293 at time 1607904756653
Moved to 594, 294 at time 1607904756739
Moved to 595, 295 at time 1607904756817
Moved to 596, 294 at time 1607904756916
Moved to 597, 293 at time 1607904756969
Moved to 598, 292 at time 1607904757034
Moved to 599, 291 at time 1607904757138
Moved to 598, 290 at time 1607904757227
Moved to 597, 289 at time 1607904757307
Moved to 596, 288 at time 1607904757370
Moved to 595, 287 at time 1607904757443
Moved to 594, 286 at time 1607904757499
Moved to 589, 285 at time 1607904757832
Moved to 588, 284 at time 1607904757912
Moved to 587, 283 at time 1607904757978
Moved to 586, 282 at time 1607904758065
Moved to 585, 281 at time 1607904758116
Moved to 584, 280 at time 1607904758198
Moved to 583, 279 at time 1607904758261
Moved to 582, 278 at time 1607904758327
Moved to 581, 277 at time 1607904758395
Moved to 580, 276 at time 1607904758469
Moved to 579, 275 at time 1607904758530
Moved to 578, 274 at time 1607904758589
Moved to 577, 273 at time 1607904758647
Moved to 576, 272 at time 1607904758730
Moved to 575, 271 at time 1607904758783
