Attacked Unit@77a5f1baat position 429, 1444 at time 1607970695581
Got attacked at 577, 1412 by Unit@e90a630 at time 1607970695588
Got attacked at 577, 1412 by Unit@56777e4c at time 1607970715415
Attacked Unit@23b98d21at position 448, 1488 at time 1607970715426
Got attacked at 577, 1412 by Unit@34a5c0f1 at time 1607970717111
Attacked Unit@34a5c0f1at position 454, 1508 at time 1607970717113
Attacked Unit@34a5c0f1at position 454, 1508 at time 1607970718927
Got attacked at 577, 1412 by Unit@19e2c7cd at time 1607970718932
Got attacked at 577, 1412 by Falling off a bridge at time 1607970719167
Died at 519, 1393 at time 1607970719200
Died at 538, 1394 at time 1607970719201
Died at 566, 1433 at time 1607970719201
Got attacked at 577, 1412 by Falling off a bridge at time 1607970719201
Died at 577, 1412 at time 1607970719201
Died at 555, 1402 at time 1607970719201
Died at 577, 1412 at time 1607970719201
