Attacked Unit@313012a2at position 819, 741 at time 1607968145042
Attacked Unit@780b8fe6at position 777, 877 at time 1607968146247
Attacked Unit@1a38ee3eat position 715, 699 at time 1607968147361
Attacked Unit@1a38ee3eat position 703, 687 at time 1607968148623
Attacked Unit@79516d5bat position 673, 767 at time 1607968149762
Attacked Unit@79516d5bat position 657, 751 at time 1607968151019
Attacked Unit@780b8fe6at position 727, 827 at time 1607968152293
Attacked Unit@780b8fe6at position 717, 817 at time 1607968153526
Attacked Unit@313012a2at position 731, 653 at time 1607968264712
Attacked Unit@1a38ee3eat position 640, 624 at time 1607968265837
Attacked Unit@1a38ee3eat position 624, 608 at time 1607968266971
Attacked Unit@79516d5bat position 583, 677 at time 1607968268105
Attacked Unit@1a38ee3eat position 580, 564 at time 1607968269222
Attacked Unit@1a38ee3eat position 564, 548 at time 1607968270388
Attacked Unit@1a38ee3eat position 544, 528 at time 1607968271554
Attacked Unit@313012a2at position 570, 492 at time 1607968272722
Attacked Unit@79516d5bat position 486, 580 at time 1607968273876
Attacked Unit@79516d5bat position 470, 564 at time 1607968275026
Attacked Unit@79516d5bat position 453, 547 at time 1607968276139
Attacked Unit@313012a2at position 517, 439 at time 1607968277267
Attacked Unit@313012a2at position 498, 420 at time 1607968278383
Attacked Unit@1ef648cfat position 524, 515 at time 1607968279502
Attacked Unit@1ef648cfat position 498, 489 at time 1607968280649
Attacked Unit@313012a2at position 434, 356 at time 1607968281830
Attacked Unit@313012a2at position 403, 325 at time 1607968282943
Attacked Unit@79516d5bat position 318, 412 at time 1607968284115
Attacked Unit@79516d5bat position 294, 388 at time 1607968285274
Attacked Unit@1ef648cfat position 370, 361 at time 1607968286441
Attacked Unit@79516d5bat position 242, 336 at time 1607968287600
Attacked Unit@780b8fe6at position 267, 367 at time 1607968288751
Attacked Unit@1ef648cfat position 302, 293 at time 1607968289891
Attacked Unit@1ef648cfat position 278, 269 at time 1607968291225
Attacked Unit@1ef648cfat position 271, 262 at time 1607968292472
Attacked Unit@1ef648cfat position 265, 256 at time 1607968293767
