Moved to 12, 679 at time 1607969349872
Moved to 13, 680 at time 1607969436185
Moved to 14, 681 at time 1607969436297
Moved to 15, 682 at time 1607969436423
Moved to 16, 683 at time 1607969436556
Moved to 17, 684 at time 1607969436664
Moved to 18, 685 at time 1607969436767
Moved to 19, 686 at time 1607969436890
Moved to 20, 687 at time 1607969437021
Moved to 21, 688 at time 1607969437126
Moved to 22, 689 at time 1607969437229
Moved to 23, 690 at time 1607969437429
Moved to 24, 691 at time 1607969437578
Moved to 25, 692 at time 1607969437679
Moved to 26, 693 at time 1607969437836
Moved to 27, 694 at time 1607969437975
Moved to 28, 695 at time 1607969438092
Moved to 29, 696 at time 1607969438397
Moved to 30, 697 at time 1607969438603
Moved to 31, 698 at time 1607969438910
Moved to 32, 699 at time 1607969439072
Moved to 33, 700 at time 1607969439347
Moved to 34, 701 at time 1607969439557
Moved to 35, 702 at time 1607969439663
Moved to 36, 703 at time 1607969439857
Moved to 37, 704 at time 1607969440067
Moved to 38, 705 at time 1607969440172
Moved to 53, 706 at time 1607969442404
Moved to 54, 707 at time 1607969442579
Moved to 55, 708 at time 1607969442748
Moved to 56, 709 at time 1607969442974
Moved to 55, 710 at time 1607969443155
Moved to 56, 711 at time 1607969443367
Moved to 55, 713 at time 1607969443703
Moved to 54, 716 at time 1607969444056
Moved to 53, 717 at time 1607969444229
Moved to 54, 718 at time 1607969444333
Moved to 53, 722 at time 1607969445158
Moved to 52, 728 at time 1607969446380
Moved to 53, 730 at time 1607969446824
Moved to 52, 733 at time 1607969447359
Moved to 53, 735 at time 1607969447596
Moved to 52, 740 at time 1607969448464
Moved to 51, 742 at time 1607969448885
Moved to 52, 743 at time 1607969449123
Moved to 51, 744 at time 1607969449293
Moved to 52, 745 at time 1607969449424
Moved to 51, 746 at time 1607969449638
Moved to 52, 749 at time 1607969450178
Moved to 51, 750 at time 1607969450406
Moved to 52, 752 at time 1607969450793
Moved to 51, 753 at time 1607969451006
Got attacked at 51, 855 by Unit@59e1d4d5 at time 1607969469641
Died at 51, 856 at time 1607969469943
